,회사명,종목코드
0,DSR,155660
1,GS글로벌,001250
2,HDC현대산업개발,294870
3,KG동부제철,016380
4,KG케미칼,001390
5,LG이노텍,011070
6,LG전자,066570
7,LG헬로비전,037560
8,OCI,010060
9,SK이노베이션,096770
10,STX,011810
11,WISCOM,024070
12,YG PLUS,037270
13,갤럭시아에스엠,011420
14,고려아연,010130
15,국도화학,007690
16,까뮤이앤씨,013700
17,남선알미늄,008350
18,대덕전자,353200
19,대영포장,014160
20,대웅,003090
21,두산,000150
22,두산밥캣,241560
23,락앤락,115390
24,롯데정보통신,286940
25,마니커,027740
26,메리츠증권,008560
27,모두투어리츠,204210
28,부국증권,001270
29,삼성SDI,006400
30,삼성엔지니어링,028050
31,삼성출판사,068290
32,삼성화재해상보험,000810
33,삼양홀딩스,000070
34,삼영전자공업,005680
35,삼영화학공업,003720
36,삼호개발,010960
37,상상인증권,001290
38,선도전기,007610
39,선진,136490
40,세방전지,004490
41,신한알파리츠,293940
42,신한지주,055550
43,쌍용자동차,003620
44,에넥스,011090
45,영화금속,012280
46,윌비스,008600
47,유나이티드,033270
48,인지컨트롤스,023800
49,인터지스,129260
50,일성건설,013360
51,일진다이아,081000
52,제일약품,271980
53,제일연마,001560
54,제일파마홀딩스,002620
55,조흥,002600
56,지역난방공사,071320
57,진도,088790
58,코오롱인더,120110
59,키다리스튜디오,020120
60,태경산업,015890
61,태양금속공업,004100
62,포스코,005490
63,포스코강판,058430
64,필룩스,033180
65,한국공항,005430
66,한국종합기술,023350
67,한국패러랠,168490
68,한솔로지스틱스,009180
69,한일철강,002220
70,한일현대시멘트,006390
71,한창제지,009460
72,한화생명,088350
73,현대건설기계,267270
74,현대모비스,012330
75,현대비앤지스틸,004560
76,현대엘리베이터,017800
77,현대차증권,001500
78,호전실업,111110
79,CJ CGV,079160
80,CJ제일제당,097950
81,HDC현대EP,089470
82,JW홀딩스,096760
83,KB금융,105560
84,KC코트렐,119650
85,KPX케미칼,025000
86,SG충방,001380
87,금강공업,014280
88,금호산업,002990
89,금호전기,001210
90,기신정기,092440
91,기업은행,024110
92,남성,004270
93,넷마블,251270
94,대구백화점,006370
95,대우건설,047040
96,대원제약,003220
97,대한방직,001070
98,대한제당,001790
99,대한해운,005880
100,덕양산업,024900
101,동원F&B,049770
102,동원금속,018500
103,두산인프라코어,042670
104,디씨엠,024090
105,디티알오토모티브,007340
106,롯데손해보험,000400
107,롯데제과,280360
108,롯데칠성음료,005300
109,롯데케미칼,011170
110,롯데하이마트,071840
111,미원홀딩스,107590
112,백산,035150
113,보락,002760
114,사조대림,003960
115,사조동아원,008040
116,삼양식품,003230
117,서원,021050
118,세방,004360
119,세아홀딩스,058650
120,세이브존I&C,067830
121,신송홀딩스,006880
122,신일전자,002700
123,신풍제약,019170
124,써니전자,004770
125,아이마켓코리아,122900
126,아이에이치큐,003560
127,엔씨소프트,036570
128,영보화학,014440
129,영진약품,003520
130,영풍,000670
131,우리금융캐피탈,033660
132,유니온머티리얼,047400
133,유유제약,000220
134,이마트,139480
135,이수화학,005950
136,이스타코,015020
137,인천도시가스,034590
138,일정실업,008500
139,종근당홀딩스,001630
140,지엠비코리아,013870
141,진원생명과학,011000
142,컨버즈,109070
143,케이씨텍,281820
144,코리아써키트,007810
145,코스모화학,005420
146,코아스,071950
147,코오롱플라스틱,138490
148,쿠쿠홀딩스,192400
149,큐로,015590
150,티비에이치글로벌,084870
151,포스코케미칼,003670
152,하이트론씨스템즈,019490
153,한국금융지주,071050
154,한국전자홀딩스,006200
155,한국주철관공업,000970
156,한국타이어앤테크놀로지,161390
157,한국토지신탁,034830
158,한국특수형강,007280
159,한온시스템,018880
160,한화솔루션,009830
161,해태제과식품,101530
162,현대에너지솔루션,322000
163,현대위아,011210
164,현대코퍼레이션홀딩스,227840
165,호텔신라,008770
166,화승알앤에이,378850
167,화승인더스트리,006060
168,화천기공,000850
169,환인제약,016580
170,효성,004800
171,효성화학,298000
172,흥아해운,003280
173,BGF리테일,282330
174,BNK금융지주,138930
175,DRB동일,004840
176,GS건설,006360
177,HDC아이콘트롤스,039570
178,KTis,058860
179,LG상사,001120
180,MH에탄올,023150
181,SBS,034120
182,SBS미디어홀딩스,101060
183,SK텔레콤,017670
184,강원랜드,035250
185,교보증권,030610
186,국제약품,002720
187,금양,001570
188,넥센타이어,002350
189,녹십자홀딩스,005250
190,농심홀딩스,072710
191,다스코,058730
192,대림건설,001880
193,대웅제약,069620
194,대한유화,006650
195,더존비즈온,012510
196,도화엔지니어링,002150
197,동방아그로,007590
198,동서,026960
199,동성코퍼레이션,102260
200,동아쏘시오홀딩스,000640
201,동양,001520
202,동양생명,082640
203,동원산업,006040
204,디아이,003160
205,디와이,013570
206,디피씨,026890
207,롯데정밀화학,004000
208,롯데푸드,002270
209,만도,204320
210,맥쿼리인프라,088980
211,메타랩스,090370
212,명문제약,017180
213,모토닉,009680
214,미래에셋맵스리츠,357250
215,미원화학,134380
216,범양건영,002410
217,베트남개발1,096300
218,빙그레,005180
219,삼성바이오로직스,207940
220,삼성에스디에스,018260
221,삼성증권,016360
222,삼성카드,029780
223,삼양통상,002170
224,삼영무역,002810
225,삼일제약,000520
226,삼정펄프,009770
227,샘표식품,248170
228,서연이화,200880
229,성보화학,003080
230,세아제강,306200
231,센트랄모텍,308170
232,센트럴인사이트,012600
233,솔루스첨단소재,336370
234,송원산업,004430
235,신도리코,029530
236,신성이엔지,011930
237,신세계인터내셔날,031430
238,신세계푸드,031440
239,신화실업,001770
240,씨아이테크,004920
241,아모레퍼시픽그룹,002790
242,애경산업,018250
243,에이플러스에셋,244920
244,엔에이치엔,181710
245,유니켐,011330
246,유양디앤유,011690
247,유화증권,003460
248,이구산업,025820
249,이월드,084680
250,일성신약,003120
251,제이에스코퍼레이션,194370
252,제이준코스메틱,025620
253,조비,001550
254,조선선재,120030
255,종근당바이오,063160
256,지누스,013890
257,진양화학,051630
258,케이탑리츠,145270
259,코스모신소재,005070
260,쿠쿠홈시스,284740
261,태평양물산,007980
262,테이팩스,055490
263,텔코웨어,078000
264,티와이홀딩스,363280
265,팜스코,036580
266,퍼시스,016800
267,풍산홀딩스,005810
268,하이스틸,071090
269,하이트진로,000080
270,한국석유공업,004090
271,한국수출포장공업,002200
272,한국자산신탁,123890
273,한국주강,025890
274,한국콜마홀딩스,024720
275,한국항공우주,047810
276,한라홀딩스,060980
277,한미사이언스,008930
278,한샘,009240
279,한솔홀딩스,004150
280,한신기계공업,011700
281,한화,000880
282,한화에어로스페이스,012450
283,현대자동차,005380
284,현대퓨처넷,126560
285,효성 ITX,094280
286,휴니드테크놀러지스,005870
287,CJ대한통운,000120
288,DSR제강,069730
289,ESR켄달스퀘어리츠,365550
290,GKL,114090
291,JW중외제약,001060
292,KPX홀딩스,092230
293,KSS해운,044450
294,LF,093050
295,LG하우시스,108670
296,LG화학,051910
297,LIG넥스원,079550
298,LS,006260
299,NAVER,035420
300,NICE,034310
301,NI스틸,008260
