,날짜,종가,전일비,시가,고가,저가,거래량
0,2021.03.12,82800.0,800.0,83100.0,83500.0,82400.0,13405559.0
1,2021.03.11,82000.0,1100.0,81000.0,82500.0,81000.0,23818297.0
2,2021.03.10,80900.0,500.0,82400.0,82500.0,80700.0,20038422.0
3,2021.03.09,81400.0,600.0,81400.0,81900.0,80600.0,25420764.0
4,2021.03.08,82000.0,100.0,82900.0,83000.0,81600.0,17641256.0
5,2021.03.05,82100.0,300.0,81100.0,82600.0,81100.0,20508971.0
6,2021.03.04,82400.0,1600.0,82600.0,83200.0,82200.0,24348331.0
7,2021.03.03,84000.0,400.0,83500.0,84000.0,82800.0,19882132.0
8,2021.03.02,83600.0,1100.0,85100.0,85300.0,83000.0,33498180.0
9,2021.02.26,82500.0,2800.0,82800.0,83400.0,82000.0,38520800.0
10,2021.02.25,85300.0,3300.0,84000.0,85400.0,83000.0,34155986.0
11,2021.02.24,82000.0,0.0,81800.0,83600.0,81300.0,26807651.0
12,2021.02.23,82000.0,200.0,81200.0,82900.0,81100.0,20587314.0
13,2021.02.22,82200.0,400.0,83800.0,84200.0,82200.0,25419886.0
14,2021.02.19,82600.0,500.0,82300.0,82800.0,81000.0,25880879.0
15,2021.02.18,82100.0,1100.0,83200.0,83600.0,82100.0,21327683.0
16,2021.02.17,83200.0,1700.0,83900.0,84200.0,83000.0,18307735.0
17,2021.02.16,84900.0,700.0,84500.0,86000.0,84200.0,20483100.0
18,2021.02.15,84200.0,2600.0,83800.0,84500.0,83300.0,23529706.0
19,2021.02.10,81600.0,1100.0,82600.0,82600.0,81600.0,23025766.0
20,2021.02.09,82700.0,300.0,84000.0,84800.0,82700.0,20898332.0
21,2021.02.08,83000.0,500.0,83800.0,84200.0,83000.0,15338765.0
22,2021.02.05,83500.0,1000.0,83100.0,84000.0,82500.0,18036835.0
23,2021.02.04,82500.0,2100.0,83500.0,83800.0,82100.0,24171688.0
24,2021.02.03,84600.0,200.0,84800.0,85400.0,83400.0,22112205.0
25,2021.02.02,84400.0,1400.0,84100.0,86400.0,83700.0,26302077.0
26,2021.02.01,83000.0,1000.0,81700.0,83400.0,81000.0,28046832.0
27,2021.01.29,82000.0,1700.0,84500.0,85000.0,82000.0,39615978.0
28,2021.01.28,83700.0,1900.0,83200.0,85600.0,83200.0,31859808.0
29,2021.01.27,85600.0,1100.0,86600.0,87700.0,85600.0,26423070.0
30,2021.01.26,86700.0,2700.0,88800.0,89200.0,86500.0,33178936.0
31,2021.01.25,89400.0,2600.0,87000.0,89900.0,86300.0,27258534.0
32,2021.01.22,86800.0,1300.0,89000.0,89700.0,86800.0,30861661.0
33,2021.01.21,88100.0,900.0,87500.0,88600.0,86500.0,25318011.0
34,2021.01.20,87200.0,200.0,89000.0,89000.0,86500.0,25211127.0
35,2021.01.19,87000.0,2000.0,84500.0,88000.0,83600.0,39895044.0
36,2021.01.18,85000.0,3000.0,86600.0,87300.0,84100.0,43227951.0
37,2021.01.15,88000.0,1700.0,89800.0,91800.0,88000.0,33431809.0
38,2021.01.14,89700.0,0.0,88700.0,90000.0,88700.0,26393970.0
39,2021.01.13,89700.0,900.0,89800.0,91200.0,89100.0,36068848.0
40,2021.01.12,90600.0,400.0,90300.0,91400.0,87800.0,48682416.0
41,2021.01.11,91000.0,2200.0,90000.0,96800.0,89500.0,90306177.0
42,2021.01.08,88800.0,5900.0,83300.0,90000.0,83000.0,59013307.0
43,2021.01.07,82900.0,700.0,82800.0,84200.0,82700.0,32644642.0
44,2021.01.06,82200.0,1700.0,83300.0,84500.0,82100.0,42089013.0
45,2021.01.05,83900.0,900.0,81600.0,83900.0,81600.0,35335669.0
46,2021.01.04,83000.0,2000.0,81000.0,84400.0,80200.0,38655276.0
47,2020.12.30,81000.0,2700.0,77400.0,81300.0,77300.0,29417421.0
48,2020.12.29,78300.0,400.0,78800.0,78900.0,77300.0,30339449.0
49,2020.12.28,78700.0,900.0,79000.0,80100.0,78200.0,40085044.0
50,2020.12.24,77800.0,3900.0,74100.0,78800.0,74000.0,32502870.0
51,2020.12.23,73900.0,1600.0,72400.0,74000.0,72300.0,19411326.0
52,2020.12.22,72300.0,700.0,72500.0,73200.0,72100.0,16304910.0
53,2020.12.21,73000.0,0.0,73100.0,73400.0,72000.0,20367355.0
54,2020.12.18,73000.0,300.0,73300.0,73700.0,73000.0,17613029.0
55,2020.12.17,73300.0,500.0,73400.0,73700.0,72600.0,24293214.0
56,2020.12.16,73800.0,0.0,74100.0,74500.0,73400.0,17512081.0
57,2020.12.15,73800.0,0.0,73800.0,74100.0,73300.0,20863671.0
58,2020.12.14,73800.0,400.0,73600.0,74500.0,73200.0,21510415.0
59,2020.12.11,73400.0,500.0,73500.0,73800.0,73100.0,18486672.0
60,2020.12.10,72900.0,1000.0,72700.0,73800.0,72500.0,39882928.0
