,회사명,종목코드
0,DSR,155660
1,GS글로벌,001250
2,HDC현대산업개발,294870
3,KG동부제철,016380
4,KG케미칼,001390
5,LG이노텍,011070
6,LG전자,066570
7,LG헬로비전,037560
8,OCI,010060
9,SK이노베이션,096770
10,STX,011810
11,WISCOM,024070
12,YG PLUS,037270
13,갤럭시아에스엠,011420
14,국도화학,007690
15,극동유화,014530
16,까뮤이앤씨,013700
17,남선알미늄,008350
18,대덕전자,353200
19,대영포장,014160
20,대웅,003090
21,두산,000150
22,락앤락,115390
23,롯데정보통신,286940
24,마니커,027740
25,메리츠증권,008560
26,모두투어리츠,204210
27,미래에셋대우,006800
28,부국증권,001270
29,삼성SDI,006400
30,삼성엔지니어링,028050
31,삼성출판사,068290
32,삼성화재해상보험,000810
33,삼양홀딩스,000070
34,삼영전자공업,005680
35,삼영화학공업,003720
36,삼호개발,010960
37,상상인증권,001290
38,선도전기,007610
39,선진,136490
40,세방전지,004490
41,신한알파리츠,293940
42,신한지주,055550
43,쌍용자동차,003620
44,에넥스,011090
45,영화금속,012280
46,윌비스,008600
47,유나이티드,033270
48,인지컨트롤스,023800
49,인터지스,129260
50,일성건설,013360
51,일진다이아,081000
52,제일약품,271980
53,제일연마,001560
54,제일파마홀딩스,002620
55,조흥,002600
56,지역난방공사,071320
57,진도,088790
58,코오롱인더,120110
59,키다리스튜디오,020120
60,태경산업,015890
61,태양금속공업,004100
62,포스코,005490
63,포스코강판,058430
64,필룩스,033180
65,한국공항,005430
66,한국종합기술,023350
67,한국패러랠,168490
68,한솔로지스틱스,009180
69,한일철강,002220
70,한창제지,009460
71,한화생명,088350
72,현대건설기계,267270
73,현대비앤지스틸,004560
74,현대엘리베이터,017800
75,현대차증권,001500
76,호전실업,111110
77,CJ CGV,079160
78,CJ제일제당,097950
79,HDC현대EP,089470
80,JW홀딩스,096760
81,KB금융,105560
82,KC코트렐,119650
83,KPX케미칼,025000
84,SG충방,001380
85,SK렌터카,068400
86,교보증권,030610
87,금강공업,014280
88,금호산업,002990
89,금호전기,001210
90,기업은행,024110
91,남성,004270
92,넷마블,251270
93,대구백화점,006370
94,대우건설,047040
95,대원제약,003220
96,대한방직,001070
97,대한제당,001790
98,대한해운,005880
99,덕양산업,024900
100,동원F&B,049770
101,동원금속,018500
102,두산인프라코어,042670
103,디씨엠,024090
104,디티알오토모티브,007340
105,롯데손해보험,000400
106,롯데제과,280360
107,롯데하이마트,071840
108,미원홀딩스,107590
109,백산,035150
110,보락,002760
111,사조대림,003960
112,사조동아원,008040
113,삼양식품,003230
114,서원,021050
115,세방,004360
116,세아홀딩스,058650
117,세이브존I&C,067830
118,신송홀딩스,006880
119,신일전자,002700
120,신풍제약,019170
121,써니전자,004770
122,아이마켓코리아,122900
123,아이에이치큐,003560
124,엔씨소프트,036570
125,영보화학,014440
126,영진약품,003520
127,영풍,000670
128,우리금융캐피탈,033660
129,유니온머티리얼,047400
130,유유제약,000220
131,이마트,139480
132,이수화학,005950
133,이스타코,015020
134,인천도시가스,034590
135,일정실업,008500
136,종근당홀딩스,001630
137,지엠비코리아,013870
138,진원생명과학,011000
139,컨버즈,109070
140,케이씨텍,281820
141,코리아써키트,007810
142,코스모화학,005420
143,코아스,071950
144,코오롱플라스틱,138490
145,쿠쿠홀딩스,192400
146,큐로,015590
147,티비에이치글로벌,084870
148,포스코케미칼,003670
149,하이트론씨스템즈,019490
150,한국금융지주,071050
151,한국전자홀딩스,006200
152,한국주철관공업,000970
153,한국타이어앤테크놀로지,161390
154,한국토지신탁,034830
155,한국특수형강,007280
156,한온시스템,018880
157,한화솔루션,009830
158,해태제과식품,101530
159,현대에너지솔루션,322000
160,현대코퍼레이션홀딩스,227840
161,호텔신라,008770
162,화승알앤에이,378850
163,화승인더스트리,006060
164,화천기공,000850
165,환인제약,016580
166,효성,004800
167,효성화학,298000
168,흥아해운,003280
169,BGF리테일,282330
170,BNK금융지주,138930
171,DRB동일,004840
172,GS건설,006360
173,HDC아이콘트롤스,039570
174,KTis,058860
175,LG상사,001120
176,MH에탄올,023150
177,SBS,034120
178,SBS미디어홀딩스,101060
179,SK텔레콤,017670
180,강원랜드,035250
181,국제약품,002720
182,금양,001570
183,넥센타이어,002350
184,녹십자홀딩스,005250
185,농심홀딩스,072710
186,다스코,058730
187,대림건설,001880
188,대웅제약,069620
189,대한유화,006650
190,더존비즈온,012510
191,덕성,004830
192,도화엔지니어링,002150
193,동방아그로,007590
194,동서,026960
195,동성코퍼레이션,102260
196,동아쏘시오홀딩스,000640
197,동양,001520
198,동양생명,082640
199,동원산업,006040
200,디아이,003160
201,디와이,013570
202,디피씨,026890
203,롯데정밀화학,004000
204,롯데푸드,002270
205,만도,204320
206,맥쿼리인프라,088980
207,메타랩스,090370
208,명문제약,017180
209,모토닉,009680
210,미래에셋맵스리츠,357250
211,미원화학,134380
212,범양건영,002410
213,베트남개발1,096300
214,빙그레,005180
215,삼성바이오로직스,207940
216,삼성에스디에스,018260
217,삼성증권,016360
218,삼성카드,029780
219,삼양통상,002170
220,삼영무역,002810
221,삼일제약,000520
222,삼정펄프,009770
223,샘표식품,248170
224,서연이화,200880
225,성보화학,003080
226,세아제강,306200
227,센트랄모텍,308170
228,센트럴인사이트,012600
229,솔루스첨단소재,336370
230,송원산업,004430
231,신도리코,029530
232,신성이엔지,011930
233,신세계인터내셔날,031430
234,신세계푸드,031440
235,신화실업,001770
236,씨아이테크,004920
237,아모레퍼시픽그룹,002790
238,애경산업,018250
239,에이플러스에셋,244920
240,엔에이치엔,181710
241,유니켐,011330
242,유양디앤유,011690
243,유화증권,003460
244,이구산업,025820
245,이월드,084680
246,일성신약,003120
247,제이에스코퍼레이션,194370
248,제이준코스메틱,025620
249,조비,001550
250,조선선재,120030
251,종근당바이오,063160
252,지누스,013890
253,진양화학,051630
254,케이탑리츠,145270
255,코스모신소재,005070
256,쿠쿠홈시스,284740
257,태평양물산,007980
258,테이팩스,055490
259,텔코웨어,078000
260,티와이홀딩스,363280
261,팜스코,036580
262,퍼시스,016800
263,풍산홀딩스,005810
264,하이스틸,071090
265,하이트진로,000080
266,한국석유공업,004090
267,한국수출포장공업,002200
268,한국자산신탁,123890
269,한국주강,025890
270,한국콜마홀딩스,024720
271,한국항공우주,047810
272,한라홀딩스,060980
273,한미사이언스,008930
274,한샘,009240
275,한솔홀딩스,004150
276,한신공영,004960
277,한신기계공업,011700
278,한화,000880
279,한화에어로스페이스,012450
280,현대퓨처넷,126560
281,효성 ITX,094280
282,휴니드테크놀러지스,005870
283,CJ대한통운,000120
284,DSR제강,069730
285,ESR켄달스퀘어리츠,365550
286,GKL,114090
287,JW중외제약,001060
288,KPX홀딩스,092230
289,KSS해운,044450
290,LF,093050
291,LG하우시스,108670
292,LG화학,051910
293,LIG넥스원,079550
294,LS,006260
295,NAVER,035420
296,NICE,034310
297,NI스틸,008260
298,SGC에너지,005090
299,SH에너지화학,002360
300,SK증권,001510
301,SK하이닉스,000660
302,SNT에너지,100840
