종목코드,종목명,현재가,대비,등락률,거래대금(원),상장시가총액(원)
105560,KB금융,"55,800","-300","0.53","51,145,966,000","23,202,081,936,000"
030200,KT,"31,800","-100","0.31","20,593,477,150","8,303,355,494,400"
033780,KT&G,"84,400","100","0.12","36,921,530,800","11,587,486,746,800"
003550,LG,"102,500","500","0.49","33,458,370,000","16,123,351,782,500"
034220,LG디스플레이,"24,500","500","2.08","91,545,669,350","8,766,484,650,000"
051900,LG생활건강,"1,762,000","5,000","0.28","54,091,241,186","27,519,263,114,000"
032640,LG유플러스,"15,350","100","0.66","17,804,003,050","6,701,984,391,350"
066570,LG전자,"163,500","2,500","1.55","183,186,558,000","26,756,417,589,000"
051910,LG화학,"850,000","11,000","1.31","263,389,539,000","60,003,491,550,000"
035420,NAVER,"417,500","6,000","1.46","399,857,908,862","68,579,967,412,500"
005490,POSCO,"348,000","1,000","0.29","119,634,322,855","30,341,018,580,000"
010950,S-Oil,"102,500","0","0.00","27,392,886,500","11,539,736,180,000"
034730,SK,"282,500","1,000","0.36","32,557,716,500","19,876,783,902,500"
302440,SK바이오사이언스,"158,500","500","0.32","84,196,439,500","12,125,250,000,000"
326030,SK바이오팜,"123,000","-2,000","1.60","28,603,017,500","9,632,529,750,000"
361610,SK아이이테크놀로지,"183,000","10,000","5.78","210,385,375,500","13,047,459,336,000"
096770,SK이노베이션,"295,500","13,000","4.60","383,417,945,500","27,323,574,162,000"
017670,SK텔레콤,"320,000","-3,500","1.08","64,069,644,000","23,059,245,760,000"
000660,SK하이닉스,"127,500","2,500","2.00","557,285,330,300","92,820,301,537,500"
035250,강원랜드,"26,900","-150","0.55","13,380,381,300","5,754,999,450,000"
010130,고려아연,"431,500","-5,000","1.15","14,051,746,500","8,142,405,000,000"
000270,기아,"89,600","100","0.11","137,219,994,800","36,320,555,891,200"
024110,기업은행,"10,500","0","0.00","8,891,255,450","7,815,156,163,500"
251270,넷마블,"134,000","500","0.37","41,207,105,000","11,517,769,268,000"
011170,롯데케미칼,"262,500","-7,000","2.60","68,655,288,000","8,997,297,487,500"
006400,삼성SDI,"698,000","12,000","1.75","238,164,348,857","47,997,641,940,000"
028260,삼성물산,"136,500","-500","0.36","43,887,654,500","25,510,086,556,500"
207940,삼성바이오로직스,"841,000","-5,000","0.59","43,260,533,000","55,644,765,000,000"
032830,삼성생명,"79,800","-200","0.25","17,668,381,600","15,960,000,000,000"
018260,삼성에스디에스,"185,000","-500","0.27","15,907,866,000","14,314,893,000,000"
009150,삼성전기,"177,000","500","0.28","43,232,426,000","13,220,784,192,000"
005930,삼성전자,"80,700","-300","0.37","1,075,902,355,151","481,761,451,785,000"
000810,삼성화재,"220,500","500","0.23","22,107,110,000","10,446,151,558,500"
068270,셀트리온,"268,500","3,500","1.32","104,431,935,000","37,030,589,379,000"
055550,신한지주,"40,600","-300","0.73","55,103,620,750","20,973,941,892,400"
090430,아모레퍼시픽,"252,000","-3,500","1.37","58,875,922,500","14,731,539,480,000"
036570,엔씨소프트,"820,000","-2,000","0.24","47,792,123,000","18,002,298,040,000"
316140,우리금융지주,"11,450","-150","1.29","23,303,800,750","8,269,964,970,350"
035720,카카오,"163,000","5,000","3.16","1,178,244,500,070","72,360,522,355,000"
021240,코웨이,"78,700","-900","1.13","13,379,055,100","5,808,030,015,300"
003670,포스코케미칼,"144,000","-1,000","0.69","33,173,533,000","11,154,703,680,000"
086790,하나금융지주,"46,050","-450","0.97","37,303,658,700","13,826,146,955,100"
352820,하이브,"292,500","3,500","1.21","293,578,665,500","11,387,263,972,500"
015760,한국전력,"24,850","0","0.00","42,218,886,800","15,952,807,313,450"
009540,한국조선해양,"134,000","-500","0.37","22,853,371,500","9,483,597,544,000"
161390,한국타이어앤테크놀로지,"51,700","-1,700","3.18","18,966,002,600","6,404,341,067,300"
018880,한온시스템,"16,550","-100","0.60","15,848,182,300","8,834,390,000,000"
086280,현대글로비스,"209,000","500","0.24","27,020,727,500","7,837,500,000,000"
012330,현대모비스,"292,000","2,500","0.86","89,280,642,000","27,679,583,448,000"
005380,현대차,"239,500","0","0.00","156,348,960,372","51,173,530,786,500"
