,날짜,종가,전일비,시가,고가,저가,거래량
0,2021.03.29,32020.0,0.0,32020.0,32020.0,32020.0,0.0
1,2021.03.26,32020.0,435.0,32020.0,32020.0,32020.0,1.0
2,2021.03.25,31585.0,0.0,31585.0,31585.0,31585.0,0.0
3,2021.03.24,31585.0,310.0,31585.0,31585.0,31585.0,1.0
4,2021.03.23,31895.0,265.0,31895.0,31895.0,31895.0,1.0
5,2021.03.22,32160.0,15.0,32160.0,32160.0,32160.0,0.0
6,2021.03.19,32175.0,0.0,32175.0,32175.0,32175.0,0.0
7,2021.03.18,32175.0,0.0,32175.0,32175.0,32175.0,0.0
8,2021.03.17,32175.0,155.0,32515.0,32515.0,32175.0,48.0
9,2021.03.16,32330.0,15.0,32330.0,32330.0,32330.0,1.0
10,2021.03.15,32315.0,115.0,32395.0,32395.0,32315.0,24.0
11,2021.03.12,32430.0,455.0,32285.0,32565.0,32285.0,22.0
12,2021.03.11,31975.0,275.0,31975.0,31975.0,31975.0,1.0
13,2021.03.10,31700.0,0.0,32100.0,32100.0,31700.0,70.0
14,2021.03.09,31700.0,460.0,31700.0,31700.0,31700.0,0.0
15,2021.03.08,32160.0,0.0,32160.0,32160.0,32160.0,20.0
16,2021.03.05,32160.0,140.0,32160.0,32160.0,32160.0,0.0
17,2021.03.04,32300.0,395.0,32440.0,32440.0,32300.0,15.0
18,2021.03.03,32695.0,475.0,32695.0,32695.0,32695.0,0.0
19,2021.03.02,32220.0,405.0,32805.0,32805.0,32220.0,20.0
20,2021.02.26,31815.0,545.0,32235.0,32235.0,31815.0,36.0
21,2021.02.25,32360.0,515.0,32360.0,32360.0,32360.0,13.0
22,2021.02.24,31845.0,575.0,31845.0,31845.0,31845.0,0.0
23,2021.02.23,32420.0,0.0,32420.0,32420.0,32420.0,0.0
24,2021.02.22,32420.0,40.0,32420.0,32420.0,32420.0,0.0
25,2021.02.19,32380.0,80.0,32510.0,32510.0,32380.0,105.0
26,2021.02.18,32460.0,475.0,33150.0,33150.0,32460.0,92.0
27,2021.02.17,32935.0,420.0,33080.0,33080.0,32935.0,30.0
28,2021.02.16,33355.0,35.0,33295.0,33630.0,33295.0,82.0
29,2021.02.15,33320.0,765.0,33320.0,33320.0,33315.0,51.0
30,2021.02.10,32555.0,345.0,32730.0,32730.0,32280.0,4.0
31,2021.02.09,32900.0,55.0,32820.0,32900.0,32820.0,21.0
32,2021.02.08,32845.0,30.0,32800.0,33175.0,32800.0,32.0
33,2021.02.05,32815.0,45.0,32815.0,32815.0,32815.0,1.0
34,2021.02.04,32770.0,240.0,32995.0,32995.0,32645.0,33.0
35,2021.02.03,33010.0,1335.0,32860.0,33245.0,32860.0,206.0
36,2021.02.02,31675.0,0.0,31675.0,31675.0,31675.0,0.0
37,2021.02.01,31675.0,25.0,31675.0,31675.0,31675.0,33.0
38,2021.01.29,31700.0,640.0,32460.0,32460.0,31700.0,90.0
39,2021.01.28,32340.0,1135.0,32195.0,32610.0,32195.0,11.0
40,2021.01.27,33475.0,290.0,33475.0,33475.0,33475.0,34.0
41,2021.01.26,33765.0,0.0,33765.0,33765.0,33765.0,0.0
42,2021.01.25,33765.0,285.0,33365.0,33765.0,33365.0,33.0
43,2021.01.22,33480.0,270.0,33630.0,33630.0,33480.0,85.0
44,2021.01.21,33210.0,310.0,33210.0,33210.0,33210.0,1.0
45,2021.01.20,32900.0,185.0,32900.0,32900.0,32900.0,0.0
46,2021.01.19,32715.0,360.0,32360.0,32800.0,32360.0,55.0
47,2021.01.18,32355.0,445.0,32500.0,32500.0,32355.0,4.0
48,2021.01.15,32800.0,610.0,33400.0,33400.0,32800.0,51.0
49,2021.01.14,33410.0,35.0,33370.0,33590.0,33370.0,126.0
50,2021.01.13,33375.0,755.0,33300.0,33455.0,33300.0,94.0
51,2021.01.12,32620.0,890.0,33375.0,33375.0,32620.0,200.0
52,2021.01.11,33510.0,510.0,33800.0,34655.0,33370.0,1505.0
53,2021.01.08,33000.0,1180.0,32575.0,33000.0,32570.0,34.0
54,2021.01.07,31820.0,375.0,31820.0,31820.0,31820.0,1.0
55,2021.01.06,31445.0,555.0,31730.0,31730.0,31385.0,26.0
56,2021.01.05,30890.0,495.0,31135.0,31135.0,30890.0,6.0
57,2021.01.04,30395.0,710.0,30495.0,30495.0,30395.0,781.0
58,2020.12.30,29685.0,185.0,29685.0,29685.0,29685.0,50.0
59,2020.12.29,29500.0,460.0,29565.0,29565.0,29450.0,46.0
60,2020.12.28,29040.0,0.0,29040.0,29040.0,29040.0,0.0
61,2020.12.24,29040.0,710.0,29040.0,29040.0,29040.0,0.0
62,2020.12.23,28330.0,210.0,28330.0,28330.0,28330.0,13.0
63,2020.12.22,28120.0,415.0,28410.0,28410.0,28120.0,31.0
64,2020.12.21,28535.0,165.0,28535.0,28535.0,28535.0,2.0
65,2020.12.18,28370.0,0.0,28370.0,28370.0,28370.0,0.0
66,2020.12.17,28370.0,220.0,28475.0,28475.0,28370.0,30.0
67,2020.12.16,28590.0,60.0,28590.0,28590.0,28590.0,10.0
68,2020.12.15,28530.0,105.0,28530.0,28530.0,28530.0,0.0
69,2020.12.14,28635.0,0.0,28635.0,28635.0,28635.0,50.0
70,2020.12.11,28635.0,310.0,28645.0,28645.0,28635.0,52.0
71,2020.12.10,28325.0,5.0,28325.0,28325.0,28325.0,0.0
72,2020.12.09,28320.0,185.0,28320.0,28320.0,28320.0,54.0
73,2020.12.08,28135.0,175.0,28200.0,28240.0,28080.0,76.0
74,2020.12.07,28310.0,845.0,28400.0,28405.0,28310.0,33.0
75,2020.12.04,27465.0,0.0,27465.0,27465.0,27465.0,0.0
76,2020.12.03,27465.0,0.0,27465.0,27465.0,27465.0,0.0
77,2020.12.02,27465.0,455.0,27615.0,27615.0,27465.0,8.0
78,2020.12.01,27010.0,65.0,27010.0,27010.0,27010.0,0.0
79,2020.11.30,26945.0,0.0,26945.0,26945.0,26945.0,2.0
80,2020.11.27,26945.0,210.0,26970.0,26970.0,26945.0,101.0
81,2020.11.26,26735.0,270.0,26735.0,26735.0,26735.0,101.0
82,2020.11.25,27005.0,195.0,27005.0,27005.0,27005.0,117.0
83,2020.11.24,26810.0,710.0,26810.0,26810.0,26810.0,3.0
84,2020.11.23,26100.0,0.0,26100.0,26100.0,26100.0,0.0
