,날짜,종가,전일비,시가,고가,저가,거래량
0,2021.03.22,49510.0,30.0,49480.0,49565.0,49480.0,6.0
1,2021.03.19,49480.0,85.0,49395.0,49480.0,49395.0,7.0
2,2021.03.18,49395.0,80.0,49435.0,49435.0,49395.0,6.0
3,2021.03.17,49475.0,65.0,49500.0,49500.0,49470.0,6.0
4,2021.03.16,49540.0,25.0,49470.0,49545.0,49470.0,16.0
5,2021.03.15,49515.0,90.0,49535.0,49555.0,49485.0,36.0
6,2021.03.12,49605.0,35.0,49615.0,49630.0,49580.0,6.0
7,2021.03.11,49640.0,5.0,49625.0,49640.0,49610.0,6.0
8,2021.03.10,49645.0,45.0,49710.0,49735.0,49645.0,15.0
9,2021.03.09,49690.0,85.0,49635.0,49695.0,49635.0,8.0
10,2021.03.08,49605.0,60.0,49550.0,49605.0,49550.0,8.0
11,2021.03.05,49545.0,35.0,49510.0,49545.0,49495.0,6.0
12,2021.03.04,49510.0,50.0,49505.0,49510.0,49485.0,36.0
13,2021.03.03,49560.0,0.0,49560.0,49580.0,49560.0,6.0
14,2021.03.02,49560.0,10.0,49580.0,49585.0,49560.0,1006.0
15,2021.02.26,49570.0,45.0,49575.0,49590.0,49565.0,1012.0
16,2021.02.25,49615.0,45.0,49650.0,49650.0,49610.0,1006.0
17,2021.02.24,49660.0,65.0,49625.0,49660.0,49615.0,1006.0
18,2021.02.23,49595.0,20.0,49595.0,49595.0,49595.0,36.0
19,2021.02.22,49615.0,10.0,49620.0,49620.0,49610.0,7.0
20,2021.02.19,49625.0,35.0,49640.0,49640.0,49625.0,1006.0
21,2021.02.18,49660.0,25.0,49655.0,49660.0,49655.0,6.0
22,2021.02.17,49635.0,15.0,49615.0,49635.0,49590.0,8.0
23,2021.02.16,49650.0,5.0,49645.0,49650.0,49640.0,43.0
24,2021.02.15,49645.0,5.0,49660.0,49660.0,49645.0,7.0
25,2021.02.10,49640.0,35.0,49650.0,49660.0,49640.0,36.0
26,2021.02.09,49675.0,5.0,49675.0,49675.0,49660.0,506.0
27,2021.02.08,49680.0,15.0,49690.0,49690.0,49680.0,507.0
28,2021.02.05,49695.0,5.0,49715.0,49720.0,49685.0,4006.0
29,2021.02.04,49700.0,35.0,49720.0,49720.0,49700.0,6.0
30,2021.02.03,49735.0,15.0,49735.0,49735.0,49730.0,6.0
31,2021.02.02,49750.0,65.0,49720.0,49750.0,49720.0,6.0
32,2021.02.01,49685.0,45.0,49695.0,49700.0,49685.0,48.0
33,2021.01.29,49730.0,30.0,49745.0,49745.0,49730.0,5.0
34,2021.01.28,49760.0,20.0,49785.0,49785.0,49750.0,5.0
35,2021.01.27,49780.0,15.0,49790.0,49800.0,49780.0,5.0
36,2021.01.26,49795.0,20.0,49780.0,49795.0,49775.0,5.0
37,2021.01.25,49775.0,5.0,49775.0,49780.0,49775.0,5.0
38,2021.01.22,49780.0,25.0,49790.0,49790.0,49780.0,5.0
39,2021.01.21,49805.0,5.0,49805.0,49805.0,49800.0,6.0
40,2021.01.20,49810.0,10.0,49805.0,49815.0,49805.0,6.0
41,2021.01.19,49800.0,50.0,49790.0,49800.0,49790.0,6.0
42,2021.01.18,49750.0,25.0,49735.0,49755.0,49735.0,12.0
43,2021.01.15,49775.0,5.0,49785.0,49800.0,49775.0,6.0
44,2021.01.14,49780.0,30.0,49795.0,49795.0,49775.0,66.0
45,2021.01.13,49750.0,30.0,49745.0,49760.0,49735.0,41.0
46,2021.01.12,49780.0,20.0,49785.0,49785.0,49775.0,6.0
47,2021.01.11,49800.0,40.0,49760.0,49800.0,49760.0,53.0
48,2021.01.08,49760.0,0.0,49765.0,49765.0,49760.0,56.0
49,2021.01.07,49760.0,15.0,49750.0,49765.0,49745.0,7.0
50,2021.01.06,49745.0,25.0,49765.0,49765.0,49740.0,7.0
51,2021.01.05,49770.0,5.0,49750.0,49770.0,49750.0,6.0
52,2021.01.04,49765.0,10.0,49785.0,49785.0,49765.0,6.0
53,2020.12.30,49775.0,0.0,49775.0,49775.0,49775.0,0.0
54,2020.12.29,49775.0,50.0,49790.0,49795.0,49755.0,38.0
55,2020.12.28,49825.0,15.0,49810.0,49825.0,49810.0,6.0
56,2020.12.24,49810.0,20.0,49820.0,49820.0,49805.0,16.0
57,2020.12.23,49830.0,5.0,49835.0,49835.0,49830.0,6.0
58,2020.12.22,49835.0,5.0,49840.0,49840.0,49825.0,16.0
59,2020.12.21,49840.0,5.0,49820.0,49845.0,49815.0,6.0
60,2020.12.18,49835.0,55.0,49815.0,49840.0,49815.0,6.0
61,2020.12.17,49780.0,65.0,49800.0,49800.0,49770.0,42.0
62,2020.12.16,49845.0,10.0,49850.0,49850.0,49845.0,6.0
63,2020.12.15,49855.0,5.0,49845.0,49865.0,49840.0,6.0
64,2020.12.14,49850.0,10.0,49850.0,49860.0,49850.0,6.0
65,2020.12.11,49840.0,5.0,49830.0,49840.0,49830.0,6.0
66,2020.12.10,49835.0,5.0,49840.0,49840.0,49830.0,6.0
