,날짜,종가,전일비,시가,고가,저가,거래량
0,2021.03.24,41340.0,190.0,41265.0,41515.0,41015.0,3790184.0
1,2021.03.23,41530.0,395.0,42180.0,42270.0,41485.0,6645759.0
2,2021.03.22,41925.0,70.0,42025.0,42095.0,41615.0,6345196.0
3,2021.03.19,41855.0,445.0,41715.0,42075.0,41645.0,9277711.0
4,2021.03.18,42300.0,305.0,42320.0,42715.0,42300.0,8690814.0
5,2021.03.17,41995.0,335.0,42340.0,42355.0,41730.0,8129905.0
6,2021.03.16,42330.0,350.0,42180.0,42435.0,42090.0,5575783.0
7,2021.03.15,41980.0,205.0,42230.0,42315.0,41935.0,8495978.0
8,2021.03.12,42185.0,370.0,42255.0,42415.0,42015.0,6953557.0
9,2021.03.11,41815.0,835.0,41145.0,41935.0,41130.0,6417962.0
10,2021.03.10,40980.0,235.0,41760.0,41760.0,40875.0,8187756.0
11,2021.03.09,41215.0,260.0,41485.0,41540.0,40565.0,11896444.0
12,2021.03.08,41475.0,395.0,42250.0,42250.0,41390.0,8296841.0
13,2021.03.05,41870.0,225.0,41470.0,42005.0,41235.0,10363864.0
14,2021.03.04,42095.0,545.0,42095.0,42435.0,41790.0,6777655.0
15,2021.03.03,42640.0,470.0,42070.0,42650.0,41925.0,6142052.0
16,2021.03.02,42170.0,465.0,42705.0,42920.0,41835.0,8601611.0
17,2021.02.26,41705.0,1185.0,41960.0,41995.0,41325.0,10297433.0
18,2021.02.25,42890.0,1505.0,42010.0,42920.0,41960.0,8858726.0
19,2021.02.24,41385.0,900.0,42250.0,42680.0,41350.0,10408909.0
20,2021.02.23,42285.0,45.0,42050.0,42615.0,41730.0,7733807.0
21,2021.02.22,42330.0,450.0,43055.0,43260.0,42290.0,8518245.0
22,2021.02.19,42780.0,370.0,42440.0,42805.0,41720.0,9728222.0
23,2021.02.18,42410.0,615.0,42950.0,43125.0,42385.0,8841408.0
24,2021.02.17,43025.0,470.0,43255.0,43270.0,42735.0,17530618.0
25,2021.02.16,43495.0,190.0,43475.0,43870.0,43280.0,8542745.0
26,2021.02.15,43305.0,625.0,43305.0,43510.0,43145.0,6603808.0
27,2021.02.10,42680.0,295.0,42525.0,42795.0,42095.0,6526416.0
28,2021.02.09,42385.0,145.0,42835.0,43145.0,42385.0,8236149.0
29,2021.02.08,42530.0,420.0,42905.0,43090.0,42475.0,7391704.0
30,2021.02.05,42950.0,540.0,42660.0,43030.0,42385.0,13252969.0
31,2021.02.04,42410.0,720.0,43030.0,43030.0,42125.0,18129738.0
32,2021.02.03,43130.0,355.0,43125.0,43405.0,42580.0,10276903.0
33,2021.02.02,42775.0,625.0,42600.0,43400.0,42330.0,12520132.0
34,2021.02.01,42150.0,1025.0,41000.0,42170.0,40705.0,10696458.0
35,2021.01.29,41125.0,945.0,42555.0,42620.0,40910.0,13333276.0
36,2021.01.28,42070.0,790.0,42155.0,42645.0,41830.0,10835668.0
37,2021.01.27,42910.0,145.0,43370.0,43805.0,42775.0,8780005.0
38,2021.01.26,43055.0,1205.0,44160.0,44195.0,42855.0,10607621.0
39,2021.01.25,44260.0,1035.0,43405.0,44320.0,43265.0,6385034.0
40,2021.01.22,43225.0,305.0,43675.0,43930.0,43225.0,13042949.0
41,2021.01.21,43530.0,630.0,43300.0,43590.0,43010.0,9087554.0
42,2021.01.20,42900.0,245.0,43410.0,43495.0,42445.0,10680032.0
43,2021.01.19,42655.0,1095.0,41785.0,42950.0,41590.0,9750896.0
44,2021.01.18,41560.0,990.0,42095.0,42495.0,41455.0,11959669.0
45,2021.01.15,42550.0,955.0,43735.0,44185.0,42535.0,11911736.0
46,2021.01.14,43505.0,55.0,43340.0,43830.0,43240.0,9091710.0
47,2021.01.13,43560.0,245.0,43360.0,43895.0,43015.0,11988847.0
48,2021.01.12,43315.0,340.0,43430.0,43725.0,42125.0,25494989.0
49,2021.01.11,43655.0,110.0,44000.0,45370.0,42930.0,23107696.0
50,2021.01.08,43545.0,1845.0,42245.0,43785.0,42115.0,11521190.0
51,2021.01.07,41700.0,950.0,41210.0,42040.0,41190.0,8752407.0
52,2021.01.06,40750.0,400.0,41270.0,41680.0,40595.0,15221599.0
