,날짜,종가,전일비,시가,고가,저가,거래량
0,2021.06.22,55300.0,400.0,55200.0,55400.0,54800.0,523289.0
1,2021.06.21,54900.0,100.0,54900.0,55500.0,54100.0,734627.0
2,2021.06.18,54800.0,100.0,55600.0,56000.0,54500.0,891655.0
3,2021.06.17,54700.0,300.0,54100.0,54700.0,53700.0,550507.0
4,2021.06.16,54400.0,100.0,54200.0,55000.0,54200.0,858532.0
5,2021.06.15,54300.0,1400.0,55700.0,55700.0,54100.0,1404641.0
6,2021.06.14,55700.0,100.0,55800.0,56200.0,55100.0,630041.0
7,2021.06.11,55600.0,200.0,55800.0,56000.0,55000.0,915024.0
8,2021.06.10,55800.0,1100.0,56700.0,56700.0,55200.0,1376891.0
9,2021.06.09,56900.0,900.0,57900.0,58000.0,56700.0,765680.0
10,2021.06.08,57800.0,1500.0,56500.0,59000.0,56200.0,2001889.0
11,2021.06.07,56300.0,200.0,56400.0,56800.0,55600.0,855391.0
12,2021.06.04,56100.0,200.0,55700.0,56900.0,55600.0,905788.0
13,2021.06.03,56300.0,1100.0,57500.0,57600.0,55500.0,1445523.0
14,2021.06.02,57400.0,400.0,57000.0,58500.0,56200.0,1237671.0
15,2021.06.01,57000.0,400.0,57600.0,57800.0,56600.0,869441.0
16,2021.05.31,57400.0,1300.0,56100.0,57400.0,54900.0,1281753.0
17,2021.05.28,56100.0,200.0,55800.0,56300.0,55200.0,1090001.0
18,2021.05.27,56300.0,3400.0,53500.0,56700.0,53500.0,3790619.0
19,2021.05.26,52900.0,800.0,52200.0,53300.0,51800.0,715543.0
20,2021.05.25,52100.0,1100.0,53900.0,53900.0,51700.0,943536.0
21,2021.05.24,53200.0,600.0,52600.0,53700.0,51500.0,590453.0
22,2021.05.21,52600.0,600.0,53700.0,54100.0,52100.0,772997.0
23,2021.05.20,53200.0,600.0,53400.0,54300.0,53000.0,647346.0
24,2021.05.18,53800.0,1200.0,53300.0,54000.0,53000.0,812205.0
25,2021.05.17,52600.0,700.0,52400.0,53400.0,51700.0,690409.0
26,2021.05.14,51900.0,400.0,52600.0,53000.0,51700.0,578649.0
27,2021.05.13,51500.0,600.0,50500.0,53000.0,50200.0,1101613.0
28,2021.05.12,52100.0,2000.0,54100.0,54300.0,51500.0,1205327.0
29,2021.05.11,54100.0,400.0,53900.0,54900.0,53600.0,1050759.0
30,2021.05.10,53700.0,100.0,54300.0,54600.0,53100.0,934023.0
31,2021.05.07,53600.0,1300.0,52900.0,53900.0,52600.0,1069981.0
32,2021.05.06,52300.0,1800.0,50500.0,52300.0,50100.0,1003392.0
33,2021.05.04,50500.0,300.0,50300.0,50900.0,49150.0,1163292.0
34,2021.05.03,50200.0,200.0,49900.0,51400.0,49450.0,1405292.0
35,2021.04.30,50400.0,3900.0,53600.0,53700.0,50200.0,2564460.0
36,2021.04.29,54300.0,1600.0,52800.0,54900.0,52700.0,1841896.0
37,2021.04.28,52700.0,700.0,51900.0,53700.0,51500.0,1677864.0
38,2021.04.27,52000.0,600.0,51600.0,52300.0,50800.0,1090208.0
39,2021.04.26,51400.0,1600.0,50000.0,51700.0,49250.0,1483328.0
40,2021.04.23,49800.0,800.0,48450.0,49800.0,47600.0,1301554.0
41,2021.04.22,49000.0,500.0,49950.0,50000.0,49000.0,965732.0
42,2021.04.21,49500.0,50.0,49050.0,49950.0,48700.0,1434090.0
43,2021.04.20,49450.0,1600.0,48400.0,49600.0,48250.0,1914997.0
44,2021.04.19,47850.0,700.0,47700.0,48500.0,47150.0,1222262.0
45,2021.04.16,47150.0,750.0,46800.0,47600.0,46350.0,1411040.0
46,2021.04.15,46400.0,250.0,46650.0,46950.0,46150.0,974201.0
47,2021.04.14,46150.0,750.0,46000.0,46400.0,45250.0,1101706.0
48,2021.04.13,45400.0,350.0,45850.0,46700.0,44950.0,1979301.0
49,2021.04.12,45750.0,700.0,46200.0,46300.0,45350.0,742044.0
50,2021.04.09,46450.0,50.0,46700.0,47000.0,45700.0,1340947.0
51,2021.04.08,46400.0,1400.0,45550.0,47050.0,44850.0,3096797.0
52,2021.04.07,45000.0,200.0,45200.0,45250.0,44650.0,799292.0
53,2021.04.06,44800.0,100.0,45100.0,45650.0,44350.0,1341411.0
54,2021.04.05,44900.0,1350.0,43650.0,44950.0,43500.0,1327737.0
55,2021.04.02,43550.0,0.0,43600.0,43800.0,42900.0,614407.0
56,2021.04.01,43550.0,500.0,44200.0,44400.0,43500.0,818290.0
57,2021.03.31,44050.0,250.0,43900.0,44450.0,43350.0,722901.0
58,2021.03.30,43800.0,300.0,44800.0,45200.0,43500.0,1272016.0
59,2021.03.29,44100.0,50.0,44600.0,45000.0,44050.0,1195379.0
60,2021.03.26,44050.0,400.0,44000.0,44400.0,43800.0,817833.0
61,2021.03.25,43650.0,650.0,42800.0,43700.0,42650.0,755819.0
62,2021.03.24,43000.0,300.0,43150.0,43200.0,42250.0,613594.0
63,2021.03.23,43300.0,350.0,43250.0,44400.0,42700.0,1736801.0
64,2021.03.22,42950.0,750.0,42500.0,43000.0,42100.0,627006.0
65,2021.03.19,42200.0,300.0,41900.0,42350.0,41500.0,537773.0
66,2021.03.18,42500.0,200.0,42850.0,43400.0,42500.0,502747.0
67,2021.03.17,42700.0,100.0,43100.0,43150.0,41850.0,590604.0
68,2021.03.16,42800.0,50.0,43000.0,43150.0,42350.0,659465.0
69,2021.03.15,42750.0,950.0,42050.0,43200.0,41550.0,1323074.0
70,2021.03.12,41800.0,2000.0,40300.0,41800.0,40200.0,945381.0
71,2021.03.11,39800.0,450.0,39500.0,40150.0,39400.0,563726.0
72,2021.03.10,39350.0,850.0,40600.0,40600.0,39100.0,528032.0
73,2021.03.09,40200.0,850.0,39700.0,40350.0,39250.0,820041.0
74,2021.03.08,39350.0,300.0,39450.0,40200.0,39000.0,578241.0
75,2021.03.05,39050.0,850.0,39250.0,39400.0,38600.0,507152.0
76,2021.03.04,39900.0,350.0,39700.0,39950.0,39100.0,656963.0
77,2021.03.03,40250.0,250.0,39800.0,40300.0,39600.0,410871.0
78,2021.03.02,40000.0,200.0,40600.0,40600.0,39450.0,652267.0
79,2021.02.26,39800.0,1750.0,40550.0,41100.0,39500.0,1018432.0
80,2021.02.25,41550.0,1100.0,41100.0,41550.0,40750.0,450019.0
81,2021.02.24,40450.0,1400.0,41850.0,42000.0,40400.0,698615.0
82,2021.02.23,41850.0,450.0,41200.0,42150.0,40900.0,624790.0
83,2021.02.22,41400.0,600.0,42100.0,42200.0,41400.0,584560.0
84,2021.02.19,42000.0,750.0,41100.0,42100.0,40500.0,646248.0
85,2021.02.18,41250.0,1050.0,42150.0,42250.0,41250.0,602045.0
86,2021.02.17,42300.0,700.0,42900.0,42950.0,42050.0,594582.0
87,2021.02.16,43000.0,50.0,43050.0,43400.0,42550.0,562482.0
88,2021.02.15,43050.0,300.0,43200.0,43350.0,42800.0,554740.0
89,2021.02.10,42750.0,150.0,42700.0,42900.0,42100.0,535477.0
90,2021.02.09,42900.0,250.0,42950.0,43400.0,42400.0,682153.0
91,2021.02.08,42650.0,200.0,42200.0,43600.0,42150.0,843784.0
92,2021.02.05,42450.0,700.0,43500.0,43550.0,42000.0,1022473.0
93,2021.02.04,43150.0,1700.0,45550.0,45800.0,42950.0,2199218.0
94,2021.02.03,44850.0,1600.0,44100.0,45100.0,43600.0,1632610.0
95,2021.02.02,43250.0,250.0,43650.0,44300.0,42750.0,969603.0
96,2021.02.01,43500.0,3250.0,40250.0,43700.0,39800.0,1510418.0
97,2021.01.29,40250.0,1950.0,42550.0,42650.0,39900.0,1721424.0
98,2021.01.28,42200.0,1050.0,42000.0,43350.0,41800.0,1174501.0
99,2021.01.27,43250.0,750.0,44400.0,44850.0,43100.0,914963.0
100,2021.01.26,44000.0,1000.0,45600.0,45600.0,43950.0,1104455.0
101,2021.01.25,45000.0,600.0,44800.0,45500.0,44800.0,1287209.0
102,2021.01.22,44400.0,400.0,45200.0,45750.0,43950.0,1788996.0
103,2021.01.21,44800.0,350.0,45050.0,45500.0,44650.0,1248739.0
104,2021.01.20,45150.0,0.0,45800.0,45800.0,44000.0,1611932.0
105,2021.01.19,45150.0,2100.0,44300.0,45150.0,43600.0,2158846.0
106,2021.01.18,43050.0,250.0,41900.0,44300.0,41400.0,2134364.0
107,2021.01.15,42800.0,1950.0,45000.0,45250.0,42800.0,1874022.0
108,2021.01.14,44750.0,300.0,44050.0,44950.0,43800.0,1474213.0
