,날짜,종가,전일비,시가,고가,저가,거래량
0,2021.06.22,430000.0,6500.0,424500.0,431000.0,424500.0,28598.0
1,2021.06.21,423500.0,10500.0,433000.0,433500.0,422000.0,65637.0
2,2021.06.18,434000.0,500.0,432500.0,438000.0,432000.0,37286.0
3,2021.06.17,434500.0,4500.0,439000.0,439500.0,433500.0,42184.0
4,2021.06.16,439000.0,2000.0,440500.0,443500.0,438500.0,31092.0
5,2021.06.15,441000.0,3500.0,438500.0,444000.0,434000.0,36290.0
6,2021.06.14,437500.0,1000.0,437500.0,440000.0,435000.0,24220.0
7,2021.06.11,436500.0,1000.0,436000.0,438500.0,433000.0,27139.0
8,2021.06.10,435500.0,5500.0,430000.0,436000.0,428000.0,62439.0
9,2021.06.09,430000.0,6000.0,436000.0,436000.0,429000.0,36419.0
10,2021.06.08,436000.0,500.0,437000.0,437500.0,434000.0,32118.0
11,2021.06.07,436500.0,3500.0,440500.0,443000.0,435500.0,36736.0
12,2021.06.04,440000.0,1000.0,440500.0,441000.0,436500.0,44726.0
13,2021.06.03,441000.0,4500.0,447500.0,448000.0,440500.0,54651.0
14,2021.06.02,445500.0,2000.0,448000.0,451000.0,445000.0,53776.0
15,2021.06.01,447500.0,4000.0,451500.0,455000.0,445000.0,60587.0
16,2021.05.31,451500.0,9500.0,454000.0,460500.0,451500.0,47993.0
17,2021.05.28,461000.0,9500.0,456000.0,463000.0,452000.0,46582.0
18,2021.05.27,451500.0,1500.0,453500.0,457500.0,450500.0,51516.0
19,2021.05.26,453000.0,11500.0,464500.0,467000.0,450000.0,55747.0
20,2021.05.25,464500.0,3000.0,462000.0,469000.0,460000.0,30504.0
21,2021.05.24,461500.0,2500.0,464000.0,466500.0,457000.0,33266.0
22,2021.05.21,464000.0,4000.0,467000.0,469000.0,453500.0,48890.0
23,2021.05.20,468000.0,9500.0,470000.0,474500.0,460500.0,64478.0
24,2021.05.18,477500.0,22500.0,460000.0,477500.0,458500.0,69019.0
25,2021.05.17,455000.0,4000.0,458500.0,463000.0,448000.0,70185.0
26,2021.05.14,459000.0,10500.0,469000.0,476000.0,455500.0,90025.0
27,2021.05.13,469500.0,9000.0,474000.0,486500.0,466000.0,108507.0
28,2021.05.12,478500.0,3000.0,486500.0,490500.0,471500.0,111929.0
29,2021.05.11,481500.0,7500.0,472000.0,491000.0,470000.0,145398.0
30,2021.05.10,474000.0,18500.0,459500.0,479500.0,458500.0,119166.0
31,2021.05.07,455500.0,8500.0,462000.0,465000.0,450500.0,82547.0
32,2021.05.06,464000.0,20500.0,448000.0,467000.0,443000.0,125707.0
33,2021.05.04,443500.0,1000.0,448500.0,450500.0,438500.0,67084.0
34,2021.05.03,442500.0,3500.0,450000.0,457500.0,442000.0,77265.0
35,2021.04.30,446000.0,8500.0,452000.0,465500.0,446000.0,136918.0
36,2021.04.29,454500.0,27500.0,424000.0,464000.0,422500.0,313326.0
37,2021.04.28,427000.0,7500.0,438000.0,438000.0,425000.0,63979.0
38,2021.04.27,434500.0,3500.0,440500.0,441000.0,431000.0,59398.0
39,2021.04.26,438000.0,1000.0,438500.0,439000.0,429500.0,60090.0
40,2021.04.23,439000.0,2000.0,437000.0,441000.0,430500.0,88849.0
41,2021.04.22,437000.0,19000.0,420000.0,438000.0,417500.0,144277.0
42,2021.04.21,418000.0,500.0,418000.0,425500.0,415500.0,66092.0
43,2021.04.20,418500.0,1500.0,420000.0,420500.0,417000.0,30871.0
44,2021.04.19,420000.0,1500.0,422000.0,424000.0,417000.0,42742.0
