,날짜,종가,전일비,시가,고가,저가,거래량
0,2021.06.11,40350.0,650.0,40600.0,40750.0,40000.0,364306.0
1,2021.06.10,39700.0,100.0,39500.0,40450.0,39500.0,664298.0
2,2021.06.09,39600.0,100.0,39900.0,40000.0,39450.0,418865.0
3,2021.06.08,39700.0,50.0,39650.0,40050.0,39500.0,372872.0
4,2021.06.07,39650.0,450.0,39200.0,39700.0,38350.0,667294.0
5,2021.06.04,39200.0,700.0,39800.0,39950.0,39100.0,840596.0
6,2021.06.03,39900.0,200.0,40300.0,40600.0,39700.0,701440.0
7,2021.06.02,40100.0,500.0,39900.0,40500.0,39600.0,843333.0
8,2021.06.01,39600.0,0.0,39700.0,40000.0,39050.0,803872.0
9,2021.05.31,39600.0,1750.0,38200.0,39650.0,37850.0,1466409.0
10,2021.05.28,37850.0,450.0,38550.0,38550.0,37700.0,607115.0
11,2021.05.27,38300.0,150.0,38200.0,38650.0,37800.0,1032084.0
12,2021.05.26,38150.0,1550.0,36750.0,38350.0,36600.0,2009431.0
13,2021.05.25,36600.0,650.0,36050.0,36600.0,35850.0,448053.0
14,2021.05.24,35950.0,150.0,36000.0,36050.0,35500.0,250125.0
15,2021.05.21,36100.0,350.0,36550.0,36700.0,35800.0,346381.0
16,2021.05.20,36450.0,200.0,36250.0,36550.0,35800.0,324436.0
17,2021.05.18,36250.0,50.0,36650.0,36900.0,36250.0,531928.0
18,2021.05.17,36300.0,600.0,35750.0,36550.0,35400.0,948590.0
19,2021.05.14,35700.0,350.0,35450.0,37700.0,34700.0,1055675.0
20,2021.05.13,35350.0,350.0,34250.0,35800.0,34200.0,521380.0
21,2021.05.12,35000.0,1100.0,36100.0,36300.0,34750.0,617603.0
22,2021.05.11,36100.0,150.0,35750.0,36200.0,35450.0,479184.0
23,2021.05.10,35950.0,850.0,35200.0,35950.0,35100.0,586319.0
24,2021.05.07,35100.0,650.0,34500.0,35300.0,34350.0,347923.0
25,2021.05.06,34450.0,50.0,34400.0,34750.0,34150.0,285020.0
26,2021.05.04,34400.0,250.0,34650.0,34700.0,33550.0,451151.0
27,2021.05.03,34650.0,200.0,34850.0,35200.0,34450.0,357470.0
28,2021.04.30,34850.0,150.0,35100.0,35150.0,34500.0,286774.0
29,2021.04.29,35000.0,400.0,35300.0,35450.0,34800.0,379883.0
30,2021.04.28,35400.0,200.0,35700.0,35950.0,35350.0,283840.0
31,2021.04.27,35600.0,100.0,35800.0,35800.0,35500.0,217708.0
32,2021.04.26,35500.0,50.0,35550.0,35900.0,35450.0,278111.0
33,2021.04.23,35450.0,450.0,35800.0,35850.0,35300.0,256545.0
34,2021.04.22,35900.0,100.0,36000.0,36000.0,35800.0,207412.0
35,2021.04.21,35800.0,500.0,36350.0,36350.0,35650.0,380453.0
36,2021.04.20,36300.0,600.0,35700.0,36300.0,35700.0,467892.0
37,2021.04.19,35700.0,350.0,35300.0,35750.0,35050.0,335190.0
38,2021.04.16,35350.0,250.0,35200.0,35450.0,35050.0,309135.0
39,2021.04.15,35100.0,450.0,35600.0,35600.0,35050.0,515057.0
40,2021.04.14,35550.0,550.0,36050.0,36100.0,35400.0,670305.0
41,2021.04.13,36100.0,100.0,36250.0,36350.0,36000.0,277447.0
42,2021.04.12,36200.0,300.0,36050.0,36250.0,35700.0,255743.0
43,2021.04.09,35900.0,400.0,35500.0,36050.0,35500.0,333668.0
44,2021.04.08,35500.0,850.0,36250.0,36250.0,35500.0,698432.0
45,2021.04.07,36350.0,300.0,36650.0,36650.0,36200.0,375716.0
46,2021.04.06,36650.0,400.0,36450.0,36650.0,36200.0,350828.0
47,2021.04.05,36250.0,250.0,36500.0,36500.0,36000.0,294434.0
48,2021.04.02,36500.0,250.0,36250.0,36650.0,35850.0,456100.0
49,2021.04.01,36250.0,600.0,37150.0,37150.0,36150.0,526799.0
50,2021.03.31,36850.0,50.0,37100.0,37150.0,36600.0,388881.0
51,2021.03.30,36900.0,550.0,37650.0,37750.0,36700.0,643543.0
52,2021.03.29,37450.0,800.0,38100.0,38150.0,37450.0,441959.0
53,2021.03.26,38250.0,150.0,38500.0,38600.0,38100.0,447561.0
54,2021.03.25,38400.0,100.0,38300.0,38550.0,38050.0,327670.0
55,2021.03.24,38300.0,350.0,37700.0,38350.0,37400.0,474984.0
56,2021.03.23,37950.0,600.0,37350.0,38100.0,37000.0,649064.0
57,2021.03.22,37350.0,850.0,38150.0,38150.0,37200.0,584886.0
58,2021.03.19,38200.0,0.0,37750.0,38400.0,37400.0,389427.0
59,2021.03.18,38200.0,300.0,38800.0,38800.0,38100.0,484120.0
60,2021.03.17,38500.0,150.0,38500.0,38650.0,37950.0,563346.0
61,2021.03.16,38350.0,1250.0,37300.0,38750.0,37250.0,1263893.0
62,2021.03.15,37100.0,550.0,36900.0,37350.0,36600.0,665379.0
63,2021.03.12,36550.0,100.0,36700.0,36850.0,36200.0,480676.0
64,2021.03.11,36450.0,400.0,36900.0,37000.0,36050.0,916678.0
65,2021.03.10,36850.0,500.0,37000.0,37700.0,36750.0,633271.0
66,2021.03.09,37350.0,350.0,37200.0,37750.0,36050.0,1076326.0
67,2021.03.08,37000.0,300.0,37250.0,37450.0,36500.0,1003202.0
68,2021.03.05,36700.0,300.0,36100.0,36900.0,35350.0,1299374.0
69,2021.03.04,36400.0,1300.0,34900.0,36750.0,34700.0,1947339.0
70,2021.03.03,35100.0,600.0,34400.0,35300.0,34150.0,818201.0
71,2021.03.02,34500.0,250.0,34550.0,34650.0,34100.0,488356.0
72,2021.02.26,34250.0,300.0,33850.0,34250.0,33700.0,520249.0
73,2021.02.25,34550.0,700.0,34450.0,34600.0,34050.0,423470.0
74,2021.02.24,33850.0,100.0,34300.0,35250.0,33800.0,1196243.0
75,2021.02.23,33950.0,350.0,34000.0,34350.0,33400.0,654560.0
76,2021.02.22,34300.0,600.0,34000.0,34700.0,34000.0,370420.0
77,2021.02.19,33700.0,400.0,34150.0,34350.0,33000.0,610870.0
78,2021.02.18,34100.0,600.0,34550.0,34900.0,34100.0,513513.0
79,2021.02.17,34700.0,600.0,35300.0,35300.0,34500.0,526307.0
80,2021.02.16,35300.0,1350.0,34200.0,35400.0,34000.0,910230.0
81,2021.02.15,33950.0,50.0,34550.0,34700.0,33700.0,613019.0
82,2021.02.10,33900.0,250.0,34400.0,34450.0,33500.0,470082.0
83,2021.02.09,34150.0,950.0,35350.0,35450.0,34100.0,686156.0
84,2021.02.08,35100.0,700.0,34700.0,35450.0,34450.0,1013121.0
85,2021.02.05,34400.0,1750.0,32950.0,34600.0,32700.0,993285.0
86,2021.02.04,32650.0,200.0,32450.0,32950.0,32100.0,424768.0
87,2021.02.03,32450.0,150.0,32650.0,32900.0,32300.0,350609.0
88,2021.02.02,32600.0,150.0,33000.0,33000.0,32450.0,373079.0
89,2021.02.01,32750.0,850.0,31550.0,32800.0,31450.0,329561.0
90,2021.01.29,31900.0,750.0,32700.0,32900.0,31400.0,684539.0
91,2021.01.28,32650.0,950.0,33000.0,33100.0,32500.0,594733.0
92,2021.01.27,33600.0,100.0,33950.0,34200.0,33500.0,357322.0
93,2021.01.26,33700.0,900.0,34600.0,34650.0,33700.0,614153.0
94,2021.01.25,34600.0,250.0,35000.0,35400.0,34300.0,546101.0
95,2021.01.22,34850.0,1050.0,33950.0,34950.0,33800.0,828444.0
96,2021.01.21,33800.0,50.0,33950.0,34350.0,33750.0,432772.0
97,2021.01.20,33750.0,350.0,34200.0,34250.0,33550.0,665569.0
98,2021.01.19,34100.0,100.0,34100.0,34450.0,33900.0,496978.0
99,2021.01.18,34000.0,1750.0,35300.0,35400.0,34000.0,783089.0
100,2021.01.15,35750.0,850.0,37000.0,37400.0,35750.0,839374.0
101,2021.01.14,36600.0,1100.0,35650.0,36800.0,35600.0,1070359.0
102,2021.01.13,35500.0,300.0,36050.0,36100.0,35250.0,893979.0
103,2021.01.12,35200.0,1150.0,34050.0,35450.0,33550.0,1059524.0
