,date,portfolio_value,t003670,t192080,t068270,t282330,t035720,n003670,n192080,n068270,n282330,n035720,p003670,p192080,p068270,p282330,p035720,cash,benchmark_value,rf_yield,rebalancing
0,2018-01-01,100000000.0,19966500.0,19964400.0,19879200.0,19997500.0,19982600.0,493.0,393.0,88.0,95.0,682.0,40500.0,50800.0,225900.0,210500.0,29300.0,209800.0,100000000.0,1.0000003786927958,True
1,2018-01-03,101483250.0,19448850.0,20553900.0,21709600.0,19237500.0,20323600.0,493.0,393.0,88.0,95.0,682.0,39450.0,52300.0,246700.0,202500.0,29800.0,209800.0,100425208.80789673,1.000000386070045,False
2,2018-01-04,101302700.0,18684700.0,20082300.0,22000000.0,19047500.0,21278400.0,493.0,393.0,88.0,95.0,682.0,37900.0,51100.0,250000.0,200500.0,31200.0,209800.0,99635535.30751708,1.0000003886819924,False
3,2018-01-05,104132800.0,20114400.0,20043000.0,23487200.0,19000000.0,21278400.0,493.0,393.0,88.0,95.0,682.0,40800.0,51000.0,266900.0,200000.0,31200.0,209800.0,100987091.87547456,1.0000003885283604,False
4,2018-01-08,106953850.0,19695350.0,19767900.0,26620000.0,18905000.0,21755800.0,493.0,393.0,88.0,95.0,682.0,39950.0,50300.0,302500.0,199000.0,31900.0,209800.0,101670463.17388003,1.000000394058167,False
5,2018-01-09,106624350.0,19843250.0,19846500.0,25740000.0,19570000.0,21414800.0,493.0,393.0,88.0,95.0,682.0,40250.0,50500.0,292500.0,206000.0,31400.0,209800.0,101260440.39483675,1.0000003911399,False
6,2018-01-10,106125000.0,19670700.0,19807200.0,26048000.0,19997500.0,20391800.0,493.0,393.0,88.0,95.0,682.0,39900.0,50400.0,296000.0,210500.0,29900.0,209800.0,100607441.15413819,1.0000003960545645,False
7,2018-01-11,107459500.0,21297600.0,19964400.0,27016000.0,19807500.0,19164200.0,493.0,393.0,88.0,95.0,682.0,43200.0,50800.0,307000.0,208500.0,28100.0,209800.0,100091116.17312072,1.0000003937510065,False
8,2018-01-12,111600650.0,23146350.0,19885800.0,30052000.0,19142500.0,19164200.0,493.0,393.0,88.0,95.0,682.0,46950.0,50600.0,341500.0,201500.0,28100.0,209800.0,100273348.51936218,1.00000039467247,False
9,2018-01-15,113581100.0,23023100.0,20200200.0,30800000.0,19570000.0,19778000.0,493.0,393.0,88.0,95.0,682.0,46700.0,51400.0,350000.0,206000.0,29000.0,209800.0,100501138.95216401,1.0000003971294429,False
