# rp,lp,E(mdd),s(mdd),min(mdd),max(mdd),E(ar),s(ar),min(ar),max(ar),E(SR1),s(SR1),min(SR1),max(SR1),E(SR2),s(SR2),min(SR2),max(SR2),E(SR3),s(SR3),min(SR3),max(SR3)
1.000000000000000000e+00,5.000000000000000000e+00,2.261739713102964799e+01,0.000000000000000000e+00,2.261739713102964799e+01,2.261739713102964799e+01,2.447578358907298579e-01,0.000000000000000000e+00,2.447578358907298579e-01,2.447578358907298579e-01,4.534368537335189790e-03,0.000000000000000000e+00,4.534368537335189790e-03,4.534368537335189790e-03,2.046407169461521638e-02,0.000000000000000000e+00,2.046407169461521638e-02,2.046407169461521638e-02,3.611699041123866277e-02,0.000000000000000000e+00,3.611699041123866277e-02,3.611699041123866277e-02
1.000000000000000000e+00,2.000000000000000000e+01,2.434838117768236998e+01,0.000000000000000000e+00,2.434838117768236998e+01,2.434838117768236998e+01,3.533644982038897098e-02,0.000000000000000000e+00,3.533644982038897098e-02,3.533644982038897098e-02,3.332768184262196922e-03,0.000000000000000000e+00,3.332768184262196922e-03,3.332768184262196922e-03,1.644687721627393490e-02,0.000000000000000000e+00,1.644687721627393490e-02,1.644687721627393490e-02,3.145851145235557811e-02,0.000000000000000000e+00,3.145851145235557811e-02,3.145851145235557811e-02
1.000000000000000000e+00,4.000000000000000000e+01,1.421358714516442490e+01,0.000000000000000000e+00,1.421358714516442490e+01,1.421358714516442490e+01,5.970385257155585990e+00,0.000000000000000000e+00,5.970385257155585990e+00,5.970385257155585990e+00,3.931443832075416644e-02,0.000000000000000000e+00,3.931443832075416644e-02,3.931443832075416644e-02,1.737186202471536767e-01,0.000000000000000000e+00,1.737186202471536767e-01,1.737186202471536767e-01,2.838247802445112988e-01,0.000000000000000000e+00,2.838247802445112988e-01,2.838247802445112988e-01
1.000000000000000000e+00,6.000000000000000000e+01,1.705390511868746728e+01,0.000000000000000000e+00,1.705390511868746728e+01,1.705390511868746728e+01,5.195847425066713043e+00,0.000000000000000000e+00,5.195847425066713043e+00,5.195847425066713043e+00,3.610034416231800575e-02,0.000000000000000000e+00,3.610034416231800575e-02,3.610034416231800575e-02,1.499175526580602269e-01,0.000000000000000000e+00,1.499175526580602269e-01,1.499175526580602269e-01,2.883833607076676242e-01,0.000000000000000000e+00,2.883833607076676242e-01,2.883833607076676242e-01
1.000000000000000000e+00,1.200000000000000000e+02,1.361474381103259645e+01,0.000000000000000000e+00,1.361474381103259645e+01,1.361474381103259645e+01,7.219612216346127376e+00,0.000000000000000000e+00,7.219612216346127376e+00,7.219612216346127376e+00,4.748419977631085365e-02,0.000000000000000000e+00,4.748419977631085365e-02,4.748419977631085365e-02,1.985250325882234601e-01,0.000000000000000000e+00,1.985250325882234601e-01,1.985250325882234601e-01,3.426271703952972758e-01,0.000000000000000000e+00,3.426271703952972758e-01,3.426271703952972758e-01
1.000000000000000000e+00,2.250000000000000000e+02,2.024503859548838136e+01,0.000000000000000000e+00,2.024503859548838136e+01,2.024503859548838136e+01,3.461225884373031469e+00,0.000000000000000000e+00,3.461225884373031469e+00,3.461225884373031469e+00,2.512251604958208942e-02,0.000000000000000000e+00,2.512251604958208942e-02,2.512251604958208942e-02,1.028608119843891222e-01,0.000000000000000000e+00,1.028608119843891222e-01,1.028608119843891222e-01,1.960467730881436943e-01,0.000000000000000000e+00,1.960467730881436943e-01,1.960467730881436943e-01
5.000000000000000000e+00,5.000000000000000000e+00,2.153850713463057076e+01,9.111304004246521870e+00,1.237691489027884018e+01,3.837426410862651238e+01,1.946488434274480372e+00,2.909735593252272601e+00,-2.456258866986271716e+00,6.504439156627994656e+00,1.490748738258213489e-02,1.730689910470169582e-02,-1.145237277944493454e-02,4.182142041691285644e-02,6.367519184192013681e-02,7.195905037813403460e-02,-3.974863259742499738e-02,1.802805358743463926e-01,1.093417933454508412e-01,1.232927658230981577e-01,-6.502740139828605548e-02,3.126359886924073295e-01
5.000000000000000000e+00,2.000000000000000000e+01,1.824119585416983824e+01,3.535882554756518914e+00,1.469892091338539331e+01,2.379489636689285703e+01,3.317236483484733434e+00,1.413027287859031977e+00,7.824728312624262827e-01,4.626331958182650084e+00,2.290249962179883789e-02,8.503839860659560129e-03,7.863861956516487312e-03,3.060064053950270133e-02,9.885975188944622072e-02,3.655741912282203104e-02,3.303651795565324539e-02,1.327916748565013128e-01,1.410056337164107831e-01,5.427621952221511892e-02,3.509003643962491786e-02,1.791803488020571877e-01
5.000000000000000000e+00,4.000000000000000000e+01,1.493624618993081832e+01,2.556643032718994846e+00,1.043057522088420797e+01,1.815086429073356555e+01,5.700359746094489921e+00,7.981210757166830039e-01,4.319712882818804722e+00,6.574613420809116704e+00,3.703689507723102736e-02,4.663725201498730537e-03,2.902849473106747236e-02,4.310132092047920527e-02,1.696201197922607984e-01,2.218961285433844466e-02,1.292170613042057381e-01,1.928982806928284388e-01,2.620996138259071850e-01,2.955065866655569654e-02,2.128592612793271666e-01,3.013020475796616693e-01
5.000000000000000000e+00,6.000000000000000000e+01,1.635348825967097852e+01,2.031409731697778831e+00,1.384971025650202137e+01,1.952594164690172818e+01,4.972924230441320148e+00,4.117949910825254856e-01,4.311139102091310349e+00,5.480415969211538396e+00,3.475634565743646043e-02,2.508549306152474141e-03,3.051837798992744488e-02,3.771430025230931155e-02,1.498611043985642044e-01,1.256430650870955616e-02,1.258515050407687241e-01,1.600834396904233514e-01,2.535456905312262199e-01,3.884565996219094958e-02,1.956059490303987680e-01,3.125235438951101119e-01
