# rp,lp,E(mdd),s(mdd),min(mdd),max(mdd),E(ar),s(ar),min(ar),max(ar),E(SR1),s(SR1),min(SR1),max(SR1),E(SR2),s(SR2),min(SR2),max(SR2),E(SR3),s(SR3),min(SR3),max(SR3)
1.000000000000000000e+00,5.000000000000000000e+00,3.128517448597007444e+01,0.000000000000000000e+00,3.128517448597007444e+01,3.128517448597007444e+01,-1.105032491884050394e+00,0.000000000000000000e+00,-1.105032491884050394e+00,-1.105032491884050394e+00,-3.583901398501294477e-03,0.000000000000000000e+00,-3.583901398501294477e-03,-3.583901398501294477e-03,-1.249453318811317125e-02,0.000000000000000000e+00,-1.249453318811317125e-02,-1.249453318811317125e-02,-4.931792162045006700e-02,0.000000000000000000e+00,-4.931792162045006700e-02,-4.931792162045006700e-02
1.000000000000000000e+00,2.000000000000000000e+01,3.537642676447184442e+01,0.000000000000000000e+00,3.537642676447184442e+01,3.537642676447184442e+01,1.710558919737215078e+00,0.000000000000000000e+00,1.710558919737215078e+00,1.710558919737215078e+00,1.377809143374836114e-02,0.000000000000000000e+00,1.377809143374836114e-02,1.377809143374836114e-02,6.703992095812141838e-02,0.000000000000000000e+00,6.703992095812141838e-02,6.703992095812141838e-02,1.102900828606356576e-01,0.000000000000000000e+00,1.102900828606356576e-01,1.102900828606356576e-01
1.000000000000000000e+00,4.000000000000000000e+01,2.722578764890427294e+01,0.000000000000000000e+00,2.722578764890427294e+01,2.722578764890427294e+01,4.215248935818660669e+00,0.000000000000000000e+00,4.215248935818660669e+00,4.215248935818660669e+00,2.867908974705593236e-02,0.000000000000000000e+00,2.867908974705593236e-02,2.867908974705593236e-02,1.368728469707373996e-01,0.000000000000000000e+00,1.368728469707373996e-01,1.368728469707373996e-01,2.278426550530684991e-01,0.000000000000000000e+00,2.278426550530684991e-01,2.278426550530684991e-01
1.000000000000000000e+00,6.000000000000000000e+01,2.213236368793245390e+01,0.000000000000000000e+00,2.213236368793245390e+01,2.213236368793245390e+01,5.402165740064224231e+00,0.000000000000000000e+00,5.402165740064224231e+00,5.402165740064224231e+00,3.498890676619036133e-02,0.000000000000000000e+00,3.498890676619036133e-02,3.498890676619036133e-02,1.929300252823342166e-01,0.000000000000000000e+00,1.929300252823342166e-01,1.929300252823342166e-01,3.243838748970963026e-01,0.000000000000000000e+00,3.243838748970963026e-01,3.243838748970963026e-01
1.000000000000000000e+00,1.200000000000000000e+02,2.295771145761543153e+01,0.000000000000000000e+00,2.295771145761543153e+01,2.295771145761543153e+01,4.243533123542353458e+00,0.000000000000000000e+00,4.243533123542353458e+00,4.243533123542353458e+00,2.972154564456929923e-02,0.000000000000000000e+00,2.972154564456929923e-02,2.972154564456929923e-02,1.578300142638097425e-01,0.000000000000000000e+00,1.578300142638097425e-01,1.578300142638097425e-01,2.651523693350211763e-01,0.000000000000000000e+00,2.651523693350211763e-01,2.651523693350211763e-01
1.000000000000000000e+00,2.250000000000000000e+02,3.374507894980635569e+01,0.000000000000000000e+00,3.374507894980635569e+01,3.374507894980635569e+01,2.216723274531195997e+00,0.000000000000000000e+00,2.216723274531195997e+00,2.216723274531195997e+00,1.687743151582566173e-02,0.000000000000000000e+00,1.687743151582566173e-02,1.687743151582566173e-02,9.327798510904077023e-02,0.000000000000000000e+00,9.327798510904077023e-02,9.327798510904077023e-02,1.506710180167520619e-01,0.000000000000000000e+00,1.506710180167520619e-01,1.506710180167520619e-01
5.000000000000000000e+00,5.000000000000000000e+00,2.635974830609097808e+01,4.267326539750172287e+00,2.285765919370125232e+01,3.465183971052468337e+01,2.748783013533011577e+00,1.028413007622139386e+00,8.720140684144839227e-01,3.812924186839961038e+00,1.933102270783236196e-02,6.010274029722708147e-03,8.400074107400287010e-03,2.586348510827387800e-02,8.643001314231148202e-02,2.755743475223681321e-02,3.717244442357672818e-02,1.191352382038373819e-01,1.488083083150692487e-01,4.699561703540763163e-02,5.885123559420058631e-02,1.868049638446943883e-01
5.000000000000000000e+00,2.000000000000000000e+01,3.039199690926159292e+01,6.455445035916662633e+00,1.996289631077465287e+01,3.830259147665078245e+01,2.736803677699013004e+00,1.687618093047003942e+00,-2.464196138587393392e-02,5.203520808287764865e+00,2.002834856627340107e-02,1.067492060062218834e-02,3.013911477844291673e-03,3.608482944571617806e-02,9.159510437248555292e-02,4.721116395107147201e-02,1.830787488901462409e-02,1.658040516847299473e-01,1.654892072026623029e-01,9.622736310368408541e-02,2.339808039394007319e-02,3.168398773602733032e-01
5.000000000000000000e+00,4.000000000000000000e+01,2.540871491921468817e+01,4.667576866075155095e+00,1.672077761234304205e+01,3.050247520218026409e+01,3.999493506670219745e+00,1.013230633013428417e+00,3.328295614915255385e+00,6.014677112337407650e+00,2.692139229087727251e-02,5.781373544079693866e-03,2.288657952815766408e-02,3.838241603325942553e-02,1.238687689039037892e-01,1.975660493573773782e-02,1.044566387948973885e-01,1.577397332814436393e-01,2.150831620965096003e-01,4.030132587206341349e-02,1.750038011243408298e-01,2.862750066721057030e-01
5.000000000000000000e+00,6.000000000000000000e+01,2.664047394958659964e+01,3.199022436787666734e+00,2.188351300844149705e+01,3.113948808621486819e+01,4.853673625876302467e+00,1.521829327649081298e-01,4.694912006373597180e+00,5.035663805028844919e+00,3.164194681055709085e-02,7.972519686123036601e-04,3.082350750404359505e-02,3.278526185972269191e-02,1.493970717449252528e-01,1.621517144754270473e-02,1.316428746539344274e-01,1.768020480022415020e-01,2.606947317190165814e-01,2.470864332198419167e-02,2.246760234280435198e-01,2.991562993257186887e-01
