# rp,lp,E(mdd),s(mdd),min(mdd),max(mdd),E(ar),s(ar),min(ar),max(ar),E(SR1),s(SR1),min(SR1),max(SR1),E(SR2),s(SR2),min(SR2),max(SR2),E(SR3),s(SR3),min(SR3),max(SR3)
1.000000000000000000e+00,5.000000000000000000e+00,1.342454140438729837e+01,0.000000000000000000e+00,1.342454140438729837e+01,1.342454140438729837e+01,1.256114725912094165e+00,0.000000000000000000e+00,1.256114725912094165e+00,1.256114725912094165e+00,1.235059501709172974e-02,0.000000000000000000e+00,1.235059501709172974e-02,1.235059501709172974e-02,4.949118610238632809e-02,0.000000000000000000e+00,4.949118610238632809e-02,4.949118610238632809e-02,9.632133624511550474e-02,0.000000000000000000e+00,9.632133624511550474e-02,9.632133624511550474e-02
1.000000000000000000e+00,2.000000000000000000e+01,1.196890733449998834e+01,0.000000000000000000e+00,1.196890733449998834e+01,1.196890733449998834e+01,3.204566619660687010e+00,0.000000000000000000e+00,3.204566619660687010e+00,3.204566619660687010e+00,2.794572399115868508e-02,0.000000000000000000e+00,2.794572399115868508e-02,2.794572399115868508e-02,1.259280019379694082e-01,0.000000000000000000e+00,1.259280019379694082e-01,1.259280019379694082e-01,2.108448459351362492e-01,0.000000000000000000e+00,2.108448459351362492e-01,2.108448459351362492e-01
1.000000000000000000e+00,4.000000000000000000e+01,8.559384741472655378e+00,0.000000000000000000e+00,8.559384741472655378e+00,8.559384741472655378e+00,6.470268211961305305e+00,0.000000000000000000e+00,6.470268211961305305e+00,6.470268211961305305e+00,5.669914025828447224e-02,0.000000000000000000e+00,5.669914025828447224e-02,5.669914025828447224e-02,2.510066139196588386e-01,0.000000000000000000e+00,2.510066139196588386e-01,2.510066139196588386e-01,3.781847248775151993e-01,0.000000000000000000e+00,3.781847248775151993e-01,3.781847248775151993e-01
1.000000000000000000e+00,6.000000000000000000e+01,7.476568412681672271e+00,0.000000000000000000e+00,7.476568412681672271e+00,7.476568412681672271e+00,6.854505999762339208e+00,0.000000000000000000e+00,6.854505999762339208e+00,6.854505999762339208e+00,5.742398074459777180e-02,0.000000000000000000e+00,5.742398074459777180e-02,5.742398074459777180e-02,2.654199530297494669e-01,0.000000000000000000e+00,2.654199530297494669e-01,2.654199530297494669e-01,4.591634648016260090e-01,0.000000000000000000e+00,4.591634648016260090e-01,4.591634648016260090e-01
1.000000000000000000e+00,1.200000000000000000e+02,9.565510230316249363e+00,0.000000000000000000e+00,9.565510230316249363e+00,9.565510230316249363e+00,4.387064377995919529e+00,0.000000000000000000e+00,4.387064377995919529e+00,4.387064377995919529e+00,3.903570522832582740e-02,0.000000000000000000e+00,3.903570522832582740e-02,3.903570522832582740e-02,1.854574579034062864e-01,0.000000000000000000e+00,1.854574579034062864e-01,1.854574579034062864e-01,2.955867524744754116e-01,0.000000000000000000e+00,2.955867524744754116e-01,2.955867524744754116e-01
1.000000000000000000e+00,2.250000000000000000e+02,7.890346727525027859e+00,0.000000000000000000e+00,7.890346727525027859e+00,7.890346727525027859e+00,5.558537455972389907e+00,0.000000000000000000e+00,5.558537455972389907e+00,5.558537455972389907e+00,4.989834637016257735e-02,0.000000000000000000e+00,4.989834637016257735e-02,4.989834637016257735e-02,2.352626146920121231e-01,0.000000000000000000e+00,2.352626146920121231e-01,2.352626146920121231e-01,4.490395371629949950e-01,0.000000000000000000e+00,4.490395371629949950e-01,4.490395371629949950e-01
5.000000000000000000e+00,5.000000000000000000e+00,1.541660894275738691e+01,6.114231401322005155e+00,9.214314986309133815e+00,2.716999106063471459e+01,4.301030405863180306e+00,2.816999526449973867e+00,-9.328890803471101556e-01,6.880911517936438848e+00,3.413368115182598139e-02,2.022607181497330583e-02,-3.990832225179019241e-03,5.198609511662714844e-02,1.482530563880471719e-01,9.314750678207255052e-02,-2.441209825311196902e-02,2.395799594818927569e-01,2.691945058304691663e-01,1.541125845137305550e-01,-1.284776885002433811e-02,4.424019041706868105e-01
5.000000000000000000e+00,2.000000000000000000e+01,1.230598362945177904e+01,1.961041458679839034e+00,1.000755822661170669e+01,1.510535283534456141e+01,5.416792038618041261e+00,2.303266752075790347e+00,1.297341973211629806e+00,7.988298160965379147e+00,4.404140672036736120e-02,1.711123436752901364e-02,1.253251485934524581e-02,6.160522766870378530e-02,1.926831450930434619e-01,7.416031961397377692e-02,5.909596191813301647e-02,2.796884406171450399e-01,3.155595246941860221e-01,1.274939275929502513e-01,1.220636131311729489e-01,5.063986810425107343e-01
5.000000000000000000e+00,4.000000000000000000e+01,9.228886474515164196e+00,1.507966244410369860e+00,8.120326600658842153e+00,1.219914851410084111e+01,6.782948674730846506e+00,7.972290953304742578e-01,5.433558268150839865e+00,7.855483389374717795e+00,5.812211458056643076e-02,6.526107307745407891e-03,4.708366050402487679e-02,6.666274241783240462e-02,2.677026380970348174e-01,3.074801769234551674e-02,2.155562966800329827e-01,2.992385625358235934e-01,4.239580384815239134e-01,6.240447459298355953e-02,3.244694760153150614e-01,4.920130163202106055e-01
5.000000000000000000e+00,6.000000000000000000e+01,8.038520673494113922e+00,1.907084632459395968e+00,5.510794958832320845e+00,1.095252776943159745e+01,7.139643861250313250e+00,5.499458509772352510e-01,6.521971974469975564e+00,7.818060355911859993e+00,5.856823968876612163e-02,4.343007662269091421e-03,5.297026462944209868e-02,6.344937676484720124e-02,2.793630232066179886e-01,4.073736819472694587e-02,2.302339214516142263e-01,3.364020569747734890e-01,4.688501958218399546e-01,4.833771190680211105e-02,3.814531380385592363e-01,5.146191580006941324e-01
