# rp,lp,E(mdd),s(mdd),min(mdd),max(mdd),E(ar),s(ar),min(ar),max(ar),E(SR1),s(SR1),min(SR1),max(SR1),E(SR2),s(SR2),min(SR2),max(SR2),E(SR3),s(SR3),min(SR3),max(SR3)
1.000000000000000000e+00,5.000000000000000000e+00,1.771208994043847440e+01,0.000000000000000000e+00,1.771208994043847440e+01,1.771208994043847440e+01,-9.402089054366902232e-01,0.000000000000000000e+00,-9.402089054366902232e-01,-9.402089054366902232e-01,-4.317906384625704377e-03,0.000000000000000000e+00,-4.317906384625704377e-03,-4.317906384625704377e-03,-2.399297545428314901e-02,0.000000000000000000e+00,-2.399297545428314901e-02,-2.399297545428314901e-02,-3.371884342805260559e-02,0.000000000000000000e+00,-3.371884342805260559e-02,-3.371884342805260559e-02
1.000000000000000000e+00,2.000000000000000000e+01,1.271389102899992452e+01,0.000000000000000000e+00,1.271389102899992452e+01,1.271389102899992452e+01,1.279057445402842497e+00,0.000000000000000000e+00,1.279057445402842497e+00,1.279057445402842497e+00,1.184540163244776623e-02,0.000000000000000000e+00,1.184540163244776623e-02,1.184540163244776623e-02,4.678446285696247209e-02,0.000000000000000000e+00,4.678446285696247209e-02,4.678446285696247209e-02,1.542072360844912518e-02,0.000000000000000000e+00,1.542072360844912518e-02,1.542072360844912518e-02
1.000000000000000000e+00,4.000000000000000000e+01,8.926402548340405474e+00,0.000000000000000000e+00,8.926402548340405474e+00,8.926402548340405474e+00,4.832460452935705142e+00,0.000000000000000000e+00,4.832460452935705142e+00,4.832460452935705142e+00,4.092138717839848699e-02,0.000000000000000000e+00,4.092138717839848699e-02,4.092138717839848699e-02,1.781591816054690636e-01,0.000000000000000000e+00,1.781591816054690636e-01,1.781591816054690636e-01,2.312429922141050476e-01,0.000000000000000000e+00,2.312429922141050476e-01,2.312429922141050476e-01
1.000000000000000000e+00,6.000000000000000000e+01,8.617738171630890065e+00,0.000000000000000000e+00,8.617738171630890065e+00,8.617738171630890065e+00,5.902240514481360556e+00,0.000000000000000000e+00,5.902240514481360556e+00,5.902240514481360556e+00,4.917922011985757791e-02,0.000000000000000000e+00,4.917922011985757791e-02,4.917922011985757791e-02,2.147124712031673321e-01,0.000000000000000000e+00,2.147124712031673321e-01,2.147124712031673321e-01,3.677837581503112241e-01,0.000000000000000000e+00,3.677837581503112241e-01,3.677837581503112241e-01
1.000000000000000000e+00,1.200000000000000000e+02,1.099444206523149603e+01,0.000000000000000000e+00,1.099444206523149603e+01,1.099444206523149603e+01,4.351936567959358015e+00,0.000000000000000000e+00,4.351936567959358015e+00,4.351936567959358015e+00,3.736751739967204139e-02,0.000000000000000000e+00,3.736751739967204139e-02,3.736751739967204139e-02,1.620348713724916179e-01,0.000000000000000000e+00,1.620348713724916179e-01,1.620348713724916179e-01,2.352592643969623198e-01,0.000000000000000000e+00,2.352592643969623198e-01,2.352592643969623198e-01
1.000000000000000000e+00,2.250000000000000000e+02,1.126219174770244535e+01,0.000000000000000000e+00,1.126219174770244535e+01,1.126219174770244535e+01,4.245062024808676782e+00,0.000000000000000000e+00,4.245062024808676782e+00,4.245062024808676782e+00,3.806548716142838656e-02,0.000000000000000000e+00,3.806548716142838656e-02,3.806548716142838656e-02,1.596711091242981606e-01,0.000000000000000000e+00,1.596711091242981606e-01,1.596711091242981606e-01,2.961705062833082103e-01,0.000000000000000000e+00,2.961705062833082103e-01,2.961705062833082103e-01
5.000000000000000000e+00,5.000000000000000000e+00,1.893126683810613287e+01,9.532552471361457336e+00,1.031871585927271440e+01,3.652605489455562804e+01,2.156409480087007502e+00,3.821035415526209622e+00,-4.204817065477850946e+00,6.971074255689702071e+00,1.743710561282897295e-02,2.553300419899676155e-02,-2.476818806532520359e-02,5.009154151681618344e-02,7.481177866460234083e-02,1.139527937753994496e-01,-1.121113437174182798e-01,2.162069070421584471e-01,1.363381273460642085e-01,1.847273929985743524e-01,-1.653483705548128013e-01,3.679699909112789102e-01
5.000000000000000000e+00,2.000000000000000000e+01,1.239826782412505324e+01,1.577865922678874488e+00,9.646133807466668486e+00,1.396472997397863480e+01,3.650448504980228215e+00,1.875585287276299917e+00,8.738424755535767474e-01,6.677838104307909362e+00,2.823594084502476995e-02,1.259246807689764699e-02,8.842540463846677509e-03,4.793852944941872501e-02,1.242796336050409900e-01,6.394313472505518126e-02,3.572761510207803776e-02,2.338654645095154805e-01,1.659825564945191789e-01,1.209329326087957984e-01,1.964923318161051688e-02,3.857721452140282503e-01
5.000000000000000000e+00,4.000000000000000000e+01,9.026086450822484508e+00,9.153403137839717374e-01,7.803455312869971294e+00,1.015391924900710308e+01,6.013119011701832939e+00,7.789445845545832636e-01,4.581932557717927068e+00,6.798843011081578958e+00,4.915068674002608107e-02,5.718523403316603734e-03,3.897330653548278234e-02,5.466593688036965049e-02,2.277554941747335637e-01,3.326452058672625667e-02,1.802557115705884783e-01,2.812113162619305773e-01,3.242106858780615108e-01,5.474705191285843264e-02,2.456915825412556986e-01,4.125588915148752367e-01
5.000000000000000000e+00,6.000000000000000000e+01,9.105746468863681997e+00,1.840709853416832908e+00,7.184757750140263965e+00,1.233713692027123443e+01,6.523725748714777062e+00,4.157006604444823950e-01,5.932689325224593802e+00,6.914834255845847544e+00,5.304998278730686107e-02,3.427268528472273996e-03,4.811016882512743342e-02,5.679497911427171947e-02,2.503742949972158627e-01,4.388180072626154254e-02,1.968205647957178561e-01,3.022114969236494031e-01,4.033639912104355352e-01,6.357145571964133157e-02,3.037745423094102004e-01,4.730316858194691942e-01
