# rp,lp,E(mdd),s(mdd),min(mdd),max(mdd),E(ar),s(ar),min(ar),max(ar),E(SR1),s(SR1),min(SR1),max(SR1),E(SR2),s(SR2),min(SR2),max(SR2),E(SR3),s(SR3),min(SR3),max(SR3)
1.000000000000000000e+00,5.000000000000000000e+00,3.132617700933172955e+01,0.000000000000000000e+00,3.132617700933172955e+01,3.132617700933172955e+01,8.894312224057898675e-01,0.000000000000000000e+00,8.894312224057898675e-01,8.894312224057898675e-01,8.313427999357664300e-03,0.000000000000000000e+00,8.313427999357664300e-03,8.313427999357664300e-03,3.711274788340308134e-02,0.000000000000000000e+00,3.711274788340308134e-02,3.711274788340308134e-02,6.405335402766726416e-02,0.000000000000000000e+00,6.405335402766726416e-02,6.405335402766726416e-02
1.000000000000000000e+00,2.000000000000000000e+01,3.046192991477606427e+01,0.000000000000000000e+00,3.046192991477606427e+01,3.046192991477606427e+01,7.572924805769654100e-01,0.000000000000000000e+00,7.572924805769654100e-01,7.572924805769654100e-01,7.653586624261546519e-03,0.000000000000000000e+00,7.653586624261546519e-03,7.653586624261546519e-03,3.437806713185744684e-02,0.000000000000000000e+00,3.437806713185744684e-02,3.437806713185744684e-02,6.123585802052597393e-02,0.000000000000000000e+00,6.123585802052597393e-02,6.123585802052597393e-02
1.000000000000000000e+00,4.000000000000000000e+01,1.681885881408362593e+01,0.000000000000000000e+00,1.681885881408362593e+01,1.681885881408362593e+01,6.965100028062476412e+00,0.000000000000000000e+00,6.965100028062476412e+00,6.965100028062476412e+00,3.648035372636589113e-02,0.000000000000000000e+00,3.648035372636589113e-02,3.648035372636589113e-02,1.686631297677689545e-01,0.000000000000000000e+00,1.686631297677689545e-01,1.686631297677689545e-01,2.768957170419134584e-01,0.000000000000000000e+00,2.768957170419134584e-01,2.768957170419134584e-01
1.000000000000000000e+00,6.000000000000000000e+01,2.659918378668322703e+01,0.000000000000000000e+00,2.659918378668322703e+01,2.659918378668322703e+01,4.272221390545993813e+00,0.000000000000000000e+00,4.272221390545993813e+00,4.272221390545993813e+00,2.485369527077192428e-02,0.000000000000000000e+00,2.485369527077192428e-02,2.485369527077192428e-02,1.058582003713353509e-01,0.000000000000000000e+00,1.058582003713353509e-01,1.058582003713353509e-01,1.943299851810105228e-01,0.000000000000000000e+00,1.943299851810105228e-01,1.943299851810105228e-01
1.000000000000000000e+00,1.200000000000000000e+02,2.742957139561346480e+01,0.000000000000000000e+00,2.742957139561346480e+01,2.742957139561346480e+01,6.316361252251656566e+00,0.000000000000000000e+00,6.316361252251656566e+00,6.316361252251656566e+00,3.377951297361320854e-02,0.000000000000000000e+00,3.377951297361320854e-02,3.377951297361320854e-02,1.411886081548960614e-01,0.000000000000000000e+00,1.411886081548960614e-01,1.411886081548960614e-01,2.412513927519028545e-01,0.000000000000000000e+00,2.412513927519028545e-01,2.412513927519028545e-01
1.000000000000000000e+00,2.250000000000000000e+02,3.170060026326206071e+01,0.000000000000000000e+00,3.170060026326206071e+01,3.170060026326206071e+01,3.418671896018632417e+00,0.000000000000000000e+00,3.418671896018632417e+00,3.418671896018632417e+00,2.041707794771001339e-02,0.000000000000000000e+00,2.041707794771001339e-02,2.041707794771001339e-02,8.754761055860257879e-02,0.000000000000000000e+00,8.754761055860257879e-02,8.754761055860257879e-02,1.595181831199542488e-01,0.000000000000000000e+00,1.595181831199542488e-01,1.595181831199542488e-01
5.000000000000000000e+00,5.000000000000000000e+00,2.726274673158667383e+01,7.883196971219547322e+00,1.820809456520578351e+01,3.955301808610801828e+01,2.366065406949476202e+00,3.427409902910845574e+00,-1.419524136405547754e+00,8.231075312654102305e+00,1.495059574101826813e-02,1.582875735035638859e-02,-2.973011679558607966e-03,4.162609094654263348e-02,6.423618120771927564e-02,6.788408464705739109e-02,-1.097622223607525038e-02,1.787362931572712699e-01,1.128291129358745398e-01,1.184330158798291149e-01,-1.154689802750569552e-02,3.173310009102781049e-01
5.000000000000000000e+00,2.000000000000000000e+01,2.177090312932320160e+01,2.285498053525055084e+00,1.805805128692807671e+01,2.421510557965426358e+01,3.769082525189725974e+00,1.441568725415093510e+00,1.359848012705433540e+00,5.851997755708993054e+00,2.180158750213675306e-02,6.784408798449804989e-03,1.052410603835113659e-02,3.164950216851466352e-02,9.620225856849182189e-02,2.797939201069956847e-02,4.787979791996699319e-02,1.344454596928953694e-01,1.361809776108865999e-01,4.311914294751214433e-02,6.554258065334982175e-02,1.985283571965912597e-01
5.000000000000000000e+00,4.000000000000000000e+01,1.867113576879078352e+01,3.009212137172731616e+00,1.387467209481582131e+01,2.207372243409152190e+01,6.413276873275798096e+00,1.576225607719002886e+00,3.937449393207237414e+00,8.746547830723173433e+00,3.360292403682846318e-02,7.101408378351760538e-03,2.255247596296054702e-02,4.436754549091571215e-02,1.555879628007088011e-01,3.257174276263522655e-02,1.019003966683976331e-01,2.000538489051083002e-01,2.562921591628780638e-01,5.604745790611117412e-02,1.745115132386352574e-01,3.417927572138398928e-01
5.000000000000000000e+00,6.000000000000000000e+01,2.306065041153417638e+01,2.683468768474911670e+00,2.104525345272035963e+01,2.829607298262700965e+01,5.414657624651559864e+00,1.161051851542271418e+00,4.229863388753218878e+00,7.534632259900764240e+00,3.063597198447988793e-02,5.446392096108692606e-03,2.479539801510114924e-02,4.065078170564526833e-02,1.315800933034481646e-01,2.598531892859321304e-02,1.029928191360920953e-01,1.795880887441454188e-01,2.275613105828803717e-01,5.309662470455315392e-02,1.658994359967243815e-01,3.156378286540821310e-01
