# rp,lp,E(mdd),s(mdd),min(mdd),max(mdd),E(ar),s(ar),min(ar),max(ar),E(SR1),s(SR1),min(SR1),max(SR1),E(SR2),s(SR2),min(SR2),max(SR2),E(SR3),s(SR3),min(SR3),max(SR3)
1.000000000000000000e+00,5.000000000000000000e+00,4.015507656939233527e+01,0.000000000000000000e+00,4.015507656939233527e+01,4.015507656939233527e+01,-1.603809518642074217e+00,0.000000000000000000e+00,-1.603809518642074217e+00,-1.603809518642074217e+00,-4.715953184685788523e-03,0.000000000000000000e+00,-4.715953184685788523e-03,-4.715953184685788523e-03,-1.717312755184368170e-02,0.000000000000000000e+00,-1.717312755184368170e-02,-1.717312755184368170e-02,-6.250528105038996585e-02,0.000000000000000000e+00,-6.250528105038996585e-02,-6.250528105038996585e-02
1.000000000000000000e+00,2.000000000000000000e+01,3.868555726777115211e+01,0.000000000000000000e+00,3.868555726777115211e+01,3.868555726777115211e+01,2.133945447407992191e+00,0.000000000000000000e+00,2.133945447407992191e+00,2.133945447407992191e+00,1.489926952332093664e-02,0.000000000000000000e+00,1.489926952332093664e-02,1.489926952332093664e-02,7.131045921304918211e-02,0.000000000000000000e+00,7.131045921304918211e-02,7.131045921304918211e-02,1.189285127679431953e-01,0.000000000000000000e+00,1.189285127679431953e-01,1.189285127679431953e-01
1.000000000000000000e+00,4.000000000000000000e+01,3.083679725234604518e+01,0.000000000000000000e+00,3.083679725234604518e+01,3.083679725234604518e+01,5.094583271002406377e+00,0.000000000000000000e+00,5.094583271002406377e+00,5.094583271002406377e+00,2.943356930607454042e-02,0.000000000000000000e+00,2.943356930607454042e-02,2.943356930607454042e-02,1.477582599276667241e-01,0.000000000000000000e+00,1.477582599276667241e-01,1.477582599276667241e-01,2.479788509450562284e-01,0.000000000000000000e+00,2.479788509450562284e-01,2.479788509450562284e-01
1.000000000000000000e+00,6.000000000000000000e+01,2.631979316165798366e+01,0.000000000000000000e+00,2.631979316165798366e+01,2.631979316165798366e+01,6.488076662914887827e+00,0.000000000000000000e+00,6.488076662914887827e+00,6.488076662914887827e+00,3.568318723345756394e-02,0.000000000000000000e+00,3.568318723345756394e-02,3.568318723345756394e-02,1.952181509538358783e-01,0.000000000000000000e+00,1.952181509538358783e-01,1.952181509538358783e-01,3.134245230935969184e-01,0.000000000000000000e+00,3.134245230935969184e-01,3.134245230935969184e-01
1.000000000000000000e+00,1.200000000000000000e+02,3.166941920167226954e+01,0.000000000000000000e+00,3.166941920167226954e+01,3.166941920167226954e+01,4.109720595330523807e+00,0.000000000000000000e+00,4.109720595330523807e+00,4.109720595330523807e+00,2.483923057255753991e-02,0.000000000000000000e+00,2.483923057255753991e-02,2.483923057255753991e-02,1.224591699306813858e-01,0.000000000000000000e+00,1.224591699306813858e-01,1.224591699306813858e-01,1.892136759364212162e-01,0.000000000000000000e+00,1.892136759364212162e-01,1.892136759364212162e-01
1.000000000000000000e+00,2.250000000000000000e+02,4.068459758755547995e+01,0.000000000000000000e+00,4.068459758755547995e+01,4.068459758755547995e+01,2.664955758409059960e+00,0.000000000000000000e+00,2.664955758409059960e+00,2.664955758409059960e+00,1.750177257817215129e-02,0.000000000000000000e+00,1.750177257817215129e-02,1.750177257817215129e-02,9.272921250211216271e-02,0.000000000000000000e+00,9.272921250211216271e-02,9.272921250211216271e-02,1.519946093472211990e-01,0.000000000000000000e+00,1.519946093472211990e-01,1.519946093472211990e-01
5.000000000000000000e+00,5.000000000000000000e+00,3.163580788093890916e+01,3.143580831777506024e+00,2.642230900619473744e+01,3.482060848696225719e+01,3.233425818417385411e+00,1.346212456308725436e+00,1.959656003024012882e+00,5.661592444096097410e+00,1.994345864622204534e-02,6.459011345637873103e-03,1.382577783764136516e-02,3.151658485585268760e-02,8.858488332675595878e-02,2.848636667678557458e-02,6.014689462793617464e-02,1.388852825575552785e-01,1.531204872242211690e-01,5.744358263003707110e-02,9.699573074885911583e-02,2.586053436753463219e-01
5.000000000000000000e+00,2.000000000000000000e+01,3.289514429634804316e+01,6.521175589858867028e+00,2.302546577825259533e+01,4.089797595283811660e+01,3.294532116739152805e+00,1.619615442875369293e+00,6.525672809749361036e-01,5.638429339964323717e+00,2.069538608770019050e-02,8.481378072724020736e-03,7.113250501840680771e-03,3.335975929072546725e-02,9.663863308123156470e-02,3.988442205317029726e-02,3.558687706932373712e-02,1.602995045485015591e-01,1.757837290853963008e-01,7.898199283792525782e-02,6.147052023004599686e-02,3.034942613708065395e-01
5.000000000000000000e+00,4.000000000000000000e+01,2.850447229044681308e+01,3.458834902209051432e+00,2.177257289626588488e+01,3.084667199848098562e+01,4.925183029289477155e+00,9.502908913595261575e-01,3.925472892700931915e+00,6.677797094871507078e+00,2.828394435413123659e-02,4.438384463125443456e-03,2.358835678942535277e-02,3.640744087008807722e-02,1.327437297928086291e-01,1.556925967800498398e-02,1.119731789341747441e-01,1.554501677796049919e-01,2.358450661592415842e-01,3.039430543756888384e-02,1.876620963741320591e-01,2.766503929372806647e-01
5.000000000000000000e+00,6.000000000000000000e+01,3.282324995905291587e+01,3.451874238582572918e+00,2.880834788774289734e+01,3.832746185277289186e+01,5.240651763617307779e+00,5.885832397710358821e-01,4.580053383290016988e+00,6.197005122300569546e+00,2.967802093563946461e-02,2.753534855994519814e-03,2.648790738683741083e-02,3.404243792940113422e-02,1.422932397573844487e-01,2.327095021950614448e-02,1.211828619923394079e-01,1.874769315860790875e-01,2.474150184479434189e-01,3.809283426502638181e-02,2.049003605455157750e-01,3.187204500286182629e-01
5.000000000000000000e+00,1.200000000000000000e+02,3.343909326441426089e+01,1.642953048613459144e+00,3.115774164355336495e+01,3.607514174448298405e+01,3.170707865538902048e+00,7.615972383683244917e-01,1.834371046074978473e+00,3.975194946520943517e+00,1.998856207626720921e-02,3.898327545961810959e-03,1.316046315889909772e-02,2.415326570754550498e-02,9.340332054597702549e-02,2.017769121575479704e-02,6.315972808029472751e-02,1.189169073440889957e-01,1.452853460220698834e-01,3.336140225330196801e-02,9.335039116708079843e-02,1.864202567931845800e-01
