# rp,lp,E(mdd),s(mdd),min(mdd),max(mdd),E(ar),s(ar),min(ar),max(ar),E(SR1),s(SR1),min(SR1),max(SR1),E(SR2),s(SR2),min(SR2),max(SR2),E(SR3),s(SR3),min(SR3),max(SR3)
1.000000000000000000e+00,5.000000000000000000e+00,1.736457925361348487e+01,0.000000000000000000e+00,1.736457925361348487e+01,1.736457925361348487e+01,9.886494475541907079e-01,0.000000000000000000e+00,9.886494475541907079e-01,9.886494475541907079e-01,9.021515461572362712e-03,0.000000000000000000e+00,9.021515461572362712e-03,9.021515461572362712e-03,3.647927342840889126e-02,0.000000000000000000e+00,3.647927342840889126e-02,3.647927342840889126e-02,7.706230544508396729e-02,0.000000000000000000e+00,7.706230544508396729e-02,7.706230544508396729e-02
1.000000000000000000e+00,2.000000000000000000e+01,1.645551113524996367e+01,0.000000000000000000e+00,1.645551113524996367e+01,1.645551113524996367e+01,3.210120581808517670e+00,0.000000000000000000e+00,3.210120581808517670e+00,3.210120581808517670e+00,2.079755294453060691e-02,0.000000000000000000e+00,2.079755294453060691e-02,2.079755294453060691e-02,9.150506348829161307e-02,0.000000000000000000e+00,9.150506348829161307e-02,9.150506348829161307e-02,1.584916127179427925e-01,0.000000000000000000e+00,1.584916127179427925e-01,1.584916127179427925e-01
1.000000000000000000e+00,4.000000000000000000e+01,1.213201747276796993e+01,0.000000000000000000e+00,1.213201747276796993e+01,1.213201747276796993e+01,7.591638149932378177e+00,0.000000000000000000e+00,7.591638149932378177e+00,7.591638149932378177e+00,4.331505618726184254e-02,0.000000000000000000e+00,4.331505618726184254e-02,4.331505618726184254e-02,2.039017905464328706e-01,0.000000000000000000e+00,2.039017905464328706e-01,2.039017905464328706e-01,3.186814460317013431e-01,0.000000000000000000e+00,3.186814460317013431e-01,3.186814460317013431e-01
1.000000000000000000e+00,6.000000000000000000e+01,1.104700698256259273e+01,0.000000000000000000e+00,1.104700698256259273e+01,1.104700698256259273e+01,1.031994051551015090e+01,0.000000000000000000e+00,1.031994051551015090e+01,1.031994051551015090e+01,5.575145659228267908e-02,0.000000000000000000e+00,5.575145659228267908e-02,5.575145659228267908e-02,2.736618142091158945e-01,0.000000000000000000e+00,2.736618142091158945e-01,2.736618142091158945e-01,4.738449747273876245e-01,0.000000000000000000e+00,4.738449747273876245e-01,4.738449747273876245e-01
1.000000000000000000e+00,1.200000000000000000e+02,2.255503042693275972e+01,0.000000000000000000e+00,2.255503042693275972e+01,2.255503042693275972e+01,4.944046380282696163e+00,0.000000000000000000e+00,4.944046380282696163e+00,4.944046380282696163e+00,2.933140277359900377e-02,0.000000000000000000e+00,2.933140277359900377e-02,2.933140277359900377e-02,1.287250115706874976e-01,0.000000000000000000e+00,1.287250115706874976e-01,1.287250115706874976e-01,2.090630887914508851e-01,0.000000000000000000e+00,2.090630887914508851e-01,2.090630887914508851e-01
1.000000000000000000e+00,2.250000000000000000e+02,1.255618207524996421e+01,0.000000000000000000e+00,1.255618207524996421e+01,1.255618207524996421e+01,8.352128296728222878e+00,0.000000000000000000e+00,8.352128296728222878e+00,8.352128296728222878e+00,4.656333692738026664e-02,0.000000000000000000e+00,4.656333692738026664e-02,4.656333692738026664e-02,2.218741591937514746e-01,0.000000000000000000e+00,2.218741591937514746e-01,2.218741591937514746e-01,4.020513281077741086e-01,0.000000000000000000e+00,4.020513281077741086e-01,4.020513281077741086e-01
5.000000000000000000e+00,5.000000000000000000e+00,2.087288696235952656e+01,6.134652221943716732e+00,1.344725959438891039e+01,3.193891714131392234e+01,5.584425638357051191e+00,3.607022963946185712e+00,-2.362775255700277910e-01,9.512302691702423374e+00,3.279670667042593191e-02,1.841266333947884706e-02,2.400095560503701271e-03,5.278486717869160239e-02,1.460091313896390575e-01,9.418358346046955265e-02,-1.940553957155611957e-03,2.595479533360613988e-01,2.830995655257864119e-01,1.641727076547584985e-01,3.343807151442824283e-02,5.031061534994751838e-01
5.000000000000000000e+00,2.000000000000000000e+01,1.602785905711863279e+01,3.279520789053719021e+00,1.020223140052490862e+01,2.012744263877934259e+01,6.955864026464996464e+00,3.710991708647171539e+00,2.351534831828794303e+00,1.316473219026761399e+01,3.942932560909435252e-02,1.824195871789621726e-02,1.613469066900940010e-02,6.926377821663107226e-02,1.815178996317489690e-01,8.388135456510875665e-02,7.824165491952182749e-02,3.238692313382205423e-01,2.966760388283511407e-01,1.481494554004210706e-01,1.606935860273000227e-01,5.606518593779374893e-01
5.000000000000000000e+00,4.000000000000000000e+01,1.350298360265735553e+01,2.168848109085776965e+00,1.096483245708095922e+01,1.648317528959198341e+01,8.712820955337766904e+00,1.703093929488561864e+00,5.769390125309104000e+00,1.099137861386776294e+01,4.841182835906550352e-02,8.901032653803471126e-03,3.343200138751942913e-02,6.092988338221851791e-02,2.386928887307802893e-01,4.700687451560175284e-02,1.645273675373438438e-01,3.092859681260669569e-01,3.875258386888094653e-01,8.412472493362008197e-02,2.592047141112031050e-01,5.196276900134519927e-01
5.000000000000000000e+00,6.000000000000000000e+01,1.240896603794909048e+01,1.501245019702941219e+00,1.006685916201075770e+01,1.470942364759739007e+01,1.057361892665447201e+01,1.597702747201412032e+00,8.398404547514948248e+00,1.281864875625706723e+01,5.635816817634502207e-02,7.449973946701262881e-03,4.608429803681753784e-02,6.629447736749266573e-02,2.724450984499742767e-01,3.819008739211159076e-02,2.274548147553223099e-01,3.201075888228483435e-01,4.603195510369821331e-01,8.859629543040895006e-02,3.674947000763277294e-01,6.045564409129176031e-01
5.000000000000000000e+00,1.200000000000000000e+02,2.317167883565928221e+01,3.452208771608232585e+00,1.951148137547009753e+01,2.933792798498119225e+01,5.216386704782416395e+00,1.406541411979351786e+00,3.496083346135758774e+00,7.242465647532148054e+00,3.035042942818747674e-02,7.109209097966291344e-03,2.171247869498739436e-02,4.059009608576335387e-02,1.372877010176967727e-01,3.571464761738939869e-02,9.125681400115280562e-02,1.804707517856687649e-01,2.233622029635330963e-01,5.851240255967019716e-02,1.481025071947674188e-01,2.987643180562473133e-01
5.000000000000000000e+00,2.250000000000000000e+02,1.368346312778745677e+01,2.333222134727546138e+00,1.177669380751024164e+01,1.757817888316263577e+01,8.632587255054428255e+00,9.617086364207545479e-01,7.456193336018013262e+00,9.867342239097220968e+00,4.758172444561085263e-02,4.596812057174934525e-03,4.190569458831971961e-02,5.356462144834064909e-02,2.325477615242697582e-01,3.109426349313073462e-02,2.048762680983273188e-01,2.887695939529263955e-01,4.056310593253053542e-01,5.279708439507952572e-02,3.334319110392807151e-01,4.691885448446161955e-01
2.000000000000000000e+01,2.000000000000000000e+01,1.772235978007018531e+01,4.775083685129778210e+00,1.074570153747150414e+01,3.073478638994724577e+01,7.649132588598826388e+00,1.894355119578514879e+00,4.259020123623713516e+00,1.091320218267044595e+01,4.280655873732138600e-02,9.257846320627797013e-03,2.498387073321548663e-02,5.777374763355575676e-02,2.077219219880612755e-01,5.262999776162817500e-02,1.042174156511990052e-01,3.144115798555949248e-01,3.474488099883277781e-01,7.325869774266093037e-02,2.057473651987062613e-01,4.807839563748053102e-01
2.000000000000000000e+01,4.000000000000000000e+01,1.637056410906794213e+01,5.785465490795770549e+00,9.184064958606001028e+00,2.893073189935641665e+01,8.548431307118166345e+00,3.170250421735941071e+00,2.867164788650589102e+00,1.339886746548508611e+01,4.676824254725876762e-02,1.571003758779744575e-02,1.825249423032477419e-02,7.255064868448757309e-02,2.342053312438998058e-01,8.922397818077815179e-02,8.638002722915730236e-02,3.919819060304242098e-01,4.125236079004944156e-01,1.430599065688214766e-01,1.612559548934437703e-01,6.023831316707837225e-01
2.000000000000000000e+01,6.000000000000000000e+01,1.600713253215842613e+01,4.003773353027663795e+00,9.184797979331037254e+00,2.088574083820344640e+01,1.016301748263027704e+01,1.531089197783905620e+00,7.519393421460041083e+00,1.291582509314725868e+01,5.418272828459998192e-02,8.024275251641132395e-03,4.312919304646590374e-02,7.061741889715004994e-02,2.596925799815538727e-01,5.350311358963800307e-02,1.789820023570663499e-01,3.540380899523685732e-01,4.394682960716033149e-01,7.416745915195104011e-02,2.840214274327226840e-01,5.945712375029669206e-01
2.000000000000000000e+01,1.200000000000000000e+02,2.511140038411125630e+01,4.565688719925877770e+00,1.721544484498764405e+01,3.166214010180310368e+01,7.942526686373676981e+00,2.396318329821435889e+00,3.025527953158069216e+00,1.093512905170714866e+01,4.146595864703616491e-02,1.147081976961324828e-02,1.876610588594108259e-02,5.601755519485394907e-02,1.892710491012601914e-01,5.768497691531798005e-02,7.672200145906871160e-02,3.075987550578492269e-01,3.451158247891155106e-01,1.096166874676551828e-01,1.281728598788018647e-01,4.958416266705116260e-01
2.000000000000000000e+01,2.250000000000000000e+02,1.337792500870184220e+01,1.692031203198581357e+00,1.003053517350095092e+01,1.668015142100855996e+01,9.197316927309719503e+00,1.099569480188070436e+00,7.712455693215458652e+00,1.167961402026655904e+01,5.039158544594838501e-02,5.516796122264539665e-03,4.254851857730537062e-02,6.233624000804379589e-02,2.503403944038024020e-01,4.438110474163441121e-02,1.836087620047275049e-01,3.253815509120290828e-01,4.498009632600624141e-01,6.001886050754189766e-02,3.424698652518490261e-01,5.358319694526599841e-01
4.000000000000000000e+01,4.000000000000000000e+01,2.079363075330100585e+01,7.228520992697308856e+00,9.258416509238969638e+00,3.102670100652763097e+01,8.828682437700436481e+00,3.075513880554040735e+00,2.137210947433465513e+00,1.530354109348546210e+01,4.693285603960952596e-02,1.519163639867383668e-02,1.473413100053567668e-02,7.364046277636408788e-02,2.239557398037772540e-01,8.432652260963220681e-02,6.063167690673902654e-02,4.030010813588265073e-01,4.025904117875725996e-01,1.679603443024039744e-01,1.048578102192810751e-01,7.629472214916090955e-01
4.000000000000000000e+01,6.000000000000000000e+01,2.196533430382459784e+01,6.120734230811177845e+00,1.366268151510810469e+01,3.083784759577716272e+01,9.274278207058122447e+00,1.983709411806890310e+00,5.699256772536576143e+00,1.402265292459849988e+01,4.826992482485620295e-02,9.444579595283855017e-03,3.252370020552072111e-02,6.786874874518050715e-02,2.272555665706080252e-01,6.194603928441885093e-02,1.223809379000106029e-01,3.892277486000214615e-01,4.017100039387907495e-01,1.175910985652229984e-01,2.064159402069013771e-01,6.658251251397435677e-01
4.000000000000000000e+01,1.200000000000000000e+02,2.714639723237440805e+01,5.267853099593891031e+00,1.461894871740064161e+01,3.906951630686069876e+01,8.659703198265370716e+00,2.273099406412566914e+00,4.335162604822118126e+00,1.544788620519681466e+01,4.383972614136136953e-02,1.093370185706001550e-02,2.368758225489344532e-02,7.626194803997138338e-02,2.023525234674134199e-01,6.017643657380935401e-02,1.033976352152289752e-01,3.717974830626029625e-01,3.696263668913610245e-01,1.218173511219673988e-01,1.725282155466290601e-01,7.284698066100343539e-01
