# rp,lp,E(mdd),s(mdd),min(mdd),max(mdd),E(ar),s(ar),min(ar),max(ar),E(SR1),s(SR1),min(SR1),max(SR1),E(SR2),s(SR2),min(SR2),max(SR2),E(SR3),s(SR3),min(SR3),max(SR3)
1.000000000000000000e+00,5.000000000000000000e+00,3.041211802959067256e+01,0.000000000000000000e+00,3.041211802959067256e+01,3.041211802959067256e+01,-2.481397895027026568e+00,0.000000000000000000e+00,-2.481397895027026568e+00,-2.481397895027026568e+00,-8.624610116959665479e-03,0.000000000000000000e+00,-8.624610116959665479e-03,-8.624610116959665479e-03,-4.301769616502620908e-02,0.000000000000000000e+00,-4.301769616502620908e-02,-4.301769616502620908e-02,-4.401623755464980497e-02,0.000000000000000000e+00,-4.401623755464980497e-02,-4.401623755464980497e-02
1.000000000000000000e+00,2.000000000000000000e+01,2.520180108524962748e+01,0.000000000000000000e+00,2.520180108524962748e+01,2.520180108524962748e+01,1.755305167056242510e-01,0.000000000000000000e+00,1.755305167056242510e-01,1.755305167056242510e-01,4.912145985293946832e-03,0.000000000000000000e+00,4.912145985293946832e-03,4.912145985293946832e-03,1.182119642620970551e-02,0.000000000000000000e+00,1.182119642620970551e-02,1.182119642620970551e-02,-1.736432028636359509e-02,0.000000000000000000e+00,-1.736432028636359509e-02,-1.736432028636359509e-02
1.000000000000000000e+00,4.000000000000000000e+01,1.331911780074992180e+01,0.000000000000000000e+00,1.331911780074992180e+01,1.331911780074992180e+01,7.032793662897240949e+00,0.000000000000000000e+00,7.032793662897240949e+00,7.032793662897240949e+00,3.721589460355832768e-02,0.000000000000000000e+00,3.721589460355832768e-02,3.721589460355832768e-02,1.579930808393200381e-01,0.000000000000000000e+00,1.579930808393200381e-01,1.579930808393200381e-01,2.200703670208414564e-01,0.000000000000000000e+00,2.200703670208414564e-01,2.200703670208414564e-01
1.000000000000000000e+00,6.000000000000000000e+01,1.487783032549991447e+01,0.000000000000000000e+00,1.487783032549991447e+01,1.487783032549991447e+01,7.040084998594453580e+00,0.000000000000000000e+00,7.040084998594453580e+00,7.040084998594453580e+00,3.759120084968457787e-02,0.000000000000000000e+00,3.759120084968457787e-02,3.759120084968457787e-02,1.575095853642425048e-01,0.000000000000000000e+00,1.575095853642425048e-01,1.575095853642425048e-01,2.541362037153969133e-01,0.000000000000000000e+00,2.541362037153969133e-01,2.541362037153969133e-01
1.000000000000000000e+00,1.200000000000000000e+02,2.810176074679502278e+01,0.000000000000000000e+00,2.810176074679502278e+01,2.810176074679502278e+01,3.085074689210176579e+00,0.000000000000000000e+00,3.085074689210176579e+00,3.085074689210176579e+00,1.895390752754807021e-02,0.000000000000000000e+00,1.895390752754807021e-02,1.895390752754807021e-02,8.426516212112918069e-02,0.000000000000000000e+00,8.426516212112918069e-02,8.426516212112918069e-02,1.246447324910332638e-01,0.000000000000000000e+00,1.246447324910332638e-01,1.246447324910332638e-01
1.000000000000000000e+00,2.250000000000000000e+02,1.862518189449993145e+01,0.000000000000000000e+00,1.862518189449993145e+01,1.862518189449993145e+01,6.623408391963492292e+00,0.000000000000000000e+00,6.623408391963492292e+00,6.623408391963492292e+00,3.609990871088746694e-02,0.000000000000000000e+00,3.609990871088746694e-02,3.609990871088746694e-02,1.636528417771401789e-01,0.000000000000000000e+00,1.636528417771401789e-01,1.636528417771401789e-01,2.890434907246172136e-01,0.000000000000000000e+00,2.890434907246172136e-01,2.890434907246172136e-01
5.000000000000000000e+00,5.000000000000000000e+00,2.582326113348911889e+01,9.138897395931746104e+00,1.555767603749985994e+01,3.975248412039301371e+01,2.386213971264705691e+00,4.773078128327084890e+00,-4.160204631776897699e+00,1.034537304602205410e+01,1.452051719991134804e-02,2.160060646815822882e-02,-1.612112090789657656e-02,4.965921663721260121e-02,6.415292607842437711e-02,9.782927432347632291e-02,-7.698638093183189646e-02,2.184767366662331289e-01,1.232924255178801110e-01,1.651860657653924647e-01,-1.037007966695088074e-01,4.000146386899031126e-01
5.000000000000000000e+00,2.000000000000000000e+01,2.121344655485695085e+01,3.254823037398838714e+00,1.516252844885549678e+01,2.397466406507237480e+01,3.609272636225379749e+00,3.429409304850259854e+00,-4.337200152749409732e-01,9.885137553848633019e+00,2.079934871819877351e-02,1.554417886843452966e-02,2.032403887043692740e-03,4.897133999586569114e-02,9.330198313445350888e-02,7.640561106323244533e-02,9.359961893354702689e-03,2.356182333728473743e-01,1.196711080803823241e-01,1.291429325801448091e-01,-7.554846009409019181e-03,3.660613383215613470e-01
5.000000000000000000e+00,4.000000000000000000e+01,1.583664933931372865e+01,2.028016137514879524e+00,1.374663476158238495e+01,1.924454954303644172e+01,8.200523708678414181e+00,1.912144893415463454e+00,4.822348141382959419e+00,1.066944435939165459e+01,4.205029586506760231e-02,8.753184020035904150e-03,2.691203603503277905e-02,5.373450406159258758e-02,1.960327325310198265e-01,4.933323331284829305e-02,1.166151600450368031e-01,2.695210826726602282e-01,3.000584318284106322e-01,8.830888804892703114e-02,1.685139931604890950e-01,4.435025913003059483e-01
5.000000000000000000e+00,6.000000000000000000e+01,1.294925302359293617e+01,1.658602261876349182e+00,1.014666374517076974e+01,1.527777018906213868e+01,9.066440667506423523e+00,1.299594022590562226e+00,7.718981453653483982e+00,1.105517562360127570e+01,4.650292576936902039e-02,5.867426179349047137e-03,4.005034050320447486e-02,5.480033156699668645e-02,2.100532042539627331e-01,3.214226487068946869e-02,1.668384007723573703e-01,2.529492532144435035e-01,3.377161154516400421e-01,6.063251645845230131e-02,2.642882929361255462e-01,4.141827835308041217e-01
