# rp,lp,E(mdd),s(mdd),min(mdd),max(mdd),E(ar),s(ar),min(ar),max(ar),E(SR1),s(SR1),min(SR1),max(SR1),E(SR2),s(SR2),min(SR2),max(SR2),E(SR3),s(SR3),min(SR3),max(SR3)
1.000000000000000000e+00,5.000000000000000000e+00,2.848020784528524985e+01,0.000000000000000000e+00,2.848020784528524985e+01,2.848020784528524985e+01,7.889136726502599117e-01,0.000000000000000000e+00,7.889136726502599117e-01,7.889136726502599117e-01,7.837980206979327374e-03,0.000000000000000000e+00,7.837980206979327374e-03,7.837980206979327374e-03,3.498603467778980958e-02,0.000000000000000000e+00,3.498603467778980958e-02,3.498603467778980958e-02,5.976127163469611286e-02,0.000000000000000000e+00,5.976127163469611286e-02,5.976127163469611286e-02
1.000000000000000000e+00,2.000000000000000000e+01,2.807122565890068699e+01,0.000000000000000000e+00,2.807122565890068699e+01,2.807122565890068699e+01,6.825816022573150121e-01,0.000000000000000000e+00,6.825816022573150121e-01,6.825816022573150121e-01,7.250208932455573865e-03,0.000000000000000000e+00,7.250208932455573865e-03,7.250208932455573865e-03,3.259680247225515970e-02,0.000000000000000000e+00,3.259680247225515970e-02,3.259680247225515970e-02,5.753842160755961999e-02,0.000000000000000000e+00,5.753842160755961999e-02,5.753842160755961999e-02
1.000000000000000000e+00,4.000000000000000000e+01,1.593816766339324431e+01,0.000000000000000000e+00,1.593816766339324431e+01,1.593816766339324431e+01,6.825639074257439098e+00,0.000000000000000000e+00,6.825639074257439098e+00,6.825639074257439098e+00,3.862313303157303979e-02,0.000000000000000000e+00,3.862313303157303979e-02,3.862313303157303979e-02,1.758906940831026500e-01,0.000000000000000000e+00,1.758906940831026500e-01,1.758906940831026500e-01,2.895435760140287473e-01,0.000000000000000000e+00,2.895435760140287473e-01,2.895435760140287473e-01
1.000000000000000000e+00,6.000000000000000000e+01,2.289663729738875020e+01,0.000000000000000000e+00,2.289663729738875020e+01,2.289663729738875020e+01,4.842414324563759642e+00,0.000000000000000000e+00,4.842414324563759642e+00,4.842414324563759642e+00,2.966417535953001089e-02,0.000000000000000000e+00,2.966417535953001089e-02,2.966417535953001089e-02,1.246858181147324218e-01,0.000000000000000000e+00,1.246858181147324218e-01,1.246858181147324218e-01,2.359774864643627568e-01,0.000000000000000000e+00,2.359774864643627568e-01,2.359774864643627568e-01
1.000000000000000000e+00,1.200000000000000000e+02,2.282351983868802847e+01,0.000000000000000000e+00,2.282351983868802847e+01,2.282351983868802847e+01,6.734376890631077472e+00,0.000000000000000000e+00,6.734376890631077472e+00,6.734376890631077472e+00,3.846939809442136843e-02,0.000000000000000000e+00,3.846939809442136843e-02,3.846939809442136843e-02,1.601749595928077530e-01,0.000000000000000000e+00,1.601749595928077530e-01,1.601749595928077530e-01,2.775034648642668023e-01,0.000000000000000000e+00,2.775034648642668023e-01,2.775034648642668023e-01
1.000000000000000000e+00,2.250000000000000000e+02,2.776985490534418943e+01,0.000000000000000000e+00,2.776985490534418943e+01,2.776985490534418943e+01,3.527273652501938805e+00,0.000000000000000000e+00,3.527273652501938805e+00,3.527273652501938805e+00,2.233185381567542524e-02,0.000000000000000000e+00,2.233185381567542524e-02,2.233185381567542524e-02,9.405242705387752145e-02,0.000000000000000000e+00,9.405242705387752145e-02,9.405242705387752145e-02,1.758049276019059970e-01,0.000000000000000000e+00,1.758049276019059970e-01,1.758049276019059970e-01
5.000000000000000000e+00,5.000000000000000000e+00,2.460233216846184590e+01,8.223102349261923294e+00,1.559366294012038168e+01,3.877889490160496422e+01,2.332306363179532660e+00,3.160007051753626950e+00,-1.456891608061061660e+00,7.672795524676900847e+00,1.555706167571117501e-02,1.603670331675578764e-02,-4.107708317282082397e-03,4.225076405519562900e-02,6.652878203753440078e-02,6.826780523010599067e-02,-1.401484799519784642e-02,1.813463487323004053e-01,1.158919120824445093e-01,1.187871752468010467e-01,-1.835865321426178795e-02,3.202766247473262107e-01
5.000000000000000000e+00,2.000000000000000000e+01,2.001998337953833840e+01,1.674616781293656986e+00,1.763203115703767310e+01,2.176306843886898434e+01,3.704794894047926501e+00,1.310517511148276526e+00,1.244058004488968194e+00,5.046638478568721276e+00,2.274392009057709524e-02,6.754292629589596017e-03,1.015064102715519494e-02,2.968655374326640770e-02,9.963907966565194174e-02,2.843682527935834439e-02,4.526344493588692341e-02,1.257281229258606914e-01,1.411828799144693447e-01,4.300432217960620945e-02,5.969384154584091162e-02,1.861981791978314926e-01
5.000000000000000000e+00,4.000000000000000000e+01,1.675226692823500940e+01,2.704112723875343516e+00,1.242360554227899172e+01,1.974160104049848030e+01,6.385084345319569366e+00,1.171508937049432264e+00,4.532291472769234275e+00,8.018759999102066161e+00,3.596923214790466450e-02,5.792110094667201649e-03,2.692913916422169998e-02,4.449468105955887293e-02,1.660902202448916731e-01,2.675633130836877621e-02,1.209274150793680780e-01,1.996635834951308308e-01,2.690635748801527560e-01,4.306867934198647246e-02,2.057507616896703806e-01,3.319480882610519878e-01
5.000000000000000000e+00,6.000000000000000000e+01,2.051484947649624857e+01,2.306410625521858382e+00,1.846014535981844062e+01,2.502615101083726756e+01,5.417875057573993125e+00,8.619096800544381320e-01,4.374504784082944298e+00,6.779419824949517448e+00,3.291261145899092994e-02,4.396460319867840152e-03,2.727277752383295076e-02,3.993819065071311375e-02,1.410392386340459381e-01,2.085029009653930482e-02,1.133321877757341722e-01,1.752560409865280555e-01,2.441385647877334364e-01,4.918644482825102610e-02,1.809777234624379560e-01,3.065791329501457163e-01
5.000000000000000000e+00,1.200000000000000000e+02,2.789029758165694517e+01,2.117867153050528195e+00,2.566281383498754565e+01,3.171389103845885415e+01,4.710595714882432894e+00,7.807164120833942622e-01,3.612986252116923147e+00,5.751886435068764847e+00,2.818535775412821937e-02,4.030849839976119453e-03,2.240428436948098054e-02,3.285208959622567398e-02,1.224306771265237515e-01,1.603547704329368398e-02,1.004420893078068616e-01,1.446340603768975497e-01,2.046471336739015268e-01,3.783212914534876681e-02,1.564967955082258166e-01,2.582343348684796869e-01
5.000000000000000000e+00,2.250000000000000000e+02,2.249017448625307125e+01,2.106083617863925728e+00,2.027516182271934042e+01,2.621397703370101340e+01,4.131920466110914347e+00,8.992580036827342305e-01,3.145881938912520326e+00,5.362620581938726261e+00,2.564243221313389220e-02,4.666657706249688342e-03,2.057612590118611598e-02,3.134291712840702598e-02,1.170143055552055611e-01,1.740096157022573420e-02,9.671168945172198272e-02,1.366998372932878847e-01,2.102099000132787998e-01,4.819191647554173924e-02,1.631477547065109668e-01,2.878287986433038514e-01
2.000000000000000000e+01,2.000000000000000000e+01,2.488083366979369160e+01,8.508557918369488604e+00,1.170942038010306874e+01,4.614465071316254097e+01,3.512978673018085196e+00,2.696856201297957334e+00,-1.943181757906653484e+00,8.322344689834149989e+00,2.128417196405155490e-02,1.328935746345131369e-02,-5.060753739432425312e-03,4.571577231752195491e-02,1.030700577132429852e-01,6.483704451490961140e-02,-9.056706024638660341e-03,2.236322757883069390e-01,1.494935950915505796e-01,1.136482518639069517e-01,-3.286437442656089947e-02,3.793614388863070230e-01
2.000000000000000000e+01,4.000000000000000000e+01,2.188871421346993884e+01,4.111429918201634059e+00,1.789005777091475125e+01,3.387748603976551465e+01,5.524252900928927623e+00,2.228671017774547902e+00,1.727384134699305740e+00,9.270578574638598468e+00,3.157462081088704964e-02,1.107435990155249475e-02,1.255653826775246680e-02,4.819783639458126434e-02,1.455635363592786280e-01,5.776144009540587487e-02,5.416320170356650476e-02,2.502287766738923724e-01,2.251845079265087368e-01,9.637372415023252870e-02,6.466184711614259006e-02,3.924220005397126010e-01
2.000000000000000000e+01,6.000000000000000000e+01,2.355752689332010874e+01,3.385944895521530107e+00,1.947079948110113889e+01,3.144935101777825537e+01,4.597994712939894590e+00,1.432205921370027557e+00,1.845520746904494302e+00,7.154319284520971323e+00,2.838225391157339628e-02,7.748674435009056220e-03,1.373903669275751416e-02,4.131766158125076832e-02,1.264826370638790221e-01,4.053453164773680728e-02,6.029572594669694446e-02,1.901795909592561562e-01,1.924082616218824593e-01,6.268727560893593009e-02,8.035117290215099128e-02,2.922469175391951279e-01
2.000000000000000000e+01,1.200000000000000000e+02,2.968738963229320760e+01,6.606337603547776993e+00,1.578704403426807801e+01,4.049130308644721765e+01,4.103333085028840088e+00,1.972578037941330908e+00,-9.751470204918399887e-02,7.108148348277021356e+00,2.459440476815811030e-02,9.974377286492551453e-03,3.232271382186297469e-03,3.944821243499348901e-02,1.150074079464763477e-01,5.127249092620809329e-02,2.048284264648385367e-02,1.994804080524424650e-01,1.872799644237655992e-01,8.575510267875445514e-02,2.607630569890447003e-02,3.325936984522775974e-01
2.000000000000000000e+01,2.250000000000000000e+02,2.264987332460524527e+01,2.987533730210470306e+00,1.925668879153823809e+01,2.932545444338681762e+01,3.609630479237038170e+00,9.238645349835442611e-01,2.208289415487629803e+00,6.027207089187225364e+00,2.308378503713428079e-02,4.656783580901371553e-03,1.549692028930956325e-02,3.422123272089162838e-02,1.111778235362605172e-01,2.296368133592010738e-02,6.762244706831545271e-02,1.550812551429937292e-01,1.769437397891287511e-01,4.190138314091190058e-02,1.174559012626301413e-01,3.026846443652178031e-01
4.000000000000000000e+01,4.000000000000000000e+01,2.482309272778564946e+01,4.873456697635806023e+00,1.755661830080545371e+01,3.606647943803370282e+01,5.717749264704345080e+00,2.107106126262316081e+00,9.441601814534905657e-01,1.002239859801683508e+01,3.214503584867634683e-02,1.003157696135568988e-02,8.720917811550772669e-03,5.074429220134633184e-02,1.467595018218591230e-01,5.552658849799969876e-02,4.404344282013346323e-02,2.763637055909019535e-01,2.407679298641350607e-01,9.353317070148613188e-02,4.230046775512284751e-02,4.480060701628596487e-01
