# rp,lp,E(mdd),s(mdd),min(mdd),max(mdd),E(ar),s(ar),min(ar),max(ar),E(SR1),s(SR1),min(SR1),max(SR1),E(SR2),s(SR2),min(SR2),max(SR2),E(SR3),s(SR3),min(SR3),max(SR3)
1.000000000000000000e+00,5.000000000000000000e+00,3.688496441614243082e+01,0.000000000000000000e+00,3.688496441614243082e+01,3.688496441614243082e+01,-1.816422568880771138e+00,0.000000000000000000e+00,-1.816422568880771138e+00,-1.816422568880771138e+00,-6.740334825609346249e-03,0.000000000000000000e+00,-6.740334825609346249e-03,-6.740334825609346249e-03,-2.685749962018572912e-02,0.000000000000000000e+00,-2.685749962018572912e-02,-2.685749962018572912e-02,-7.851793326946264473e-02,0.000000000000000000e+00,-7.851793326946264473e-02,-7.851793326946264473e-02
1.000000000000000000e+00,2.000000000000000000e+01,3.502529953816649311e+01,0.000000000000000000e+00,3.502529953816649311e+01,3.502529953816649311e+01,2.099981362566305521e+00,0.000000000000000000e+00,2.099981362566305521e+00,2.099981362566305521e+00,1.529285203950712067e-02,0.000000000000000000e+00,1.529285203950712067e-02,1.529285203950712067e-02,7.336247449937469134e-02,0.000000000000000000e+00,7.336247449937469134e-02,7.336247449937469134e-02,1.237883240596324430e-01,0.000000000000000000e+00,1.237883240596324430e-01,1.237883240596324430e-01
1.000000000000000000e+00,4.000000000000000000e+01,2.879290292889913871e+01,0.000000000000000000e+00,2.879290292889913871e+01,2.879290292889913871e+01,5.205908753331023320e+00,0.000000000000000000e+00,5.205908753331023320e+00,5.205908753331023320e+00,3.180108009499898331e-02,0.000000000000000000e+00,3.180108009499898331e-02,3.180108009499898331e-02,1.570563309090532988e-01,0.000000000000000000e+00,1.570563309090532988e-01,1.570563309090532988e-01,2.660630277445740766e-01,0.000000000000000000e+00,2.660630277445740766e-01,2.660630277445740766e-01
1.000000000000000000e+00,6.000000000000000000e+01,2.457390621791985552e+01,0.000000000000000000e+00,2.457390621791985552e+01,2.457390621791985552e+01,6.009297367140353785e+00,0.000000000000000000e+00,6.009297367140353785e+00,6.009297367140353785e+00,3.534251955903060238e-02,0.000000000000000000e+00,3.534251955903060238e-02,3.534251955903060238e-02,1.945332675752900475e-01,0.000000000000000000e+00,1.945332675752900475e-01,1.945332675752900475e-01,3.165858003002919863e-01,0.000000000000000000e+00,3.165858003002919863e-01,3.165858003002919863e-01
1.000000000000000000e+00,1.200000000000000000e+02,2.744628454375860827e+01,0.000000000000000000e+00,2.744628454375860827e+01,2.744628454375860827e+01,4.315818959577644165e+00,0.000000000000000000e+00,4.315818959577644165e+00,4.315818959577644165e+00,2.737861293175486432e-02,0.000000000000000000e+00,2.737861293175486432e-02,2.737861293175486432e-02,1.388716036961793743e-01,0.000000000000000000e+00,1.388716036961793743e-01,1.388716036961793743e-01,2.208776609621805054e-01,0.000000000000000000e+00,2.208776609621805054e-01,2.208776609621805054e-01
1.000000000000000000e+00,2.250000000000000000e+02,3.642550218852768040e+01,0.000000000000000000e+00,3.642550218852768040e+01,3.642550218852768040e+01,2.670309090508049543e+00,0.000000000000000000e+00,2.670309090508049543e+00,2.670309090508049543e+00,1.834631808029994413e-02,0.000000000000000000e+00,1.834631808029994413e-02,1.834631808029994413e-02,9.904759652454167562e-02,0.000000000000000000e+00,9.904759652454167562e-02,9.904759652454167562e-02,1.639266329669031019e-01,0.000000000000000000e+00,1.639266329669031019e-01,1.639266329669031019e-01
5.000000000000000000e+00,5.000000000000000000e+00,2.863439167580269284e+01,3.770918840499080105e+00,2.524546482368845091e+01,3.562018201343063595e+01,2.967839033522263747e+00,1.203247115708171444e+00,1.140666703436532536e+00,4.524189250984123056e+00,1.938217071862315469e-02,6.235212084403399593e-03,9.734509163788936104e-03,2.720754420011513644e-02,8.640991617001987646e-02,2.772823719147222282e-02,4.269174573876678008e-02,1.207024893325932685e-01,1.511151168258495214e-01,5.421513663554705653e-02,6.807252918954147247e-02,2.232434538818768577e-01
5.000000000000000000e+00,2.000000000000000000e+01,3.198856561162228829e+01,6.544239426879657096e+00,2.102911956446232011e+01,4.022072241766046119e+01,2.903258027101327521e+00,1.619638702094960969e+00,2.303709271022524874e-01,5.240910192212511198e+00,1.962162063553667818e-02,9.169706083580067904e-03,4.759124665050282199e-03,3.318351436507173402e-02,9.168715803619428839e-02,4.232067579655621886e-02,2.622729542164916813e-02,1.587924408930043718e-01,1.668814360045868805e-01,8.545456869812899370e-02,4.006962243550975938e-02,3.014047575721416905e-01
5.000000000000000000e+00,4.000000000000000000e+01,2.743125948009700465e+01,4.462887555927914640e+00,1.923215131569726566e+01,3.223751561695877399e+01,4.585303909487876695e+00,1.037150252409529294e+00,3.678830301644175904e+00,6.542618786571563483e+00,2.807752496764509553e-02,5.307279381138656910e-03,2.347138037838220753e-02,3.803086520976895618e-02,1.313961171771331760e-01,1.920202431227007595e-02,1.118629788236616407e-01,1.616220982135090078e-01,2.319729534367386548e-01,3.977899168803263746e-02,1.892932427326386169e-01,2.943304796822872604e-01
5.000000000000000000e+00,6.000000000000000000e+01,2.954083684389329889e+01,3.275082878880636983e+00,2.533223349327630558e+01,3.462087472540233080e+01,5.129741481253757840e+00,4.745682989662428075e-01,4.675552579653063923e+00,5.858394343910999780e+00,3.068997198607925636e-02,2.323200808865079174e-03,2.847835263257506369e-02,3.412618721031376173e-02,1.468172902009602931e-01,2.138997864927933562e-02,1.283903710632479933e-01,1.871810093762861227e-01,2.564586019177071963e-01,3.391646818309591166e-02,2.224111675429297219e-01,3.189809842303915621e-01
5.000000000000000000e+00,1.200000000000000000e+02,3.028492760121415728e+01,1.762027815677454257e+00,2.805733954928479079e+01,3.287980533042716047e+01,3.043911490062547465e+00,8.085176008916531432e-01,1.730079286342789402e+00,3.958468890232591519e+00,2.033972216634704483e-02,4.480027153229415408e-03,1.307836357459771746e-02,2.546527613039628601e-02,9.764967694024286049e-02,2.393850995267055373e-02,6.473595416600926022e-02,1.296738158688357234e-01,1.529493757701107515e-01,4.012870006418985808e-02,9.580216558571838514e-02,2.050306798810404840e-01
5.000000000000000000e+00,2.250000000000000000e+02,2.904421169932025037e+01,2.811650781155639045e+00,2.479444895749657007e+01,3.326189122619463490e+01,3.396250566957430550e+00,5.181276147365957430e-01,2.696521458229095281e+00,4.229599593062993712e+00,2.214148280840642219e-02,2.740547388961655714e-03,1.841810327998712887e-02,2.658151968828124240e-02,1.114820841759925074e-01,1.206512561546099066e-02,9.438308082266244625e-02,1.266761443428719436e-01,2.070025428444556559e-01,2.250233206190946009e-02,1.760901520558797728e-01,2.449178548240500963e-01
2.000000000000000000e+01,2.000000000000000000e+01,3.134559993790186994e+01,5.798163995734900489e+00,2.176394697594213312e+01,4.113321761983746683e+01,2.546328289564952829e+00,1.188013796922757326e+00,4.100425756977443825e-01,4.707349271982264050e+00,1.738619269583637286e-02,6.617741698591493582e-03,5.806875952838822137e-03,3.076025986797206735e-02,8.264146410341000060e-02,3.018516807410253841e-02,2.588026928113137948e-02,1.368268503448484830e-01,1.455945062123512601e-01,5.142574420222108950e-02,4.335350585276088325e-02,2.203698887557197228e-01
2.000000000000000000e+01,4.000000000000000000e+01,2.783671292907788342e+01,5.588294661347307013e+00,2.082334336681496723e+01,3.976419065077264747e+01,3.767271545639959918e+00,2.042845758306668813e+00,-4.135079125113017007e-01,7.272771173457037719e+00,2.346746844003752205e-02,1.065631905309361721e-02,1.293404811766646692e-03,4.088296921354831609e-02,1.151292273674443256e-01,5.354500500423453602e-02,3.335205942388480126e-03,2.088086989765783330e-01,2.001966424913476650e-01,8.798758363523098702e-02,5.612778060855217258e-03,3.425277632996781563e-01
2.000000000000000000e+01,6.000000000000000000e+01,3.469056246378170272e+01,5.072825223580097465e+00,2.421151053923045993e+01,4.125703716614351890e+01,4.296768566291916613e+00,1.358490553980817417e+00,2.023839800745697026e+00,7.040181684732815803e+00,2.633357335473939659e-02,7.288663809492171991e-03,1.449545588654503961e-02,4.145357631129310133e-02,1.239847125315420434e-01,3.641681985456875215e-02,6.898640077355043532e-02,2.052746302488086816e-01,2.097038893626630429e-01,6.245055099137580834e-02,1.172886335507350719e-01,3.608702898448646335e-01
2.000000000000000000e+01,1.200000000000000000e+02,3.220659819052015393e+01,5.162942981880229709e+00,2.459674404868533770e+01,4.037262303454210155e+01,3.235929848894389060e+00,8.841196676795979315e-01,1.591055344621450374e+00,4.742734909562607015e+00,2.100721409114629512e-02,4.895461240257355934e-03,1.195045045928292554e-02,2.943209432440138315e-02,9.948021210358731770e-02,2.257399902233601582e-02,6.137259807131231759e-02,1.384042830512423050e-01,1.761400108700538203e-01,5.174427069939729895e-02,9.142889967017248098e-02,2.704732503703252688e-01
2.000000000000000000e+01,2.250000000000000000e+02,2.392754124258810222e+01,2.525339553823634731e+00,1.809691347388428539e+01,2.837821551585084023e+01,3.789649000455701078e+00,7.830745718000762245e-01,2.723307366001614938e+00,5.254858012250473998e+00,2.430207100500205233e-02,4.310347704786709859e-03,1.814637217233924099e-02,3.209208876405152816e-02,1.248345956470990059e-01,2.838922104453031961e-02,8.019497881678719353e-02,1.808805623518039973e-01,2.477932553566224994e-01,5.529225001777424153e-02,1.737912061850117040e-01,3.712954071482951202e-01
4.000000000000000000e+01,4.000000000000000000e+01,3.219236510089769610e+01,5.659251641076162187e+00,2.191003812004201734e+01,4.908624092333377575e+01,3.174253400340870890e+00,1.829443810705710716e+00,-1.376739409070404374e+00,6.016964655641521276e+00,2.022296728827830542e-02,9.575910342911444009e-03,-4.202949560946167215e-03,3.600546047480045891e-02,9.513643089495835148e-02,4.643993284613642109e-02,-2.097333813667126914e-02,1.680002121122883274e-01,1.633564940793429399e-01,7.867405283719069997e-02,-5.473282381241807021e-02,3.110638963670541712e-01
4.000000000000000000e+01,6.000000000000000000e+01,3.540025348951589734e+01,6.238179875457764645e+00,2.164920166992635586e+01,4.693974516694300547e+01,3.374644404493267302e+00,1.448328259978847177e+00,1.292541188019336040e+00,7.356130732331944699e+00,2.114752667808945247e-02,7.486987892230408115e-03,1.043924097330987608e-02,4.217012913092835213e-02,1.018930945016813389e-01,3.775037263926456915e-02,4.573108462489166443e-02,2.130757205592856973e-01,1.719363753981834331e-01,6.071302804512489909e-02,9.359175551686067795e-02,3.481082120061519403e-01
4.000000000000000000e+01,1.200000000000000000e+02,3.555233867866994757e+01,3.995117267310683395e+00,2.715238058498358953e+01,4.517845501549169285e+01,2.357340019168098433e+00,1.228871483252279795e+00,-2.691592239966289490e-01,4.725369937096401962e+00,1.602032449674543543e-02,6.537900375436027887e-03,1.810071386329033119e-03,2.915191945350800382e-02,7.869013389808918180e-02,3.016795086356554439e-02,1.849323536306858931e-02,1.494490195841321756e-01,1.400555221611384515e-01,5.382662852034740542e-02,3.176801542723669408e-02,2.681859516574544022e-01
4.000000000000000000e+01,2.250000000000000000e+02,2.384043844553789171e+01,4.169249888420780259e+00,1.685777088733007645e+01,3.300149104571377734e+01,2.820662117860027074e+00,8.360992885066481639e-01,7.670376753951435589e-01,4.595134026427616369e+00,1.913072007222025098e-02,4.638325695371914130e-03,7.725714496883256607e-03,2.863032313470740414e-02,9.926886884479382833e-02,2.605897397010305955e-02,4.063863946411595818e-02,1.392583459037812221e-01,1.944563881509679404e-01,5.395329162389270183e-02,7.779493832508377338e-02,2.772470847414136852e-01
6.000000000000000000e+01,6.000000000000000000e+01,3.672003331767429302e+01,9.284676350242829557e+00,1.567172514779574044e+01,5.265150301313376247e+01,2.952267869538741873e+00,2.187237629412898343e+00,-1.534852022018384776e+00,7.843236565622335732e+00,1.873713796547376437e-02,1.135094703526237821e-02,-4.499520492070608994e-03,4.399365763167548127e-02,9.284705923647036674e-02,5.456438085274857575e-02,-1.520531657464039600e-02,2.224374064801912243e-01,1.621777341330583322e-01,9.998483170625961647e-02,-3.794412911341376454e-02,3.967250428435930010e-01
6.000000000000000000e+01,1.200000000000000000e+02,3.551899984892391871e+01,3.307126082573486947e+00,2.991970245332782952e+01,4.225518644719323902e+01,2.122831602173990362e+00,1.096340911379721117e+00,1.659547145069106833e-01,4.489060690277257848e+00,1.479295870404688691e-02,5.772232121938064217e-03,4.613765421619387547e-03,2.850724130534352391e-02,7.379951054429141621e-02,2.845632971126975733e-02,3.038572187610298972e-02,1.330418495262204737e-01,1.262594031499037484e-01,4.925690614063830269e-02,3.787952254644901678e-02,2.438678817378109043e-01
6.000000000000000000e+01,2.250000000000000000e+02,2.505164385791122683e+01,5.532042245530403690e+00,1.553345406949459573e+01,3.844016797303360988e+01,2.639666755453316416e+00,1.021897817705081035e+00,4.950215402403479459e-01,4.736630147586362583e+00,1.809112044861897403e-02,5.625438334357647438e-03,6.229597179819326876e-03,2.979978050624781244e-02,9.336913374017265232e-02,3.219947666116607793e-02,3.008375166223928657e-02,1.628481930399380828e-01,1.797328450160364244e-01,6.945854034664496190e-02,5.322621126045017775e-02,3.449233336122041194e-01
1.200000000000000000e+02,1.200000000000000000e+02,3.120230091653617066e+01,3.216484262645705527e+00,2.333593206243692464e+01,3.941189064506743733e+01,3.096345840602246380e+00,1.767551708082937267e+00,-2.532258016068267281e-01,6.759227284698532401e+00,2.024430259717355587e-02,9.602282911373750951e-03,2.533662439488502775e-03,4.124465549729304514e-02,9.908837088204798527e-02,4.639363707292381428e-02,1.818629349325138686e-02,2.204418470029238242e-01,1.677529864121873326e-01,7.740925813873283934e-02,3.338158099871598589e-02,3.394133061684264652e-01
1.200000000000000000e+02,2.250000000000000000e+02,2.336300661042026405e+01,3.718790524678975640e+00,1.660182495043872564e+01,3.678177489861593585e+01,2.694012049664329833e+00,1.093412882148910636e+00,-4.517710203733704688e-01,5.342113091575617645e+00,1.871591585063631449e-02,6.362045378007831833e-03,9.269065629461742872e-04,3.469014994557370613e-02,9.360524324117155959e-02,3.021948905454954065e-02,8.586422318673989779e-03,1.700450802065246181e-01,1.699677664222326023e-01,5.477238869980138175e-02,-3.031857150624150520e-03,2.762621687568969642e-01
2.250000000000000000e+02,2.250000000000000000e+02,2.342443338349625392e+01,4.689348358262499517e+00,1.626967220574020700e+01,3.618146055976760778e+01,2.321956567625933499e+00,1.226160500882614190e+00,-1.359886036149571265e+00,4.637705048186568924e+00,1.662904368773784891e-02,6.977018998863608774e-03,-4.355257114572626959e-03,2.823642610240092998e-02,8.065392420988409805e-02,3.273980080615617599e-02,-2.534050604280096639e-02,1.365639955652487858e-01,1.502131104604463863e-01,6.394869443229964090e-02,-5.355905952322384533e-02,2.924700456312220309e-01
