# rp,lp,E(mdd),s(mdd),min(mdd),max(mdd),E(ar),s(ar),min(ar),max(ar),E(SR1),s(SR1),min(SR1),max(SR1),E(SR2),s(SR2),min(SR2),max(SR2),E(SR3),s(SR3),min(SR3),max(SR3)
1.000000000000000000e+00,5.000000000000000000e+00,1.498714115577126904e+01,0.000000000000000000e+00,1.498714115577126904e+01,1.498714115577126904e+01,1.187298293866234644e+00,0.000000000000000000e+00,1.187298293866234644e+00,1.187298293866234644e+00,1.061168473116201431e-02,0.000000000000000000e+00,1.061168473116201431e-02,1.061168473116201431e-02,4.213346829425820839e-02,0.000000000000000000e+00,4.213346829425820839e-02,4.213346829425820839e-02,8.813191531687128433e-02,0.000000000000000000e+00,8.813191531687128433e-02,8.813191531687128433e-02
1.000000000000000000e+00,2.000000000000000000e+01,1.507144310274996712e+01,0.000000000000000000e+00,1.507144310274996712e+01,1.507144310274996712e+01,3.322520355803848524e+00,0.000000000000000000e+00,3.322520355803848524e+00,3.322520355803848524e+00,2.354825209176221804e-02,0.000000000000000000e+00,2.354825209176221804e-02,2.354825209176221804e-02,1.044562685546268632e-01,0.000000000000000000e+00,1.044562685546268632e-01,1.044562685546268632e-01,1.783872158372440675e-01,0.000000000000000000e+00,1.783872158372440675e-01,1.783872158372440675e-01
1.000000000000000000e+00,4.000000000000000000e+01,1.064813718101591178e+01,0.000000000000000000e+00,1.064813718101591178e+01,1.064813718101591178e+01,7.102890577405940320e+00,0.000000000000000000e+00,7.102890577405940320e+00,7.102890577405940320e+00,4.654667840400986828e-02,0.000000000000000000e+00,4.654667840400986828e-02,4.654667840400986828e-02,2.149243758615289879e-01,0.000000000000000000e+00,2.149243758615289879e-01,2.149243758615289879e-01,3.303821500941306333e-01,0.000000000000000000e+00,3.303821500941306333e-01,3.303821500941306333e-01
1.000000000000000000e+00,6.000000000000000000e+01,9.774385552207988326e+00,0.000000000000000000e+00,9.774385552207988326e+00,9.774385552207988326e+00,9.178866247495133024e+00,0.000000000000000000e+00,9.178866247495133024e+00,9.178866247495133024e+00,5.722039778648314867e-02,0.000000000000000000e+00,5.722039778648314867e-02,5.722039778648314867e-02,2.761567961243969194e-01,0.000000000000000000e+00,2.761567961243969194e-01,2.761567961243969194e-01,4.766350348496238287e-01,0.000000000000000000e+00,4.766350348496238287e-01,4.766350348496238287e-01
1.000000000000000000e+00,1.200000000000000000e+02,1.708456397216615130e+01,0.000000000000000000e+00,1.708456397216615130e+01,1.708456397216615130e+01,4.899292768248497687e+00,0.000000000000000000e+00,4.899292768248497687e+00,4.899292768248497687e+00,3.296550776756073525e-02,0.000000000000000000e+00,3.296550776756073525e-02,3.296550776756073525e-02,1.463561358449628480e-01,0.000000000000000000e+00,1.463561358449628480e-01,1.463561358449628480e-01,2.364453306019466683e-01,0.000000000000000000e+00,2.364453306019466683e-01,2.364453306019466683e-01
1.000000000000000000e+00,2.250000000000000000e+02,1.058887454500001013e+01,0.000000000000000000e+00,1.058887454500001013e+01,1.058887454500001013e+01,7.341010807564085638e+00,0.000000000000000000e+00,7.341010807564085638e+00,7.341010807564085638e+00,4.803195074446699880e-02,0.000000000000000000e+00,4.803195074446699880e-02,4.803195074446699880e-02,2.277150021075630137e-01,0.000000000000000000e+00,2.277150021075630137e-01,2.277150021075630137e-01,4.154756388483917262e-01,0.000000000000000000e+00,4.154756388483917262e-01,4.154756388483917262e-01
5.000000000000000000e+00,5.000000000000000000e+00,1.877373287087235809e+01,6.131869340835191196e+00,1.164017503879149729e+01,3.012881445760160659e+01,5.173912257452085939e+00,3.304198409930502844e+00,-4.877910705158194915e-01,8.496761217256864285e+00,3.371499661426190925e-02,1.902501429342409039e-02,4.109063754907260765e-04,5.258764871411944486e-02,1.486157626818737643e-01,9.480029166325228129e-02,-9.641236683086319356e-03,2.540695172760140119e-01,2.858197580475064781e-01,1.636470864915807732e-01,1.891693481736086632e-02,4.908437696728883970e-01
5.000000000000000000e+00,2.000000000000000000e+01,1.419337305973960284e+01,2.775132015620944248e+00,9.813409823963539225e+00,1.795254471097948112e+01,6.513897644423249922e+00,3.105605680655726175e+00,2.290318622782328006e+00,1.131013126838207228e+01,4.170148094051003701e-02,1.758672628125982143e-02,1.706473975325718123e-02,6.796464116853949411e-02,1.887292467577939559e-01,7.989159592086900186e-02,8.103899891193394600e-02,3.160935688089777096e-01,3.088737865470057020e-01,1.451862817463529520e-01,1.626915599095104803e-01,5.600309243192614916e-01
5.000000000000000000e+00,4.000000000000000000e+01,1.148964431305541645e+01,1.684302653318400900e+00,9.808033069631235890e+00,1.422201660210478735e+01,8.062021197982804921e+00,1.249066320983047929e+00,5.711839478079050458e+00,9.463708704935736904e+00,5.153659666482023061e-02,7.608450896627318508e-03,3.752008773466831287e-02,6.074727574450934642e-02,2.498826342998377581e-01,4.073344094113814928e-02,1.807843768569757092e-01,3.074767543010255011e-01,4.004136204931164622e-01,7.342875259958726863e-02,2.812058118192000689e-01,5.103825050452386325e-01
5.000000000000000000e+00,6.000000000000000000e+01,1.020421048261926877e+01,1.584555684270626763e+00,8.949987093682011619e+00,1.324968729848107785e+01,9.388172429474494152e+00,1.117728786934792273e+00,7.991267436939031299e+00,1.079059016151491335e+01,5.766917358642921487e-02,6.108976222266859768e-03,5.008240551716059558e-02,6.483202291863240929e-02,2.772117252311036006e-01,3.594175083396639742e-02,2.284339635222428500e-01,3.297689085312036084e-01,4.641645797305962162e-01,7.464351233295857257e-02,3.689035159561236954e-01,5.802388386588894775e-01
