# rp,lp,E(mdd),s(mdd),min(mdd),max(mdd),E(ar),s(ar),min(ar),max(ar),E(SR1),s(SR1),min(SR1),max(SR1),E(SR2),s(SR2),min(SR2),max(SR2),E(SR3),s(SR3),min(SR3),max(SR3)
1.000000000000000000e+00,5.000000000000000000e+00,2.635242717605255791e+01,0.000000000000000000e+00,2.635242717605255791e+01,2.635242717605255791e+01,-2.138469965658462701e+00,0.000000000000000000e+00,-2.138469965658462701e+00,-2.138469965658462701e+00,-8.837643438164654794e-03,0.000000000000000000e+00,-8.837643438164654794e-03,-8.837643438164654794e-03,-4.378513306421236151e-02,0.000000000000000000e+00,-4.378513306421236151e-02,-4.378513306421236151e-02,-5.015123898714968220e-02,0.000000000000000000e+00,-5.015123898714968220e-02,-5.015123898714968220e-02
1.000000000000000000e+00,2.000000000000000000e+01,2.093536337849968731e+01,0.000000000000000000e+00,2.093536337849968731e+01,2.093536337849968731e+01,5.450956196481060445e-01,0.000000000000000000e+00,5.450956196481060445e-01,5.450956196481060445e-01,6.513787723282775735e-03,0.000000000000000000e+00,6.513787723282775735e-03,6.513787723282775735e-03,2.034589454123775579e-02,0.000000000000000000e+00,2.034589454123775579e-02,2.034589454123775579e-02,-1.105080415679379584e-02,0.000000000000000000e+00,-1.105080415679379584e-02,-1.105080415679379584e-02
1.000000000000000000e+00,4.000000000000000000e+01,1.100813391950174491e+01,0.000000000000000000e+00,1.100813391950174491e+01,1.100813391950174491e+01,6.183828432435301004e+00,0.000000000000000000e+00,6.183828432435301004e+00,6.183828432435301004e+00,3.773861339926858072e-02,0.000000000000000000e+00,3.773861339926858072e-02,3.773861339926858072e-02,1.624759608331286520e-01,0.000000000000000000e+00,1.624759608331286520e-01,1.624759608331286520e-01,2.185338030239276641e-01,0.000000000000000000e+00,2.185338030239276641e-01,2.185338030239276641e-01
1.000000000000000000e+00,6.000000000000000000e+01,1.149372335249995558e+01,0.000000000000000000e+00,1.149372335249995558e+01,1.149372335249995558e+01,6.747003219895564285e+00,0.000000000000000000e+00,6.747003219895564285e+00,6.747003219895564285e+00,4.118379870936789838e-02,0.000000000000000000e+00,4.118379870936789838e-02,4.118379870936789838e-02,1.755014823282314840e-01,0.000000000000000000e+00,1.755014823282314840e-01,1.755014823282314840e-01,2.849413556991948204e-01,0.000000000000000000e+00,2.849413556991948204e-01,2.849413556991948204e-01
1.000000000000000000e+00,1.200000000000000000e+02,2.174559281332514615e+01,0.000000000000000000e+00,2.174559281332514615e+01,2.174559281332514615e+01,3.549204396715488485e+00,0.000000000000000000e+00,3.549204396715488485e+00,3.549204396715488485e+00,2.355047052382996248e-02,0.000000000000000000e+00,2.355047052382996248e-02,2.355047052382996248e-02,1.025002001896630488e-01,0.000000000000000000e+00,1.025002001896630488e-01,1.025002001896630488e-01,1.491855450917557169e-01,0.000000000000000000e+00,1.491855450917557169e-01,1.491855450917557169e-01
1.000000000000000000e+00,2.250000000000000000e+02,1.551492647674996306e+01,0.000000000000000000e+00,1.551492647674996306e+01,1.551492647674996306e+01,5.756774145056908765e+00,0.000000000000000000e+00,5.756774145056908765e+00,5.756774145056908765e+00,3.657516597338232589e-02,0.000000000000000000e+00,3.657516597338232589e-02,3.657516597338232589e-02,1.621625608736943780e-01,0.000000000000000000e+00,1.621625608736943780e-01,1.621625608736943780e-01,2.888139461423427368e-01,0.000000000000000000e+00,2.888139461423427368e-01,2.888139461423427368e-01
5.000000000000000000e+00,5.000000000000000000e+00,2.338489317957184355e+01,9.195567799921580132e+00,1.417711146774989572e+01,3.860141313181028266e+01,2.207656893016969324e+00,4.384584080945541196e+00,-4.235131350566256891e+00,9.092802056359072793e+00,1.470636283580013283e-02,2.269907978711537336e-02,-1.932551015567404717e-02,4.961777592270105036e-02,6.435831730786038818e-02,1.023999761048427770e-01,-9.059274274916094549e-02,2.169589576160190492e-01,1.212652304578530904e-01,1.682321442621852181e-01,-1.254827800782910840e-01,3.860374441263993428e-01
5.000000000000000000e+00,2.000000000000000000e+01,1.819348576535773176e+01,2.823929645419577028e+00,1.294478858120471898e+01,2.051591583880978931e+01,3.606165964068197560e+00,2.879413842466282514e+00,-4.935948933626477242e-02,8.774493087076361775e+00,2.271604295259018955e-02,1.491288093899543338e-02,3.318429703312061278e-03,4.915765020373816241e-02,1.011406256587494001e-01,7.363679287668681295e-02,1.387630794457836783e-02,2.366793186206857524e-01,1.285729099039646661e-01,1.267017540319213542e-01,-4.068429571204518723e-03,3.686518540652409248e-01
5.000000000000000000e+00,4.000000000000000000e+01,1.276641746723033677e+01,9.138636742229730991e-01,1.153342164211289855e+01,1.406600272344388713e+01,7.436507287626676899e+00,1.536818515594641887e+00,4.671413651054256988e+00,9.256132613460611225e+00,4.387186499730461042e-02,8.222798812857749773e-03,2.948661332734321683e-02,5.417233046286031029e-02,2.055508762436998038e-01,4.685456373841919570e-02,1.308515543325118324e-01,2.748166060829110302e-01,3.059662075481400234e-01,8.155107693299777638e-02,1.837656979987844497e-01,4.365792075898619617e-01
5.000000000000000000e+00,6.000000000000000000e+01,1.115547893403523538e+01,1.686002237726946573e+00,9.722417241619737638e+00,1.442129531411231369e+01,8.117225641450490414e+00,9.501507284834579403e-01,7.083032469015893007e+00,9.562667072130626167e+00,4.801087510145081449e-02,5.058463451948913212e-03,4.218505673510245663e-02,5.494703573922069678e-02,2.194858568775286400e-01,3.264839745798367443e-02,1.769513944999354382e-01,2.637769097874926305e-01,3.502857299451915263e-01,5.885802088319540964e-02,2.814414250991171818e-01,4.176090716848731565e-01
5.000000000000000000e+00,1.200000000000000000e+02,2.551071129722407704e+01,2.359673328211199017e+00,2.253552232581236581e+01,2.972653947108074135e+01,2.756286142616852786e+00,1.084396003424246135e+00,1.552553302345205388e+00,4.114126205975021655e+00,1.877781321063724806e-02,5.965568755733694460e-03,1.215245624700580888e-02,2.622197603836375068e-02,8.432205527696351455e-02,2.715758066578763050e-02,5.382132058587552753e-02,1.179501931962239625e-01,1.251806623496024007e-01,4.794098113105603465e-02,7.122798170148256225e-02,1.826037742899497551e-01
5.000000000000000000e+00,2.250000000000000000e+02,1.577574121937532325e+01,1.657083610695760933e+00,1.395998988020998866e+01,1.785145613719889468e+01,6.409778876787600943e+00,9.636491575827320633e-01,5.250827514537226293e+00,7.953131339562191648e+00,3.989449236300431773e-02,5.386421097577974090e-03,3.340487102218833021e-02,4.861778305988305460e-02,1.869117589451006756e-01,3.802388381172125409e-02,1.572348375319919944e-01,2.611458661064428588e-01,3.287704048418046976e-01,6.126575991219770922e-02,2.655046172280037253e-01,4.417938195376334143e-01
2.000000000000000000e+01,2.000000000000000000e+01,2.025436435330993490e+01,7.780693330940079200e+00,9.529215519897732634e+00,4.165383134430006606e+01,5.504833449491859376e+00,3.450364900283972691e+00,-2.439874270389519317e+00,1.236861714029471315e+01,3.192448906822963756e-02,1.735733893738198794e-02,-7.475669237066788833e-03,6.666290933352796155e-02,1.564678106569504235e-01,8.850691803870419649e-02,-1.551502167998446320e-02,3.193856037373226653e-01,2.251508122310147131e-01,1.558461920931015487e-01,-5.568562675695644393e-02,5.388861531740576361e-01
2.000000000000000000e+01,4.000000000000000000e+01,1.729225290346960975e+01,5.732626868630473105e+00,8.555311344516368877e+00,3.330944834991937853e+01,8.358172002428547742e+00,2.644225015578749005e+00,4.385895170713705049e+00,1.226993354128982361e+01,4.703097169830245533e-02,1.357982476644729875e-02,2.470417378370912825e-02,6.795262961704007232e-02,2.292590015130541448e-01,8.395456252069076475e-02,8.075047136604585063e-02,3.709364661892222137e-01,3.762261899792810893e-01,1.451674008314993713e-01,1.274784454010053913e-01,6.147942720333302580e-01
2.000000000000000000e+01,6.000000000000000000e+01,1.564943982863122685e+01,4.331227107765026396e+00,8.389201779293102845e+00,2.230187982637876587e+01,9.761836342647415066e+00,2.139822324726122549e+00,5.394430873212430200e+00,1.376330076692753224e+01,5.602684453071406917e-02,1.199738509032491178e-02,3.357889011903093107e-02,7.973623879433426598e-02,2.641473497437438755e-01,7.398044780746589055e-02,1.267590337145274859e-01,3.702698517601371031e-01,4.340849244999535617e-01,1.194081875152107203e-01,1.966007935749778113e-01,6.116620759399239438e-01
2.000000000000000000e+01,1.200000000000000000e+02,2.704721487203094554e+01,5.913154925596930234e+00,1.477622086296355519e+01,3.848322329317932144e+01,5.355067239036926274e+00,2.420084597409723148e+00,-6.362374992242236793e-01,8.621052517703265750e+00,3.120845277455300965e-02,1.263155259362401875e-02,3.497884489586247994e-04,4.752189780758878795e-02,1.451177354601284608e-01,6.235620360962564057e-02,1.760548615322225438e-02,2.450991259065075645e-01,2.435152509622252326e-01,1.094812024358881863e-01,1.653954934298619214e-02,4.408128120164027108e-01
