# rp,lp,E(mdd),s(mdd),min(mdd),max(mdd),E(ar),s(ar),min(ar),max(ar),E(SR1),s(SR1),min(SR1),max(SR1),E(SR2),s(SR2),min(SR2),max(SR2),E(SR3),s(SR3),min(SR3),max(SR3)
1.000000000000000000e+00,2.000000000000000000e+01,3.030719856714192417e+01,0.000000000000000000e+00,3.030719856714192417e+01,3.030719856714192417e+01,-2.154747809425594518e+00,0.000000000000000000e+00,-2.154747809425594518e+00,-2.154747809425594518e+00,-1.269049757561112671e-02,0.000000000000000000e+00,-1.269049757561112671e-02,-1.269049757561112671e-02,-4.883570928182873888e-02,0.000000000000000000e+00,-4.883570928182873888e-02,-4.883570928182873888e-02,-6.697950148219819488e-02,0.000000000000000000e+00,-6.697950148219819488e-02,-6.697950148219819488e-02
1.000000000000000000e+00,4.000000000000000000e+01,1.151883575743750043e+01,0.000000000000000000e+00,1.151883575743750043e+01,1.151883575743750043e+01,4.654003221161095993e+00,0.000000000000000000e+00,4.654003221161095993e+00,4.654003221161095993e+00,3.472124951117082359e-02,0.000000000000000000e+00,3.472124951117082359e-02,3.472124951117082359e-02,1.478528795106160976e-01,0.000000000000000000e+00,1.478528795106160976e-01,1.478528795106160976e-01,2.373146239520587952e-01,0.000000000000000000e+00,2.373146239520587952e-01,2.373146239520587952e-01
1.000000000000000000e+00,6.000000000000000000e+01,2.523414111905637469e+01,0.000000000000000000e+00,2.523414111905637469e+01,2.523414111905637469e+01,9.589135477620747139e-01,0.000000000000000000e+00,9.589135477620747139e-01,9.589135477620747139e-01,9.403267713882427006e-03,0.000000000000000000e+00,9.403267713882427006e-03,9.403267713882427006e-03,4.053850213849778672e-02,0.000000000000000000e+00,4.053850213849778672e-02,4.053850213849778672e-02,6.726640356459295811e-02,0.000000000000000000e+00,6.726640356459295811e-02,6.726640356459295811e-02
1.000000000000000000e+00,1.200000000000000000e+02,1.651606001123153078e+01,0.000000000000000000e+00,1.651606001123153078e+01,1.651606001123153078e+01,4.052214526274955375e+00,0.000000000000000000e+00,4.052214526274955375e+00,4.052214526274955375e+00,3.241150385213180385e-02,0.000000000000000000e+00,3.241150385213180385e-02,3.241150385213180385e-02,1.284185421294387897e-01,0.000000000000000000e+00,1.284185421294387897e-01,1.284185421294387897e-01,1.894570473959551749e-01,0.000000000000000000e+00,1.894570473959551749e-01,1.894570473959551749e-01
1.000000000000000000e+00,2.250000000000000000e+02,1.938523741033728243e+01,0.000000000000000000e+00,1.938523741033728243e+01,1.938523741033728243e+01,-2.410393522746856476e-01,0.000000000000000000e+00,-2.410393522746856476e-01,-2.410393522746856476e-01,4.596111955758173458e-06,0.000000000000000000e+00,4.596111955758173458e-06,4.596111955758173458e-06,3.248240847126627421e-03,0.000000000000000000e+00,3.248240847126627421e-03,3.248240847126627421e-03,9.092424284541659324e-03,0.000000000000000000e+00,9.092424284541659324e-03,9.092424284541659324e-03
5.000000000000000000e+00,2.000000000000000000e+01,1.959319095071151295e+01,4.639940674341286986e+00,1.473436036679962058e+01,2.733443691445015133e+01,2.462515504148741208e+00,1.556168162038891634e+00,-6.577560918259450773e-02,4.387916509495459749e+00,1.947040580399730936e-02,1.056816649525328146e-02,2.246947977345816264e-03,3.206908423062001384e-02,9.055379063697736874e-02,4.899955126238030034e-02,1.291428727451845310e-02,1.556139384740633513e-01,1.300065781077807403e-01,8.193674196003070120e-02,5.985836931449826578e-03,2.248473087048603880e-01
5.000000000000000000e+00,4.000000000000000000e+01,1.176290239449395791e+01,2.739561440927295255e+00,9.388735494764134160e+00,1.619333563191247549e+01,6.375150281757084869e+00,1.286520590317795643e+00,4.418338701342494623e+00,7.681645021571181786e+00,4.564170470910908911e-02,8.595626317289314922e-03,3.211850579534834133e-02,5.426771163997225894e-02,1.959152218847857174e-01,2.150977812324091423e-02,1.661324981293199332e-01,2.196921964333806154e-01,2.897477755389638587e-01,2.660950776233845724e-02,2.519696849939663252e-01,3.185999800040003604e-01
5.000000000000000000e+00,6.000000000000000000e+01,1.659704707291941972e+01,4.166605490525435940e+00,1.322353705125817669e+01,2.463423595641415886e+01,5.232826997257595814e+00,5.964605808599032777e-01,4.315023009292628942e+00,5.887766242319525389e+00,3.932889213762864183e-02,4.912544326253973082e-03,3.150122142167089551e-02,4.405415811658748571e-02,1.624909873529780113e-01,1.149366735298537959e-02,1.445425555303691267e-01,1.758919286454830033e-01,2.485695836060947406e-01,2.082269703547485334e-02,2.192861341893706795e-01,2.833799867553886687e-01
5.000000000000000000e+00,1.200000000000000000e+02,1.585066124177903113e+01,3.382111468787551978e+00,1.075886464895589256e+01,1.965670096103363562e+01,4.277081891853926621e+00,1.084801702286161129e+00,3.005149687152708360e+00,6.054351956393300149e+00,3.261983310641598799e-02,9.234436926986932040e-03,2.304159514578250217e-02,4.946294200886171971e-02,1.429179145915546734e-01,3.425232066477191389e-02,1.015443215192059490e-01,1.895725347725172871e-01,2.302247860581401739e-01,5.637740737108584699e-02,1.613775159734381071e-01,3.001227099188710223e-01
5.000000000000000000e+00,2.250000000000000000e+02,1.649391238902775569e+01,2.705578791382339254e+00,1.313023960344025909e+01,2.044589720585346981e+01,2.461500865795982484e+00,1.447167834630109118e+00,2.366246485799639032e-01,4.059147071346402846e+00,2.122539676884776377e-02,1.123211070533345485e-02,4.219239472261677310e-03,3.616312493625235130e-02,1.117156941604822151e-01,5.219693689031652817e-02,2.747261166461637330e-02,1.740306062681109545e-01,1.964701324834305651e-01,1.122992688966218955e-01,2.398777305636486806e-02,3.242264197439309603e-01
