# rp,lp,E(mdd),s(mdd),min(mdd),max(mdd),E(ar),s(ar),min(ar),max(ar),E(SR1),s(SR1),min(SR1),max(SR1),E(SR2),s(SR2),min(SR2),max(SR2),E(SR3),s(SR3),min(SR3),max(SR3)
1.000000000000000000e+00,5.000000000000000000e+00,1.980178596239522903e+01,0.000000000000000000e+00,1.980178596239522903e+01,1.980178596239522903e+01,-1.770812976433755459e+00,0.000000000000000000e+00,-1.770812976433755459e+00,-1.770812976433755459e+00,-1.282995883736286202e-02,0.000000000000000000e+00,-1.282995883736286202e-02,-1.282995883736286202e-02,-6.182490194402494310e-02,0.000000000000000000e+00,-6.182490194402494310e-02,-6.182490194402494310e-02,-1.177404299752130429e-01,0.000000000000000000e+00,-1.177404299752130429e-01,-1.177404299752130429e-01
1.000000000000000000e+00,2.000000000000000000e+01,2.704990757313930771e+01,0.000000000000000000e+00,2.704990757313930771e+01,2.704990757313930771e+01,-5.112952395484038348e-01,0.000000000000000000e+00,-5.112952395484038348e-01,-5.112952395484038348e-01,-8.474335497633452832e-04,0.000000000000000000e+00,-8.474335497633452832e-04,-8.474335497633452832e-04,-2.547903306265715713e-03,0.000000000000000000e+00,-2.547903306265715713e-03,-2.547903306265715713e-03,-3.166552920528497173e-03,0.000000000000000000e+00,-3.166552920528497173e-03,-3.166552920528497173e-03
1.000000000000000000e+00,4.000000000000000000e+01,1.108370376912678523e+01,0.000000000000000000e+00,1.108370376912678523e+01,1.108370376912678523e+01,4.522445435402588920e+00,0.000000000000000000e+00,4.522445435402588920e+00,4.522445435402588920e+00,3.335716563511779975e-02,0.000000000000000000e+00,3.335716563511779975e-02,3.335716563511779975e-02,1.536917829379051414e-01,0.000000000000000000e+00,1.536917829379051414e-01,1.536917829379051414e-01,2.393436115102880180e-01,0.000000000000000000e+00,2.393436115102880180e-01,2.393436115102880180e-01
1.000000000000000000e+00,6.000000000000000000e+01,2.005754268722616018e+01,0.000000000000000000e+00,2.005754268722616018e+01,2.005754268722616018e+01,2.590161653838607414e+00,0.000000000000000000e+00,2.590161653838607414e+00,2.590161653838607414e+00,2.156515008286816193e-02,0.000000000000000000e+00,2.156515008286816193e-02,2.156515008286816193e-02,9.162059883320694542e-02,0.000000000000000000e+00,9.162059883320694542e-02,9.162059883320694542e-02,1.418148763906980359e-01,0.000000000000000000e+00,1.418148763906980359e-01,1.418148763906980359e-01
1.000000000000000000e+00,1.200000000000000000e+02,1.413006883931441848e+01,0.000000000000000000e+00,1.413006883931441848e+01,1.413006883931441848e+01,4.221864984363965512e+00,0.000000000000000000e+00,4.221864984363965512e+00,4.221864984363965512e+00,3.244812064970696575e-02,0.000000000000000000e+00,3.244812064970696575e-02,3.244812064970696575e-02,1.449172907395951670e-01,0.000000000000000000e+00,1.449172907395951670e-01,1.449172907395951670e-01,2.168168737876923213e-01,0.000000000000000000e+00,2.168168737876923213e-01,2.168168737876923213e-01
1.000000000000000000e+00,2.250000000000000000e+02,1.790301206517273158e+01,0.000000000000000000e+00,1.790301206517273158e+01,1.790301206517273158e+01,2.181592930048603662e-01,0.000000000000000000e+00,2.181592930048603662e-01,2.181592930048603662e-01,4.058572790670217541e-03,0.000000000000000000e+00,4.058572790670217541e-03,4.058572790670217541e-03,1.824881946889232720e-02,0.000000000000000000e+00,1.824881946889232720e-02,1.824881946889232720e-02,3.103454290241183453e-02,0.000000000000000000e+00,3.103454290241183453e-02,3.103454290241183453e-02
5.000000000000000000e+00,5.000000000000000000e+00,2.577836036554676724e+01,7.698404452984933144e+00,1.578290949813944621e+01,3.668965748867820764e+01,-1.255954926650300063e+00,2.040036224852206814e+00,-4.105071059616682838e+00,1.699920434972135297e+00,-6.565515674451102672e-03,1.500964596622444969e-02,-2.651516977424816027e-02,1.576431043237139229e-02,-2.892546123939333108e-02,6.317532584771146098e-02,-1.032323008461208808e-01,7.174378546508798637e-02,-4.539835242349206379e-02,1.042233552899373417e-01,-1.714400708319724076e-01,1.012667092275683911e-01
5.000000000000000000e+00,2.000000000000000000e+01,1.570586406325024065e+01,4.099997151918791438e+00,1.067704805818449643e+01,2.287697797651672715e+01,4.030480015008177652e+00,2.008919214989477453e+00,8.377766917206042052e-01,6.304090787824634390e+00,2.964460067873726443e-02,1.339900505928695584e-02,8.500923554402652765e-03,4.387776216049404931e-02,1.373353771714319604e-01,6.320764384685656490e-02,3.951045458252429310e-02,2.204305542133675744e-01,1.970001187378209451e-01,9.216461776375360626e-02,3.523101080702421145e-02,3.083097305265033450e-01
5.000000000000000000e+00,4.000000000000000000e+01,1.212699529927029651e+01,2.070911283593570129e+00,8.980367694587513938e+00,1.468788330681688592e+01,6.398022531702083349e+00,6.058177949735541468e-01,5.904937789998587760e+00,7.552830100242502454e+00,4.539027071386663587e-02,4.172308085511939983e-03,4.202435112857143273e-02,5.300033386026744425e-02,1.959167852638026286e-01,1.309416623234180461e-02,1.800544536581490940e-01,2.172176804058872368e-01,2.926778357094275695e-01,1.797625367048876280e-02,2.757336494042648134e-01,3.269710659110425244e-01
5.000000000000000000e+00,6.000000000000000000e+01,1.451840363855601979e+01,3.258500525974888262e+00,1.172014988006442593e+01,2.074601510518571956e+01,5.881427198284678859e+00,7.567268918601740557e-01,4.891327027917502512e+00,6.788080339796764839e+00,4.435865004548967400e-02,5.850039777025263163e-03,3.651125990769339691e-02,5.198477168732776321e-02,1.765614647922232605e-01,1.480845877196168038e-02,1.575068967740741732e-01,1.965508839743761726e-01,2.690839103700751189e-01,2.498744237866292947e-02,2.381348370588636798e-01,3.037066598833821907e-01
5.000000000000000000e+00,1.200000000000000000e+02,1.656782365202942486e+01,3.588272286540223011e+00,1.234461548765635541e+01,2.213238659155804555e+01,4.837885252412270631e+00,9.268437277314151013e-01,3.025431168138892346e+00,5.481421086539040033e+00,3.729401579676050460e-02,7.483059903123387077e-03,2.352369963057719324e-02,4.596895233281893256e-02,1.543015650261008176e-01,3.019747271887859158e-02,9.495216861804593733e-02,1.781059381915802431e-01,2.479985567326577489e-01,4.972444119394884426e-02,1.521121491661779346e-01,2.833719721167880512e-01
