# rp,lp,E(mdd),s(mdd),min(mdd),max(mdd),E(ar),s(ar),min(ar),max(ar),E(SR1),s(SR1),min(SR1),max(SR1),E(SR2),s(SR2),min(SR2),max(SR2),E(SR3),s(SR3),min(SR3),max(SR3)
1.000000000000000000e+00,2.000000000000000000e+01,4.283429124370796615e+01,0.000000000000000000e+00,4.283429124370796615e+01,4.283429124370796615e+01,-2.076661943809809951e+00,0.000000000000000000e+00,-2.076661943809809951e+00,-2.076661943809809951e+00,-1.315768983869889525e-02,0.000000000000000000e+00,-1.315768983869889525e-02,-1.315768983869889525e-02,-5.581388509581910323e-02,0.000000000000000000e+00,-5.581388509581910323e-02,-5.581388509581910323e-02,-8.886094281222170488e-02,0.000000000000000000e+00,-8.886094281222170488e-02,-8.886094281222170488e-02
1.000000000000000000e+00,4.000000000000000000e+01,3.185726618405550425e+01,0.000000000000000000e+00,3.185726618405550425e+01,3.185726618405550425e+01,2.578160294274400854e+00,0.000000000000000000e+00,2.578160294274400854e+00,2.578160294274400854e+00,2.119231384689584941e-02,0.000000000000000000e+00,2.119231384689584941e-02,2.119231384689584941e-02,9.528365267456957721e-02,0.000000000000000000e+00,9.528365267456957721e-02,9.528365267456957721e-02,1.628103987366307237e-01,0.000000000000000000e+00,1.628103987366307237e-01,1.628103987366307237e-01
1.000000000000000000e+00,6.000000000000000000e+01,2.562112162926385395e+01,0.000000000000000000e+00,2.562112162926385395e+01,2.562112162926385395e+01,2.373247255523391885e+00,0.000000000000000000e+00,2.373247255523391885e+00,2.373247255523391885e+00,1.898900573532023156e-02,0.000000000000000000e+00,1.898900573532023156e-02,1.898900573532023156e-02,9.673827935276319012e-02,0.000000000000000000e+00,9.673827935276319012e-02,9.673827935276319012e-02,1.564500269441223557e-01,0.000000000000000000e+00,1.564500269441223557e-01,1.564500269441223557e-01
1.000000000000000000e+00,1.200000000000000000e+02,2.945761555665632159e+01,0.000000000000000000e+00,2.945761555665632159e+01,2.945761555665632159e+01,3.446063779548391715e+00,0.000000000000000000e+00,3.446063779548391715e+00,3.446063779548391715e+00,2.674748999103793157e-02,0.000000000000000000e+00,2.674748999103793157e-02,2.674748999103793157e-02,1.283560777581422285e-01,0.000000000000000000e+00,1.283560777581422285e-01,1.283560777581422285e-01,2.034593902049186831e-01,0.000000000000000000e+00,2.034593902049186831e-01,2.034593902049186831e-01
1.000000000000000000e+00,2.250000000000000000e+02,2.444303941461160434e+01,0.000000000000000000e+00,2.444303941461160434e+01,2.444303941461160434e+01,1.396443526346091701e+00,0.000000000000000000e+00,1.396443526346091701e+00,1.396443526346091701e+00,1.313681317049061013e-02,0.000000000000000000e+00,1.313681317049061013e-02,1.313681317049061013e-02,7.138152585115999094e-02,0.000000000000000000e+00,7.138152585115999094e-02,7.138152585115999094e-02,1.019332846643018903e-01,0.000000000000000000e+00,1.019332846643018903e-01,1.019332846643018903e-01
5.000000000000000000e+00,2.000000000000000000e+01,3.039922805877745304e+01,8.600428394862639436e+00,1.617430618538739395e+01,3.994757754379959636e+01,1.104509089009790834e+00,1.309846996763293525e+00,-5.670234557959563659e-01,3.077131381163811241e+00,1.040798821280242668e-02,9.456151977939142306e-03,-1.852558330145229106e-03,2.474413822133412696e-02,5.189820193350700578e-02,4.560756356377344140e-02,-9.226377198371050938e-04,1.282703938818970102e-01,8.080022706847114766e-02,8.053427812484799386e-02,-5.285595645125918535e-03,2.172121142841226538e-01
5.000000000000000000e+00,4.000000000000000000e+01,2.833307857768370397e+01,4.741737468929180466e+00,2.184718671165167336e+01,3.424669491040560843e+01,2.882997786868202184e+00,1.188099050574384696e+00,1.661319678701711489e+00,5.082705797021480620e+00,2.243958064538100969e-02,7.727617191134101594e-03,1.470511787584984423e-02,3.672740219918223942e-02,9.891222272543709337e-02,2.712879291713212945e-02,7.187903016804633727e-02,1.494274849966956698e-01,1.628612747809202177e-01,4.492372638606721702e-02,1.197406269155055492e-01,2.466979452828596264e-01
5.000000000000000000e+00,6.000000000000000000e+01,2.090171451303844563e+01,3.212654187859159016e+00,1.760005320621235114e+01,2.578162613763896616e+01,4.338416739193418081e+00,7.135896544321613799e-01,3.339442565366601556e+00,5.241055329159394205e+00,3.197887150079226776e-02,5.045417211012994362e-03,2.491535786000777589e-02,3.800244278066877007e-02,1.449770391936860137e-01,2.938164126629042722e-02,1.164289264059391732e-01,1.862106587131352464e-01,2.391576325746537501e-01,5.743228672958364950e-02,1.850917331738700100e-01,3.188347809433325630e-01
5.000000000000000000e+00,1.200000000000000000e+02,2.613213443513775402e+01,3.695328805307791509e+00,2.095779059314621406e+01,3.028714085681528445e+01,3.069639262560746040e+00,1.075598118246695378e+00,1.873719225339742778e+00,4.553466732205735390e+00,2.393133903137675475e-02,6.996499512480595061e-03,1.627020500677306067e-02,3.341228813840884521e-02,1.097659466821740148e-01,3.065352160312071958e-02,7.447913672779284122e-02,1.557659218723953798e-01,1.777118155115152143e-01,5.229777391880244958e-02,1.094070114552242318e-01,2.508976531628938633e-01
5.000000000000000000e+00,2.250000000000000000e+02,2.123654707244275031e+01,3.334599182221168245e+00,1.737649705682493106e+01,2.630701242521112704e+01,1.805329545780427480e+00,4.059468863407839079e-01,1.401088943953832100e+00,2.420632129822219980e+00,1.577382385127237135e-02,3.024105608938641287e-03,1.309039951653115548e-02,1.984290442898066498e-02,8.078322530626055875e-02,1.327763759237980332e-02,6.509355466238986310e-02,1.023739632562115226e-01,1.355950995718492036e-01,2.432025686406772205e-02,1.008416509508139464e-01,1.689358524512568627e-01
