# rp,lp,E(mdd),s(mdd),min(mdd),max(mdd),E(ar),s(ar),min(ar),max(ar),E(SR1),s(SR1),min(SR1),max(SR1),E(SR2),s(SR2),min(SR2),max(SR2),E(SR3),s(SR3),min(SR3),max(SR3)
1.000000000000000000e+00,5.000000000000000000e+00,3.517066766578211912e+01,0.000000000000000000e+00,3.517066766578211912e+01,3.517066766578211912e+01,-2.200771527207245892e+00,0.000000000000000000e+00,-2.200771527207245892e+00,-2.200771527207245892e+00,-1.385672692251198844e-02,0.000000000000000000e+00,-1.385672692251198844e-02,-1.385672692251198844e-02,-5.519456319059317523e-02,0.000000000000000000e+00,-5.519456319059317523e-02,-5.519456319059317523e-02,-1.154998967685285094e-01,0.000000000000000000e+00,-1.154998967685285094e-01,-1.154998967685285094e-01
1.000000000000000000e+00,2.000000000000000000e+01,4.047835968170644350e+01,0.000000000000000000e+00,4.047835968170644350e+01,4.047835968170644350e+01,-1.233706208871832022e+00,0.000000000000000000e+00,-1.233706208871832022e+00,-1.233706208871832022e+00,-7.033590323083408272e-03,0.000000000000000000e+00,-7.033590323083408272e-03,-7.033590323083408272e-03,-2.496794015354462243e-02,0.000000000000000000e+00,-2.496794015354462243e-02,-2.496794015354462243e-02,-5.792852088168815028e-02,0.000000000000000000e+00,-5.792852088168815028e-02,-5.792852088168815028e-02
1.000000000000000000e+00,4.000000000000000000e+01,2.175025904013170930e+01,0.000000000000000000e+00,2.175025904013170930e+01,2.175025904013170930e+01,3.602375863551721125e+00,0.000000000000000000e+00,3.602375863551721125e+00,3.602375863551721125e+00,2.965046637035587129e-02,0.000000000000000000e+00,2.965046637035587129e-02,2.965046637035587129e-02,1.342906542204362619e-01,0.000000000000000000e+00,1.342906542204362619e-01,1.342906542204362619e-01,2.420677663920351996e-01,0.000000000000000000e+00,2.420677663920351996e-01,2.420677663920351996e-01
1.000000000000000000e+00,6.000000000000000000e+01,2.024946974832000990e+01,0.000000000000000000e+00,2.024946974832000990e+01,2.024946974832000990e+01,3.565369380008620581e+00,0.000000000000000000e+00,3.565369380008620581e+00,3.565369380008620581e+00,2.776482132985480869e-02,0.000000000000000000e+00,2.776482132985480869e-02,2.776482132985480869e-02,1.440465476388284594e-01,0.000000000000000000e+00,1.440465476388284594e-01,1.440465476388284594e-01,2.386206422117685688e-01,0.000000000000000000e+00,2.386206422117685688e-01,2.386206422117685688e-01
1.000000000000000000e+00,1.200000000000000000e+02,2.288332445302346230e+01,0.000000000000000000e+00,2.288332445302346230e+01,2.288332445302346230e+01,3.504285297324516435e+00,0.000000000000000000e+00,3.504285297324516435e+00,3.504285297324516435e+00,2.920868657709171229e-02,0.000000000000000000e+00,2.920868657709171229e-02,2.920868657709171229e-02,1.390033820281744992e-01,0.000000000000000000e+00,1.390033820281744992e-01,1.390033820281744992e-01,2.374594988647555915e-01,0.000000000000000000e+00,2.374594988647555915e-01,2.374594988647555915e-01
1.000000000000000000e+00,2.250000000000000000e+02,2.360933466787457746e+01,0.000000000000000000e+00,2.360933466787457746e+01,2.360933466787457746e+01,1.387275470419657708e+00,0.000000000000000000e+00,1.387275470419657708e+00,1.387275470419657708e+00,1.265710028889292620e-02,0.000000000000000000e+00,1.265710028889292620e-02,1.265710028889292620e-02,7.351790284256042030e-02,0.000000000000000000e+00,7.351790284256042030e-02,7.351790284256042030e-02,1.072960762438400634e-01,0.000000000000000000e+00,1.072960762438400634e-01,1.072960762438400634e-01
5.000000000000000000e+00,5.000000000000000000e+00,2.732516320020209832e+01,6.337157336515008232e+00,1.854432866005521419e+01,3.826448639722055134e+01,6.352464386998479817e-01,1.930442091266247662e+00,-2.342301620607489809e+00,2.843075116269888625e+00,7.372649101746395379e-03,1.461928695857829009e-02,-1.535434571682268989e-02,2.470108798963547431e-02,3.430049533490932973e-02,6.493769502608472133e-02,-6.763850882936524311e-02,1.127842540721002290e-01,5.054530356110714662e-02,1.071832558487020581e-01,-1.202265129470715677e-01,1.758126033009114186e-01
5.000000000000000000e+00,2.000000000000000000e+01,2.817844887795167708e+01,7.179886885206111735e+00,1.810079646749002791e+01,3.920511042908208310e+01,1.838443609508229271e+00,1.850986182732976548e+00,-1.012332860096198939e+00,4.219562174455449011e+00,1.649779474378921737e-02,1.406630263408150706e-02,-4.739323819516042847e-03,3.521372467365693759e-02,7.411670321705030040e-02,6.162715637391864149e-02,-1.863163923686316295e-02,1.608189636456786586e-01,1.263929014831322029e-01,1.187927098158086392e-01,-4.649479185043021295e-02,2.982751523771335900e-01
5.000000000000000000e+00,4.000000000000000000e+01,2.207947102939055739e+01,4.580732125853882231e+00,1.418007308296002122e+01,2.826835784863961010e+01,3.637565609479835871e+00,8.317391023404525630e-01,2.711150417988372752e+00,4.851965175900896377e+00,2.912647830002903018e-02,5.900600960961547084e-03,2.242656766470064317e-02,3.752980808859431722e-02,1.266428130501065230e-01,2.251440737726235000e-02,9.601164073269215227e-02,1.525964009410858691e-01,2.148914049734729770e-01,4.330198365689325729e-02,1.611875545376892926e-01,2.694500903098241973e-01
5.000000000000000000e+00,6.000000000000000000e+01,1.682964730958238420e+01,4.890121368679818836e+00,1.162221671974648984e+01,2.354981930225875431e+01,5.302468944431035780e+00,7.852095216128934796e-01,4.354667481071894386e+00,6.432519255104329758e+00,3.876785238110246057e-02,4.958722274892588336e-03,3.290828026428740949e-02,4.647233369846555384e-02,1.714061321743884647e-01,3.197707720357087502e-02,1.362538079418952885e-01,2.313241380775512834e-01,2.919305797921314394e-01,5.895888390826876935e-02,2.383830424375708024e-01,4.065879746488607616e-01
5.000000000000000000e+00,1.200000000000000000e+02,2.085044764541007467e+01,1.996833867517780581e+00,1.857278890997193344e+01,2.400726762679636295e+01,3.813333548729200828e+00,4.831943838378830458e-01,3.025304306253362441e+00,4.467443323229258745e+00,3.107963483386970080e-02,3.981946116046431242e-03,2.487951478009302678e-02,3.643311026803774250e-02,1.352201623574673106e-01,2.222836197387058343e-02,1.025276086170798240e-01,1.647145706945039034e-01,2.299574241272653308e-01,3.781988632870234707e-02,1.674735014931218735e-01,2.785850629266185541e-01
