# rp,lp,E(mdd),s(mdd),min(mdd),max(mdd),E(ar),s(ar),min(ar),max(ar),E(SR1),s(SR1),min(SR1),max(SR1),E(SR2),s(SR2),min(SR2),max(SR2),E(SR3),s(SR3),min(SR3),max(SR3)
1.000000000000000000e+00,2.000000000000000000e+01,9.025765725749920421e+00,0.000000000000000000e+00,9.025765725749920421e+00,9.025765725749920421e+00,2.379274788895191506e+00,0.000000000000000000e+00,2.379274788895191506e+00,2.379274788895191506e+00,3.045038589623197747e-02,0.000000000000000000e+00,3.045038589623197747e-02,3.045038589623197747e-02,1.290567495352599181e-01,0.000000000000000000e+00,1.290567495352599181e-01,1.290567495352599181e-01,2.263182360166360874e-01,0.000000000000000000e+00,2.263182360166360874e-01,2.263182360166360874e-01
1.000000000000000000e+00,4.000000000000000000e+01,5.833561250856462266e+00,0.000000000000000000e+00,5.833561250856462266e+00,5.833561250856462266e+00,4.012418999178368750e+00,0.000000000000000000e+00,4.012418999178368750e+00,4.012418999178368750e+00,5.679498990828692195e-02,0.000000000000000000e+00,5.679498990828692195e-02,5.679498990828692195e-02,1.846777101818811995e-01,0.000000000000000000e+00,1.846777101818811995e-01,1.846777101818811995e-01,2.817399484113154440e-01,0.000000000000000000e+00,2.817399484113154440e-01,2.817399484113154440e-01
1.000000000000000000e+00,6.000000000000000000e+01,2.922033074749990078e+00,0.000000000000000000e+00,2.922033074749990078e+00,2.922033074749990078e+00,3.025105508642766949e+00,0.000000000000000000e+00,3.025105508642766949e+00,3.025105508642766949e+00,6.145797072813639211e-02,0.000000000000000000e+00,6.145797072813639211e-02,6.145797072813639211e-02,3.330152643543358160e-01,0.000000000000000000e+00,3.330152643543358160e-01,3.330152643543358160e-01,4.072755681842903930e-01,0.000000000000000000e+00,4.072755681842903930e-01,4.072755681842903930e-01
1.000000000000000000e+00,1.200000000000000000e+02,1.609375841249985228e+00,0.000000000000000000e+00,1.609375841249985228e+00,1.609375841249985228e+00,1.542351223924276482e+00,0.000000000000000000e+00,1.542351223924276482e+00,1.542351223924276482e+00,1.139638193531650329e-01,0.000000000000000000e+00,1.139638193531650329e-01,1.139638193531650329e-01,4.876546730505990634e-01,0.000000000000000000e+00,4.876546730505990634e-01,4.876546730505990634e-01,7.436064330224597674e-01,0.000000000000000000e+00,7.436064330224597674e-01,7.436064330224597674e-01
1.000000000000000000e+00,2.250000000000000000e+02,1.609375841249985228e+00,0.000000000000000000e+00,1.609375841249985228e+00,1.609375841249985228e+00,1.347858960263659256e+00,0.000000000000000000e+00,1.347858960263659256e+00,1.347858960263659256e+00,1.077121825853347425e-01,0.000000000000000000e+00,1.077121825853347425e-01,1.077121825853347425e-01,4.570056371793276839e-01,0.000000000000000000e+00,4.570056371793276839e-01,4.570056371793276839e-01,7.407870255883379773e-01,0.000000000000000000e+00,7.407870255883379773e-01,7.407870255883379773e-01
5.000000000000000000e+00,2.000000000000000000e+01,8.467643161312148337e+00,2.257624229540415417e+00,5.318075439410534955e+00,1.215538462360818528e+01,3.553286524518717293e+00,2.496386435039109397e+00,9.025418113069338943e-01,7.372481860945834242e+00,4.270286077669106783e-02,2.573983428526395445e-02,1.202887914230765104e-02,7.643125227798373833e-02,1.617913468494551754e-01,8.678370423521554466e-02,5.839997047080754122e-02,2.677731455071599709e-01,2.622968765889042153e-01,1.677355517219469017e-01,5.531530033817427111e-02,4.622919475269476886e-01
5.000000000000000000e+00,4.000000000000000000e+01,5.222683482487388673e+00,1.443688511323804491e+00,3.487163874188084378e+00,7.516528403474779907e+00,2.683692752613180410e+00,1.420108896222048722e+00,1.172182405730448629e+00,5.378738414587491690e+00,4.284207402124472902e-02,9.669838423371317215e-03,3.327239691352951168e-02,6.058622473808184666e-02,1.747462579316627629e-01,3.322683039425659846e-02,1.198848826659723033e-01,2.243838061213031809e-01,3.105397260922999059e-01,4.703375938667609529e-02,2.356328316056544581e-01,3.810610923440676534e-01
5.000000000000000000e+00,6.000000000000000000e+01,3.717134739898708240e+00,1.840223215198463880e+00,1.550298648588935180e+00,7.083062888287614101e+00,2.450646768159909783e+00,1.058963880548753123e+00,1.531966699548603650e+00,4.473270241048243889e+00,6.397554087856822946e-02,1.708086652766447472e-02,4.361411396130170787e-02,9.534049483830481231e-02,3.011916384341656316e-01,8.176717080516530956e-02,1.845543893386368262e-01,4.383024029839973079e-01,5.285682593254871220e-01,1.530759928084916011e-01,2.953585112769210319e-01,7.710710550083277326e-01
5.000000000000000000e+00,1.200000000000000000e+02,8.211953440880478405e-01,3.318442893907623814e-01,4.426306999639990636e-01,1.426707376921839909e+00,2.034738405525495786e+00,2.538451540537970952e-01,1.740452991247987136e+00,2.443593240073571593e+00,1.654726136357737576e-01,2.275284305375463098e-02,1.218793069880105412e-01,1.862112700436542589e-01,7.230446575194628966e-01,1.600249961935850951e-01,5.491967705716247483e-01,9.741441899524593273e-01,1.073870001039643807e+00,1.646533450569735435e-01,9.044046897834912002e-01,1.346254383923210618e+00
5.000000000000000000e+00,2.250000000000000000e+02,8.194309583206973446e-01,3.338696643452850887e-01,4.338087711272464730e-01,1.426707376921839909e+00,1.786319672404928172e+00,2.225709003290378962e-01,1.603499829890031592e+00,2.210741216342593241e+00,1.620800411904467775e-01,2.222815861312341448e-02,1.197059405982747876e-01,1.844909117002691279e-01,8.747403983751240730e-01,1.920859413344287170e-01,5.167006139310972301e-01,1.059534153191386663e+00,1.296045154166802327e+00,2.191948579246436324e-01,8.816770663843440659e-01,1.487196829501349127e+00
2.000000000000000000e+01,2.000000000000000000e+01,8.480028739048732334e+00,3.357263338549971277e+00,4.160214319424881069e+00,1.610909737311753531e+01,3.216467062999044835e+00,2.056787588342463557e+00,1.369937850907998467e-01,7.468587664347103861e+00,3.911589726512258031e-02,2.264481965493788523e-02,3.254194725295837896e-03,8.231748511660766376e-02,1.671118027972586240e-01,9.946255144872374887e-02,1.551936381292753214e-02,4.256368782412333074e-01,3.014211204507118991e-01,1.959027877946601104e-01,3.067107331496070691e-02,9.542448725797704201e-01
2.000000000000000000e+01,4.000000000000000000e+01,5.747787049025659734e+00,1.425626443805061649e+00,3.529300014914483086e+00,8.214333810257727464e+00,2.241576923930518106e+00,1.270327856540077294e+00,-6.490457818720818395e-02,4.610099913593002086e+00,4.065290527340824356e-02,1.739775944796858112e-02,2.574370255284807053e-04,7.237014193917010174e-02,2.116693066264996315e-01,6.780455699326556895e-02,-4.942626264412485707e-04,3.054985537790472216e-01,3.703211356554523270e-01,1.267693727035771045e-01,1.201517426629384417e-03,5.899251323646219625e-01
2.000000000000000000e+01,6.000000000000000000e+01,3.916016984945442037e+00,1.702298309918140795e+00,1.349487708046453349e+00,7.082000917233841619e+00,2.143569489762442437e+00,6.528322881545790546e-01,1.482534819420511241e+00,4.335176130893625412e+00,6.335204828760686302e-02,1.813086274111328292e-02,3.596929844390839293e-02,9.590421469602659899e-02,3.205241618625477296e-01,1.128863242831687624e-01,1.961271864592555036e-01,6.364518054711484352e-01,5.019498459951325930e-01,1.709908964206681703e-01,3.394487726256302795e-01,9.690401424801596830e-01
2.000000000000000000e+01,1.200000000000000000e+02,8.414096281295606605e-01,9.203046303629427993e-02,7.663427100293063177e-01,1.180784635262270399e+00,1.958890417789569183e+00,2.379605103569409075e-01,1.638110714936891199e+00,2.647501876549140931e+00,1.561871372765523125e-01,1.552526634005820493e-02,1.134975419354762177e-01,1.816981037504417917e-01,7.482751406488269419e-01,1.356143154863516664e-01,3.943426733539461271e-01,9.236196376681227171e-01,1.283866763840921355e+00,2.954381397948072085e-01,6.343549434608782844e-01,1.777209624688768974e+00
2.000000000000000000e+01,2.250000000000000000e+02,8.356379536196663071e-01,9.196978253149462601e-02,7.605903344955038392e-01,1.180784635262270399e+00,1.759214913419222537e+00,1.063191261919245456e-01,1.600744271195142510e+00,1.953544616215219243e+00,1.645545387817227423e-01,8.329349345313982050e-03,1.517088541299672910e-01,1.848251838811758863e-01,9.073366919948707698e-01,8.171078930111605465e-02,7.464115991821745899e-01,1.057278560402962864e+00,1.603736464408550777e+00,2.347662803601219261e-01,1.251287059730045170e+00,2.020691146668720517e+00
4.000000000000000000e+01,4.000000000000000000e+01,5.587798438976372850e+00,1.584723555761714975e+00,1.962708772533048318e+00,9.814859528025337454e+00,2.566604662763193545e+00,1.062187245972279870e+00,5.919233988548988634e-01,5.573789468832490712e+00,4.820267081624185490e-02,1.777873447193198397e-02,1.279168000230227267e-02,1.126017379161659004e-01,2.519296978102201212e-01,7.942776600959428057e-02,7.004093498955975272e-02,4.572645098027051658e-01,4.805408673523753893e-01,1.797605589479545907e-01,8.661475434344191593e-02,8.209061911803954281e-01
4.000000000000000000e+01,6.000000000000000000e+01,3.869729316837806632e+00,1.558441990738090421e+00,1.923270000000002256e+00,7.409065966548041615e+00,2.533471312062431924e+00,9.621019771356164041e-01,1.541045595831080917e+00,7.444286531241606220e+00,7.083236068163797916e-02,2.339653047115012457e-02,2.653871657020656291e-02,1.126874395013717362e-01,3.301134451835854300e-01,1.098498309431965303e-01,1.782981450787963773e-01,7.037094146904062653e-01,6.090230197692360070e-01,2.458494905982776535e-01,2.364388829418267723e-01,1.392621139902191940e+00
4.000000000000000000e+01,1.200000000000000000e+02,1.916802152232301326e+00,2.768002612490619851e-01,1.427145644428705396e+00,2.200277288225436223e+00,2.007734805512870757e+00,2.840971344425508582e-01,1.478771473553064375e+00,2.818995296926729566e+00,1.254099537399286923e-01,1.039675046346836412e-02,1.065367762182436173e-01,1.478928643032943191e-01,5.522134103931202187e-01,1.509926131228252477e-01,3.657270497744808946e-01,9.380317494114032151e-01,1.246265354228314415e+00,3.351220951521450830e-01,7.099234745449882755e-01,1.832107610463737268e+00
4.000000000000000000e+01,2.250000000000000000e+02,1.916802152232301326e+00,2.768002612490619851e-01,1.427145644428705396e+00,2.200277288225436223e+00,1.753586288725494269e+00,2.099822165608152547e-01,1.333238574537110033e+00,2.179444088123250189e+00,1.227573189793922381e-01,9.386758392876212720e-03,1.058978607214405426e-01,1.411443359062608538e-01,5.941052384969276456e-01,1.946072950394931445e-01,3.651060697318481707e-01,1.039114492279672675e+00,1.441402618226370391e+00,3.765521221317081890e-01,7.102062179939843123e-01,2.039933674447215406e+00
