# rp,lp,E(mdd),s(mdd),min(mdd),max(mdd),E(ar),s(ar),min(ar),max(ar),E(SR1),s(SR1),min(SR1),max(SR1),E(SR2),s(SR2),min(SR2),max(SR2),E(SR3),s(SR3),min(SR3),max(SR3)
1.000000000000000000e+00,5.000000000000000000e+00,6.707078966999930003e+00,0.000000000000000000e+00,6.707078966999930003e+00,6.707078966999930003e+00,4.435410029736264192e+00,0.000000000000000000e+00,4.435410029736264192e+00,4.435410029736264192e+00,5.205277594859598206e-02,0.000000000000000000e+00,5.205277594859598206e-02,5.205277594859598206e-02,2.113594401372602682e-01,0.000000000000000000e+00,2.113594401372602682e-01,2.113594401372602682e-01,3.444628340630695451e-01,0.000000000000000000e+00,3.444628340630695451e-01,3.444628340630695451e-01
1.000000000000000000e+00,2.000000000000000000e+01,8.124921669647861222e+00,0.000000000000000000e+00,8.124921669647861222e+00,8.124921669647861222e+00,1.840583799697936840e+00,0.000000000000000000e+00,1.840583799697936840e+00,1.840583799697936840e+00,2.579347106409201479e-02,0.000000000000000000e+00,2.579347106409201479e-02,2.579347106409201479e-02,1.070186349477198068e-01,0.000000000000000000e+00,1.070186349477198068e-01,1.070186349477198068e-01,2.028791674388047139e-01,0.000000000000000000e+00,2.028791674388047139e-01,2.028791674388047139e-01
1.000000000000000000e+00,4.000000000000000000e+01,4.048364223167823184e+00,0.000000000000000000e+00,4.048364223167823184e+00,4.048364223167823184e+00,3.640075253196428662e+00,0.000000000000000000e+00,3.640075253196428662e+00,3.640075253196428662e+00,6.774223322198349995e-02,0.000000000000000000e+00,6.774223322198349995e-02,6.774223322198349995e-02,2.073308904398325492e-01,0.000000000000000000e+00,2.073308904398325492e-01,2.073308904398325492e-01,3.703113585572638811e-01,0.000000000000000000e+00,3.703113585572638811e-01,3.703113585572638811e-01
1.000000000000000000e+00,6.000000000000000000e+01,3.642021027742686101e+00,0.000000000000000000e+00,3.642021027742686101e+00,3.642021027742686101e+00,8.821116930538552836e-01,0.000000000000000000e+00,8.821116930538552836e-01,8.821116930538552836e-01,2.667279623454513540e-02,0.000000000000000000e+00,2.667279623454513540e-02,2.667279623454513540e-02,1.194730803815025888e-01,0.000000000000000000e+00,1.194730803815025888e-01,1.194730803815025888e-01,2.114477998479877552e-01,0.000000000000000000e+00,2.114477998479877552e-01,2.114477998479877552e-01
1.000000000000000000e+00,1.200000000000000000e+02,1.604048636499996405e+00,0.000000000000000000e+00,1.604048636499996405e+00,1.604048636499996405e+00,1.650281928889274496e+00,0.000000000000000000e+00,1.650281928889274496e+00,1.650281928889274496e+00,1.234037661499547828e-01,0.000000000000000000e+00,1.234037661499547828e-01,1.234037661499547828e-01,5.165465863398503998e-01,0.000000000000000000e+00,5.165465863398503998e-01,5.165465863398503998e-01,7.952108253480795197e-01,0.000000000000000000e+00,7.952108253480795197e-01,7.952108253480795197e-01
1.000000000000000000e+00,2.250000000000000000e+02,1.604048636499996405e+00,0.000000000000000000e+00,1.604048636499996405e+00,1.604048636499996405e+00,1.443794586866098406e+00,0.000000000000000000e+00,1.443794586866098406e+00,1.443794586866098406e+00,1.142206769345013861e-01,0.000000000000000000e+00,1.142206769345013861e-01,1.142206769345013861e-01,5.023087670528919579e-01,0.000000000000000000e+00,5.023087670528919579e-01,5.023087670528919579e-01,8.091532741928335604e-01,0.000000000000000000e+00,8.091532741928335604e-01,8.091532741928335604e-01
5.000000000000000000e+00,5.000000000000000000e+00,1.025952739111357381e+01,5.404735845844750308e+00,5.329825085170469379e+00,2.010835151196201309e+01,4.101079686121611445e+00,2.992762060454084327e+00,-1.123862973716849289e+00,6.977849216704057334e+00,4.582404532164847943e-02,3.255182804684173675e-02,-9.361659290727564892e-03,8.041038612366166460e-02,1.951435975512821330e-01,1.285148194019890000e-01,-4.078412419064916805e-02,3.223067135505304215e-01,3.164972491150646050e-01,2.033238379512587457e-01,-6.046130916007172451e-02,5.400928282493643318e-01
5.000000000000000000e+00,2.000000000000000000e+01,7.840245241752694660e+00,9.159815822648730288e-01,6.819771790661206978e+00,9.062601590932345630e+00,3.568251125216050923e+00,2.074336416660310878e+00,1.015474942296035188e+00,7.162951302365150319e+00,4.400821780488100438e-02,2.155947475568448582e-02,1.477054273399190827e-02,7.726437163239696648e-02,1.830564992333575947e-01,8.505299978879142520e-02,6.491168319020404476e-02,3.164650696388821016e-01,3.203430456343058785e-01,1.589804081819428949e-01,1.420797506170919655e-01,5.720680916690847884e-01
5.000000000000000000e+00,4.000000000000000000e+01,4.302982803028825742e+00,4.234606947359992324e-01,4.030960717377723768e+00,5.139310635276117978e+00,3.835963393506229835e+00,6.013796504095164641e-01,3.075597604390423179e+00,4.817994241361422958e+00,6.602435292616137819e-02,9.572191585547921641e-03,5.701038024278426430e-02,8.131757304292626387e-02,2.506951180983454375e-01,2.377362047500548164e-02,2.079396697746616063e-01,2.771964447287051381e-01,4.495106668377375492e-01,4.104819659780015867e-02,3.751825403737082398e-01,4.951574252588117897e-01
5.000000000000000000e+00,6.000000000000000000e+01,4.277293322176324963e+00,3.216170577216095339e-01,3.840564108258107012e+00,4.616775571423119118e+00,1.423192501849479541e+00,1.882672210864097528e-01,1.184183579386410834e+00,1.676081713089794256e+00,4.193907415935805433e-02,8.029674975114723876e-03,3.397543830696062028e-02,5.494143685269936572e-02,2.158046215723940231e-01,4.132347414707979172e-02,1.773611705786246329e-01,2.844260594225689887e-01,4.099025320002245287e-01,8.324427636783572615e-02,3.163358932053006445e-01,5.471323625470396745e-01
5.000000000000000000e+00,1.200000000000000000e+02,7.938222537689056946e-01,3.330714293188937747e-01,4.743854073383459991e-01,1.394932708469227123e+00,1.874174344269734505e+00,7.997442838932114495e-02,1.757473236073003875e+00,1.978437233431518116e+00,1.711532434571930161e-01,1.998267047320852891e-02,1.317436193573190972e-01,1.845911647088530338e-01,7.986256459615613812e-01,5.966886891315965197e-02,7.030552033482404539e-01,8.855196044730323512e-01,1.200614095979381402e+00,8.955532696224831335e-02,1.074943318812667137e+00,1.279092232453737044e+00
5.000000000000000000e+00,2.250000000000000000e+02,7.651876111626449983e-01,3.584269779599579819e-01,4.302256720200432483e-01,1.394932708469227123e+00,1.722068547645174919e+00,7.988573743020463414e-02,1.623351870750133763e+00,1.818851969340751218e+00,1.713267902156349887e-01,2.201714844939608312e-02,1.284920539752625046e-01,1.905618461934772412e-01,9.678960796207070061e-01,8.982831398656199173e-02,8.495232610234039194e-01,1.100938898324913318e+00,1.456459321706506271e+00,1.317665307147500853e-01,1.286960198286903667e+00,1.584410196956458572e+00
2.000000000000000000e+01,2.000000000000000000e+01,9.085745079284315295e+00,4.971397604177205665e+00,5.253131623732471667e+00,2.006401930733713357e+01,2.977230560225598843e+00,2.300945133418379474e+00,-2.740019502737667256e+00,6.788045057895408796e+00,3.905790694645566719e-02,2.658739870410046016e-02,-3.210409466288921543e-02,7.905880038462992365e-02,1.537502253095335836e-01,9.558232258045727681e-02,-9.772842990274469011e-02,3.178162351618583070e-01,2.773347010821060055e-01,1.611410255699076421e-01,-1.581830505866348990e-01,5.938780273048474001e-01
2.000000000000000000e+01,4.000000000000000000e+01,5.234912075654338359e+00,1.559952007970192289e+00,3.465466462210443410e+00,8.469777880405402470e+00,2.387219942540903972e+00,5.873756162026573246e-01,9.796097560320182751e-01,3.199925621714738710e+00,4.432992050201566697e-02,1.394485441305200711e-02,1.911514504052120103e-02,7.617605589306727931e-02,2.353629527798914156e-01,4.701432886847227433e-02,1.788047859479992008e-01,3.535725562732909277e-01,3.891095854490392303e-01,7.075107955442214158e-02,2.953609261538066022e-01,5.729645260376793336e-01
