# rp,lp,E(mdd),s(mdd),min(mdd),max(mdd),E(ar),s(ar),min(ar),max(ar),E(SR1),s(SR1),min(SR1),max(SR1),E(SR2),s(SR2),min(SR2),max(SR2),E(SR3),s(SR3),min(SR3),max(SR3)
1.000000000000000000e+00,5.000000000000000000e+00,7.769731007999965300e+00,0.000000000000000000e+00,7.769731007999965300e+00,7.769731007999965300e+00,2.801685974791134903e+00,0.000000000000000000e+00,2.801685974791134903e+00,2.801685974791134903e+00,3.225400766961553783e-02,0.000000000000000000e+00,3.225400766961553783e-02,3.225400766961553783e-02,1.477570180090527208e-01,0.000000000000000000e+00,1.477570180090527208e-01,1.477570180090527208e-01,2.822696327094747493e-01,0.000000000000000000e+00,2.822696327094747493e-01,2.822696327094747493e-01
1.000000000000000000e+00,2.000000000000000000e+01,9.550750899189296206e+00,0.000000000000000000e+00,9.550750899189296206e+00,9.550750899189296206e+00,1.936351205499708961e+00,0.000000000000000000e+00,1.936351205499708961e+00,1.936351205499708961e+00,2.495253817617057446e-02,0.000000000000000000e+00,2.495253817617057446e-02,2.495253817617057446e-02,1.079023109649943080e-01,0.000000000000000000e+00,1.079023109649943080e-01,1.079023109649943080e-01,9.082315272134861006e-02,0.000000000000000000e+00,9.082315272134861006e-02,9.082315272134861006e-02
1.000000000000000000e+00,4.000000000000000000e+01,3.700095263725998507e+00,0.000000000000000000e+00,3.700095263725998507e+00,3.700095263725998507e+00,4.164172703415713883e+00,0.000000000000000000e+00,4.164172703415713883e+00,4.164172703415713883e+00,7.471509596332223668e-02,0.000000000000000000e+00,7.471509596332223668e-02,7.471509596332223668e-02,2.379343418947832134e-01,0.000000000000000000e+00,2.379343418947832134e-01,2.379343418947832134e-01,3.795908027535043749e-01,0.000000000000000000e+00,3.795908027535043749e-01,3.795908027535043749e-01
1.000000000000000000e+00,6.000000000000000000e+01,4.029966767552068063e+00,0.000000000000000000e+00,4.029966767552068063e+00,4.029966767552068063e+00,8.415958067003348475e-01,0.000000000000000000e+00,8.415958067003348475e-01,8.415958067003348475e-01,2.483868704283767950e-02,0.000000000000000000e+00,2.483868704283767950e-02,2.483868704283767950e-02,9.913833185865295050e-02,0.000000000000000000e+00,9.913833185865295050e-02,9.913833185865295050e-02,1.713985675821113885e-01,0.000000000000000000e+00,1.713985675821113885e-01,1.713985675821113885e-01
1.000000000000000000e+00,1.200000000000000000e+02,1.555731331999993472e+00,0.000000000000000000e+00,1.555731331999993472e+00,1.555731331999993472e+00,1.622898863507615808e+00,0.000000000000000000e+00,1.622898863507615808e+00,1.622898863507615808e+00,1.210841180647916626e-01,0.000000000000000000e+00,1.210841180647916626e-01,1.210841180647916626e-01,5.103465574150207740e-01,0.000000000000000000e+00,5.103465574150207740e-01,5.103465574150207740e-01,7.861570788919499675e-01,0.000000000000000000e+00,7.861570788919499675e-01,7.861570788919499675e-01
1.000000000000000000e+00,2.250000000000000000e+02,1.555731331999993472e+00,0.000000000000000000e+00,1.555731331999993472e+00,1.555731331999993472e+00,1.451277474572099102e+00,0.000000000000000000e+00,1.451277474572099102e+00,1.451277474572099102e+00,1.150371041384150028e-01,0.000000000000000000e+00,1.150371041384150028e-01,1.150371041384150028e-01,5.163262165028350559e-01,0.000000000000000000e+00,5.163262165028350559e-01,5.163262165028350559e-01,8.216875108986334553e-01,0.000000000000000000e+00,8.216875108986334553e-01,8.216875108986334553e-01
5.000000000000000000e+00,5.000000000000000000e+00,1.127696050223948987e+01,6.296389618100000085e+00,4.992787763357469544e+00,2.249334088505821683e+01,2.493695347882391999e+00,2.667067022033458912e+00,-1.805612091175157197e+00,5.223848912754824880e+00,2.765407787519559221e-02,2.662202037656042491e-02,-1.489258244565695548e-02,5.426810458420582017e-02,1.269318666157243369e-01,1.218616902429972421e-01,-6.806031624761886556e-02,2.479876691058455762e-01,2.458398675538182587e-01,1.970915721300335044e-01,-7.602548254181920595e-02,4.581221680743438052e-01
5.000000000000000000e+00,2.000000000000000000e+01,7.985883821353152889e+00,1.227027799329932778e+00,6.633373256349344160e+00,9.928377036076369677e+00,2.985675718383560273e+00,2.089579598027453411e+00,8.996995142048103133e-01,6.990566197625458500e+00,3.484082131401387145e-02,2.017520895768180195e-02,1.278551977684489090e-02,7.283004916405332041e-02,1.546999889623489888e-01,8.923391889008226718e-02,5.518681865760579480e-02,3.215046235306276978e-01,2.420889672705096030e-01,1.982005270454459678e-01,2.113247453416202890e-02,6.057550239976529083e-01
5.000000000000000000e+00,4.000000000000000000e+01,3.999113225446490283e+00,2.922531513451159246e-01,3.677619632866608868e+00,4.547632465061070661e+00,3.927676137716584748e+00,8.669919886550080390e-01,3.150302672381499747e+00,5.421358490233885163e+00,6.607397928847280610e-02,1.010114591819303784e-02,5.561432503196183513e-02,8.347027717819864578e-02,2.419870046865721380e-01,3.484934144553884783e-02,2.084395684714351604e-01,3.083835002874789621e-01,4.188671502422208759e-01,2.758093505799464121e-02,3.841508470355400884e-01,4.638224579493767652e-01
5.000000000000000000e+00,6.000000000000000000e+01,4.483722558149159099e+00,3.479981021164872401e-01,3.857061696454294975e+00,4.891851130115725255e+00,1.463996698764584714e+00,2.194728866260806655e-01,1.215033942590948435e+00,1.830211747263765787e+00,4.319678012721912819e-02,9.607579648145956816e-03,3.159672450226680418e-02,5.981125977165369784e-02,2.027775413774881019e-01,4.827735224386232177e-02,1.451514483220397167e-01,2.866558116686602764e-01,3.573409325282899118e-01,8.519139856760578333e-02,2.719869322617091134e-01,5.106843834258918413e-01
5.000000000000000000e+00,1.200000000000000000e+02,6.204874566244257261e-01,9.253119549929043897e-02,4.939249999999901775e-01,7.361213715381609290e-01,1.954062929673803239e+00,7.984950861317476056e-02,1.817530497854780158e+00,2.037635738753396097e+00,1.673845325023033404e-01,3.223626897995314662e-03,1.629015703233686607e-01,1.718396181651131449e-01,7.889089905064758934e-01,4.067537821300059447e-02,7.191032445675702434e-01,8.341894285281571397e-01,1.200892588507030290e+00,7.557017161841385333e-02,1.080622244667909237e+00,1.300065344991092386e+00
5.000000000000000000e+00,2.250000000000000000e+02,5.852379738168338452e-01,1.183364922438382011e-01,4.375534323770295941e-01,7.361213715381609290e-01,1.812892003705255162e+00,8.768028478159711758e-02,1.655653495240994033e+00,1.909342821969262083e+00,1.681638006111104144e-01,2.802836401040546214e-03,1.639462327188859203e-01,1.709001688700118038e-01,9.600894569160235426e-01,4.990564884498918663e-02,8.830444667987469298e-01,1.037764232735518100e+00,1.448776506301699074e+00,8.844566789987799715e-02,1.314144370210047486e+00,1.550562382577364007e+00
2.000000000000000000e+01,2.000000000000000000e+01,8.689386799105074388e+00,4.485470651865289149e+00,4.439554331238582563e+00,2.038068542177778397e+01,3.018359037986484417e+00,1.604238664688548699e+00,-9.334373022389486074e-01,6.512375139456350048e+00,4.085184926290651858e-02,2.092841798417151983e-02,-7.909481301739844372e-03,7.157727902045890600e-02,1.799098423649928558e-01,8.612844118682246031e-02,-2.337759095840461279e-02,3.384487885331253776e-01,2.779229645773487745e-01,1.702667038833441671e-01,-1.563931271359139119e-01,6.529243121094184810e-01
2.000000000000000000e+01,4.000000000000000000e+01,4.750546304406791265e+00,1.168862127004633988e+00,3.528462578796620619e+00,6.694007107196938478e+00,2.818073427937802133e+00,7.583957835477942444e-01,1.672300054327058305e+00,4.413944184441120910e+00,4.841017367302812013e-02,1.244233385820447263e-02,3.104811855727649880e-02,7.417737444486595388e-02,2.362446446300594527e-01,3.842436458231261037e-02,1.680544530529850533e-01,3.082775353445452726e-01,3.443648753078297764e-01,5.499899154135456242e-02,2.623594736137623284e-01,4.864625907194177756e-01
2.000000000000000000e+01,6.000000000000000000e+01,3.800391095916677564e+00,4.939462650631074592e-01,3.175863089906499681e+00,4.761356470434492394e+00,2.247669648486341210e+00,6.039579336841524038e-01,1.428582201322825540e+00,3.205308063851264322e+00,6.085967690825342530e-02,1.618457959055919979e-02,4.001637606987998308e-02,8.957853335223726898e-02,2.892661417959477843e-01,6.188654501071785830e-02,2.188566419035805621e-01,4.081360474774782809e-01,4.596139572305553145e-01,9.411127751683757980e-02,3.578846079428369964e-01,6.522197704776021565e-01
2.000000000000000000e+01,1.200000000000000000e+02,9.902530851044005766e-01,2.624851370336700462e-01,7.970004745614005515e-01,1.659963014013555949e+00,1.895921792916617665e+00,1.551499133913035733e-01,1.571102913623989572e+00,2.175108100506739639e+00,1.445963353824391562e-01,1.639329112887805834e-02,1.092155626754727771e-01,1.673744785750841679e-01,7.261387122354826529e-01,1.221000935164151396e-01,4.917235888078445027e-01,8.998218494922221034e-01,1.248967263000907657e+00,2.306120324959114176e-01,7.657633021050403999e-01,1.587730710315919724e+00
2.000000000000000000e+01,2.250000000000000000e+02,7.785155280340205763e-01,9.953976709423213720e-02,6.605833383903387812e-01,1.119767337997274126e+00,1.806427071051039945e+00,1.056833743980682000e-01,1.579761572090387922e+00,1.978108950684354106e+00,1.515735676558144229e-01,1.060690815686967173e-02,1.252044933055142251e-01,1.671961364419836948e-01,9.126227214215237860e-01,7.551493213770410495e-02,7.635429464432740287e-01,1.031702925059035492e+00,1.573515299782667132e+00,2.239220984015816152e-01,1.314642238150431908e+00,1.894786542823335029e+00
