# rp,lp,E(mdd),s(mdd),min(mdd),max(mdd),E(ar),s(ar),min(ar),max(ar),E(SR1),s(SR1),min(SR1),max(SR1),E(SR2),s(SR2),min(SR2),max(SR2),E(SR3),s(SR3),min(SR3),max(SR3)
1.000000000000000000e+00,2.000000000000000000e+01,9.448108229123363344e+00,0.000000000000000000e+00,9.448108229123363344e+00,9.448108229123363344e+00,2.644041631580207330e+00,0.000000000000000000e+00,2.644041631580207330e+00,2.644041631580207330e+00,3.170501173789151000e-02,0.000000000000000000e+00,3.170501173789151000e-02,3.170501173789151000e-02,1.368562566220346000e-01,0.000000000000000000e+00,1.368562566220346000e-01,1.368562566220346000e-01,1.394603693125761601e-01,0.000000000000000000e+00,1.394603693125761601e-01,1.394603693125761601e-01
1.000000000000000000e+00,4.000000000000000000e+01,6.813142925551389339e+00,0.000000000000000000e+00,6.813142925551389339e+00,6.813142925551389339e+00,3.971427887386536071e+00,0.000000000000000000e+00,3.971427887386536071e+00,3.971427887386536071e+00,6.087669735592527581e-02,0.000000000000000000e+00,6.087669735592527581e-02,6.087669735592527581e-02,1.999580798009546745e-01,0.000000000000000000e+00,1.999580798009546745e-01,1.999580798009546745e-01,2.521969844226495394e-01,0.000000000000000000e+00,2.521969844226495394e-01,2.521969844226495394e-01
1.000000000000000000e+00,6.000000000000000000e+01,3.607336613231481692e+00,0.000000000000000000e+00,3.607336613231481692e+00,3.607336613231481692e+00,2.453591901962415278e+00,0.000000000000000000e+00,2.453591901962415278e+00,2.453591901962415278e+00,5.305894979894518887e-02,0.000000000000000000e+00,5.305894979894518887e-02,5.305894979894518887e-02,2.417543752900143672e-01,0.000000000000000000e+00,2.417543752900143672e-01,2.417543752900143672e-01,3.117874597325336894e-01,0.000000000000000000e+00,3.117874597325336894e-01,3.117874597325336894e-01
1.000000000000000000e+00,1.200000000000000000e+02,1.555983587749992125e+00,0.000000000000000000e+00,1.555983587749992125e+00,1.555983587749992125e+00,1.505103288313303089e+00,0.000000000000000000e+00,1.505103288313303089e+00,1.505103288313303089e+00,1.106166008822632163e-01,0.000000000000000000e+00,1.106166008822632163e-01,1.106166008822632163e-01,4.754282644492139887e-01,0.000000000000000000e+00,4.754282644492139887e-01,4.754282644492139887e-01,7.215046169967056500e-01,0.000000000000000000e+00,7.215046169967056500e-01,7.215046169967056500e-01
1.000000000000000000e+00,2.250000000000000000e+02,1.555983587749992125e+00,0.000000000000000000e+00,1.555983587749992125e+00,1.555983587749992125e+00,1.344689683975031080e+00,0.000000000000000000e+00,1.344689683975031080e+00,1.344689683975031080e+00,1.076538524644213568e-01,0.000000000000000000e+00,1.076538524644213568e-01,1.076538524644213568e-01,4.626161208829349669e-01,0.000000000000000000e+00,4.626161208829349669e-01,4.626161208829349669e-01,7.478606900677131630e-01,0.000000000000000000e+00,7.478606900677131630e-01,7.478606900677131630e-01
5.000000000000000000e+00,2.000000000000000000e+01,1.007902069900599429e+01,2.232380058229708641e+00,7.707102708346155850e+00,1.285922231490145862e+01,2.635047647738841814e+00,2.485493025040077519e+00,-4.858825567552016444e-01,6.505366675632950901e+00,2.744121230518720145e-02,2.393533711988832940e-02,-4.894388507633041022e-03,6.312141373913300602e-02,1.167951750574257319e-01,1.028479963460409846e-01,-1.833340052980989357e-02,2.888396557598627568e-01,1.420680198651936565e-01,1.855378931455489711e-01,-1.169271445123828690e-01,4.456808492428966928e-01
5.000000000000000000e+00,4.000000000000000000e+01,6.955133861968204378e+00,2.072747047053514979e+00,3.657881149435397106e+00,1.013458910697879389e+01,2.822762778926040106e+00,2.343749124235343650e+00,1.389797069452658462e+00,7.485812288126614256e+00,4.293084671243555667e-02,2.261850897914772368e-02,2.324032222369715531e-02,8.605793644411281751e-02,1.533074102858123511e-01,6.712224659027729579e-02,7.639352286324774255e-02,2.756325744310345049e-01,2.308054940589438220e-01,9.422573760608179971e-02,9.334418739602208526e-02,3.512320080243340747e-01
5.000000000000000000e+00,6.000000000000000000e+01,4.327085632805719229e+00,1.847038695116563156e+00,1.550169223047390687e+00,7.085969572827494289e+00,2.195850495088733645e+00,1.116228135349562667e+00,1.332154027664400608e+00,4.390764790700552034e+00,5.447841873244001210e-02,1.516925097860745072e-02,4.367038506505489803e-02,8.289207471179232956e-02,2.318801660194479697e-01,7.009975960090183977e-02,1.666488103368434781e-01,3.479733213122742086e-01,3.914752562950677972e-01,1.392310015428296355e-01,2.732190169644080346e-01,6.241771649230697383e-01
5.000000000000000000e+00,1.200000000000000000e+02,7.795535318837550909e-01,3.492088777135399780e-01,4.939249999999901775e-01,1.461784523249690437e+00,2.104090811673566819e+00,2.687145512642813427e-01,1.842794056494745369e+00,2.564077977614598325e+00,1.564898155990773476e-01,1.941666427604943693e-02,1.187245939962883190e-01,1.742812936923330835e-01,6.809102916774116832e-01,1.535665259892948775e-01,4.738122844593787297e-01,8.382766489162073453e-01,1.031734626858076931e+00,1.860810483487397304e-01,7.749737263345620741e-01,1.261229217470174468e+00
5.000000000000000000e+00,2.250000000000000000e+02,7.795535318837550909e-01,3.492088777135399780e-01,4.939249999999901775e-01,1.461784523249690437e+00,1.863920242596082133e+00,2.506321341506748124e-01,1.575820619180157145e+00,2.324259912460191480e+00,1.532663110795119965e-01,1.777309875660057145e-02,1.177691996607622971e-01,1.637712424589069793e-01,8.076377212966742158e-01,1.911620765761256058e-01,4.415427201164929261e-01,9.684843388015909049e-01,1.248712173768998568e+00,2.669985860924664056e-01,7.581272083538785900e-01,1.564116350693682822e+00
